alpha,beta,bxcx,damped_factor,gamma,s,season,stationary,loss
0.4137602437574618,0.9263672049884154,True,0.3863076012175764,0.19776959334126287,223,additive,True,5191.543429174429
0.16455627650093804,0.7177929598276631,True,0.582093017236336,0.7509699365484581,208,multiplicative,True,8421.40606150891
0.368601195599345,0.688047469389245,False,0.9964591019769179,0.8295637679284451,148,multiplicative,True,17583428.43525198
0.7899126495653985,0.36607999989994344,False,0.2798072166124189,0.08582563775478644,234,additive,False,54.0478990299169
0.9024049230935381,0.8250767110350343,False,0.6697008958175199,0.703544577376082,26,multiplicative,True,65396199.96863663
0.5241483250202886,0.3955736335544005,False,0.9787531214879599,0.12151729299813635,139,additive,True,319664.2774697039
0.3973471972757234,0.2278484610952663,False,0.47999310838286285,0.26368004715168486,91,additive,False,53.12973932250818
0.602339554568284,0.9209280642001201,False,0.9709246583981646,0.9517044111178561,82,multiplicative,True,5146464.330436309
0.18628246246868793,0.5425706819779743,False,0.8327702450437038,0.6721865062445797,105,additive,True,183099.7761956571
0.13035228536454657,0.6083868750768753,False,0.7632532268074076,0.8791846931080707,109,multiplicative,True,183923.28401915592
0.6409719227360121,0.30133932204378905,False,0.8918682330848138,0.4003936462631544,30,additive,False,56.89827563339432
0.924671645249271,0.7073675054242866,False,0.7373412952597171,0.8975512017110461,175,multiplicative,False,52.674058418155596
0.05971761311997666,0.523199558245472,True,0.03148838934111066,0.19071006285342326,215,additive,True,3976.0625232363113
0.717751588693229,0.9272947853870391,False,0.19823248101530605,0.15618490556461473,17,additive,True,125802.09271439689
0.9865163797138264,0.04807847981038746,False,0.5555799615985014,0.5794835627185413,158,multiplicative,False,198.7734919876947
0.2976520683780254,0.43242095795388885,False,0.4563585198408244,0.26516437683429217,39,multiplicative,False,100.37315096120146
0.9878907383308213,0.00014371658574385826,False,0.5151828981084172,0.0025930507620192667,173,multiplicative,False,19.25390046261963
0.9862551866837396,0.44863248153663665,False,0.20417402914724958,0.9915873943627875,173,multiplicative,False,16.87512132105452
0.9980252347653551,0.050392613610119784,False,0.0301740738200926,0.005460786615368551,13,multiplicative,False,373.0410066793617
0.9964326090460399,0.13214523047167742,False,0.14572166607897538,0.019396112244585886,170,multiplicative,False,24.558326147255922
0.9039726520239816,0.46455008281977067,False,0.28748744189679687,0.4946401157029175,143,multiplicative,False,125.75432560513376
0.6231483926730121,0.2924195793177683,False,0.09912300867005358,0.5996310402088995,173,multiplicative,False,18.646756583378693
0.49322866491494455,0.16624017460964546,False,0.2883480084812976,0.9921189551163512,107,multiplicative,False,68.4351143287967
0.852430305888015,0.3830431482937173,False,0.09306637862960382,0.5985579462692063,176,multiplicative,False,17.333613994294232
0.8642975596227866,0.49270274405149717,False,0.2062104486672656,0.7927972517535996,222,multiplicative,False,114.7099436851048
0.9325120578604076,0.6529190647947866,True,0.07167624467851576,0.5392089167112091,62,multiplicative,False,87.18793046877556
0.5435076787995471,0.23131176125444614,False,0.35167269245905425,0.9835195018528801,151,multiplicative,False,491.4922517499395
0.8187866903706088,0.43280534137463506,True,0.003692808146839935,0.9156274696475654,167,multiplicative,False,20.77315268050042
0.683130434200689,0.8642201265895071,True,0.05972112364388227,0.6505437374645004,99,multiplicative,False,27.714520536976845
0.45315342870095465,0.51864784092049,False,0.14163156177593186,0.8427539337573683,15,additive,True,131209.6059246982
0.54044257982436,0.2578307143726418,False,0.2487189714081082,0.6235707026610895,23,multiplicative,False,20.30783491692057
0.9543805243324766,0.3272574460007918,True,0.5188389768560502,0.22900419899877583,56,additive,False,26.440766037328135
0.01078131788056097,0.1741927541418627,False,0.5857677357517634,0.6985698531724511,74,multiplicative,True,91958.0717579848
0.87828599553976,0.42010245363948523,False,0.17149678034450155,0.45355206373772816,6,additive,False,8.640360608938431
0.21487601551894053,0.747746187662859,True,0.1668235246890098,0.44750363329977966,162,additive,True,3858.4807222760573
