alpha,beta,bxcx,damped_factor,gamma,s,season,stationary,loss
0.9723839308733427,0.5457536019287339,True,0.6477445685264129,0.11737077273575607,19,additive,True,5413.154015446288
0.19762971794171877,0.7640801992244449,True,0.9544544310405257,0.24655944440088703,11,additive,True,54280.368475499046
0.12347052113872233,0.05761733383139333,False,0.7799749171453952,0.9766088772111025,20,additive,False,8.417613062598592
0.5662545442110575,0.15953829975499906,True,0.09354056933776596,0.5337877666673587,84,multiplicative,False,8.6090000675794
0.5044845115598771,0.49003167174972395,False,0.7208543841954133,0.21414375180153494,22,additive,False,72.70381193905808
0.9439109101351818,0.5479556892093409,False,0.6977069716029847,0.25826457140845505,133,additive,False,51.83822448192286
0.8573516064707065,0.9027701565762685,True,0.5618957578065682,0.003620168378760217,4,multiplicative,False,6.549132765039353
0.10592376183081136,0.18837699514595352,True,0.8424563133386073,0.6165599771342802,200,multiplicative,False,40.10330551251848
0.3107037213009611,0.05518210520738598,False,0.5581921864017886,0.7850558081485999,184,multiplicative,False,19.956834840942236
0.39074648586282573,0.001207498251517336,False,0.452366625700372,0.7568611011997785,27,multiplicative,False,10.541889635925523
0.02270991623205605,0.904829053163899,False,0.5718072548141226,0.8824514111468932,53,multiplicative,False,26.88242122680136
0.42164120062541094,0.673714673213751,False,0.8930986445410249,0.14682132424473698,60,additive,False,32.54553007888509
0.3287509060631601,0.997193227120479,True,0.1721850671544689,0.6360204388906507,20,additive,False,11.34758482806643
0.6309982562988713,0.07691143569823486,False,0.4732669826818497,0.3175292997744275,107,multiplicative,False,4.53226012143626
0.6551530910770309,0.29738157130629816,True,0.4964560699102052,0.17138975033709314,4,multiplicative,False,7.4777779049084
0.8025259807158982,0.23542074660852552,False,0.2977465649436244,0.3192377659051905,86,multiplicative,False,5.338745045670206
0.5454311417935147,0.23131586639905002,False,0.3026778615232376,0.31890138602951457,210,multiplicative,False,12.599990961043714
0.7932877034886273,0.26401966002127286,False,0.4436822825446869,0.1164869136798678,98,multiplicative,False,46.109464196437614
0.9941205961441933,0.33039119955440455,False,0.649302594715928,0.38421180761814705,77,multiplicative,False,25.24898836386227
0.8222020210906023,0.02614728549038932,False,0.5077821552448388,0.17373304259004135,192,multiplicative,False,37.12578425383237
0.7468722579713394,0.4459025144030414,False,0.7971270330521514,0.03831602612920071,66,multiplicative,False,33.03264445929988
0.5192777436551779,0.6216055039245472,False,0.4108042657624182,0.264020594552162,128,multiplicative,False,49.675221487488216
0.4362111882261837,0.1239975344340004,False,0.48729959243756815,0.41135433334269234,143,additive,False,11.41874945730176
0.34994841477081645,0.3836969285665605,False,0.9146987451725335,0.3635488322285204,120,multiplicative,False,26.58029294821009
0.6529727112597926,0.30155176508912845,True,0.334387066754124,0.7034655433874267,155,additive,False,43.36649086457314
0.578915626356934,0.08546410852115735,False,0.6109455372090797,0.1959067100653632,38,multiplicative,False,45.09882988819819
0.6512150904772781,0.7604511991436832,False,0.2992223870219732,0.13727412632204136,44,multiplicative,False,45.29254400209538
0.16771986809468953,0.36249100967267345,False,0.3608836438784323,0.6712160943676848,162,multiplicative,False,28.43151696632847
0.8438212907377955,0.5300200110459412,True,0.7568139245617473,0.3539840355525588,185,additive,False,9.141514259436738
0.7759536713454722,0.6090365073201435,False,0.00280156559476219,0.03125567721986877,31,multiplicative,False,45.45522420058507
0.9594322913158193,0.9786593350880033,True,0.4716097573043523,0.012321810978724625,4,multiplicative,False,4.514515122613165
0.887068347448454,0.7159900540102725,True,0.4509083518185615,0.16152542559759353,235,multiplicative,False,87.49911765859592
0.9509869030793844,0.8722027094228322,True,0.41275392497676466,0.0028507621840224706,105,multiplicative,False,16.91793620314028
0.9748115577551809,0.987323755163303,True,0.27210062527797696,0.3006702767166301,86,multiplicative,False,4.476164836027995
0.2602035905470674,0.9552204973673852,True,0.4780944165168425,0.4083635631821517,17,multiplicative,False,12.379472697596912
0.992894253641733,0.7782551071626009,True,0.21108313828378988,0.4502748434516636,109,multiplicative,False,34.094578914435495
0.36283847323516216,0.9977609604144666,True,0.5413042878509517,0.6110741519046198,226,multiplicative,False,34.235546988643954
0.06081004761029707,0.8753244164036826,True,0.38260156505567616,0.20389644162942372,139,multiplicative,False,15.66059329791166
0.711346594633582,0.7127954580483831,True,0.4748181228802593,0.3493873312396333,67,additive,False,24.418772780812024
0.8330615439136365,0.8303171697171384,True,0.07638056037505642,0.37164442561918704,122,multiplicative,False,26.98470913615003
0.896847595286753,0.9730484483470847,True,0.359250140368486,0.3119085249682965,4,multiplicative,False,10.273629351989863
0.8687400743802098,0.5713712658871787,True,0.26887348810451833,0.02775074482180334,212,multiplicative,False,16.57920005468453
0.9989626143748249,0.9791402346298917,True,0.17819321829671975,0.11020365170612623,70,multiplicative,False,19.831331160906327
0.4084255380702819,0.8992681737035868,True,0.5121601154447009,0.5070242125638953,137,multiplicative,False,28.24292510196088
0.9256938984147087,0.8082163530102309,True,0.12367537663020445,0.3915491151141617,78,multiplicative,False,39.519622571115974
