batch_size,dropout,n_epochs,n_input,n_nodes,optimizer,shuffle,loss
33,0.1914850158281889,37,19,894,rmsprop,False,0.32060791806951505
42,0.24898947732759547,48,47,443,rmsprop,True,1.4580320872476988
39,0.44498101245706356,11,21,655,rmsprop,True,1.1447834523854798
39,0.8661334625161264,43,74,197,adam,False,0.1903850092472859
27,0.5256434427067687,30,104,649,rmsprop,False,0.4156453690748143
45,0.14553380399282934,7,99,182,adam,True,0.8691741877109536
55,0.8792232005275404,63,97,423,adam,True,0.6988350930230623
26,0.1035783468021424,17,64,30,adam,True,0.9056498070052086
14,0.5064002279588905,52,83,741,adam,True,1.086455423573828
41,0.957442035913967,73,99,281,adam,False,0.14055040015181547
23,0.9942601894325044,74,104,122,adam,True,0.8600303268130824
19,0.7295355417976926,58,13,183,rmsprop,True,0.9519266944493883
60,0.8270524000306986,95,43,991,adam,True,0.897347566075911
25,0.7369986202672678,9,109,71,adam,True,1.045317866668387
16,0.3768010390015908,69,55,584,rmsprop,False,0.4073416065823013
49,0.7522589348027764,85,95,331,adam,False,0.17756539050595505
37,0.19031683466279214,61,27,930,adam,False,0.32438590548212554
35,0.07733384041834246,72,24,89,rmsprop,False,0.31202124937365683
8,0.44457135656040236,71,27,480,rmsprop,True,1.190125416601111
57,0.81674272869242,49,78,401,rmsprop,False,0.21494765220146284
41,0.6350177801302883,46,59,674,adam,False,0.255565382943147
2,0.982616797728997,67,95,221,adam,False,0.18820637576591998
49,0.6463947847919154,85,70,278,adam,False,0.3893712925413846
3,0.9482176710420486,92,8,78,adam,False,0.1993742664802136
54,0.629273911124184,73,30,154,adam,False,0.2580373672912024
28,0.7301759294950029,84,29,176,adam,False,0.2360489119083437
34,0.9190551329006068,82,71,354,adam,False,0.2778160350535475
24,0.7781541318390439,41,77,875,adam,False,0.32803694688003804
11,0.59965740911945,77,89,29,adam,False,0.1985296414595796
10,0.3367792714070118,35,15,580,adam,False,0.3189892514844885
20,0.9131232361184154,64,81,173,adam,False,0.17667273748766021
20,0.9892900600346184,64,81,703,adam,False,0.15922407575303638
7,0.9851304591635638,83,81,564,adam,False,0.1802364423712346
59,0.29986842146644843,80,101,742,rmsprop,False,0.8531267936595135
22,0.8400596232739229,65,94,667,adam,False,0.2487894700680083
15,0.009478134521144932,87,108,349,adam,False,1.0538271223967022
48,0.5484666384208288,1,79,703,adam,False,0.2837206085876397
46,0.8905891976360145,73,93,888,rmsprop,False,0.33658024778486434
12,0.6773734832158665,66,119,427,adam,False,0.13671916411669918
32,0.4627401464489831,78,76,518,adam,False,0.5618606431057007
52,0.6693755923139392,66,99,861,adam,True,0.8431867471284707
12,0.6794417669810888,14,45,793,rmsprop,False,0.19599916711569837
47,0.5627679791737932,36,85,834,adam,True,2.122020101338547
40,0.4158241221275474,21,58,209,adam,False,0.3279580437640881
63,0.7872842075210453,76,5,816,adam,True,0.9234113589980906
29,0.8530573226577203,88,107,820,rmsprop,False,0.3902732838805726
38,0.2416737700380931,23,18,659,adam,True,0.7555025716973593
50,0.7038743209391831,66,105,776,adam,False,0.20449912876049486
61,0.5991067320869904,12,98,125,rmsprop,False,0.18105965471339144
56,0.5134735921054365,20,25,950,adam,True,0.8799312114589917
43,0.9461619141187284,6,40,935,adam,False,0.13602609717093883
43,0.8045768119180723,6,60,997,adam,False,0.19926330085265748
4,0.48833336288999785,24,119,557,rmsprop,False,0.13303804516696477
43,0.39685913508971526,70,52,277,rmsprop,True,0.7047580872219973
4,0.12875821626014583,2,51,210,rmsprop,False,0.1592594184831268
4,0.46323232265662445,32,69,437,rmsprop,False,0.3701647148408389
51,0.2173585455282998,97,32,960,rmsprop,False,0.21488966249158156
9,0.29106291570616305,24,100,838,rmsprop,True,1.2428351940861304
1,0.07623517146263253,3,41,163,rmsprop,False,0.3889652666990352
53,0.35111603337075636,98,31,77,rmsprop,False,0.2137304551862545
44,0.4879469938338175,24,44,716,rmsprop,False,0.19785232697691685
36,0.17548572579914845,6,80,766,rmsprop,True,0.9122206754233255
