batch_size,dropout,n_epochs,n_input,n_nodes,optimizer,shuffle,loss
6,0.2405875201809905,55,46,562,rmsprop,False,0.09014119343512156
7,0.01678154498303286,45,69,345,adam,False,0.07816991218074339
4,0.5962395820709306,38,115,378,adam,False,0.7480775181480144
7,0.30508585909905206,34,109,594,rmsprop,False,0.1884686372126834
16,0.9472559138581319,5,28,202,adam,True,1.0284269504128087
18,0.9762577158006931,14,43,664,rmsprop,False,0.21816758502664704
6,0.18513673931775665,77,5,78,rmsprop,False,0.11674504085814345
13,0.2781831103960978,51,92,664,rmsprop,False,0.12586616977208298
5,0.3539990163666945,10,63,652,adam,False,0.13211311673288426
28,0.7751152722887148,8,93,485,rmsprop,True,1.3436844682512605
20,0.9948999058920952,62,40,718,adam,True,1.2470205298300405
44,0.08812425878385255,4,42,472,adam,False,0.13299341114864396
3,0.8984392980249505,50,85,62,rmsprop,False,0.1454597125216736
51,0.10705004803327367,32,35,666,rmsprop,False,0.09099796952250408
41,0.02690487879618808,94,51,653,rmsprop,False,0.2057337871896594
22,0.7668137672181858,49,52,611,rmsprop,True,1.1581985713339118
59,0.5406696263083064,72,38,458,rmsprop,True,0.9382931207005658
44,0.9436190269142615,58,86,951,rmsprop,False,0.16775419083429918
4,0.26890836598650325,57,45,108,rmsprop,True,0.9744949469405471
63,0.8979476467514532,22,53,773,adam,False,0.10052951245417749
11,0.44118783071661605,55,69,284,adam,False,0.08840336251386866
11,0.4293283343158588,17,30,382,adam,False,0.0936606346473842
43,0.6393600334399006,69,75,373,adam,False,0.08220928942501098
32,0.6459360360008112,45,75,343,adam,False,0.12739199591972442
42,0.7125203687000883,69,67,512,adam,False,0.15060065804581182
19,0.4943322921659309,65,60,54,adam,False,0.13067682387018958
46,0.8277032069318816,30,47,25,adam,False,0.6361185609380929
52,0.657490766136497,27,94,638,adam,False,0.09195084147828957
33,0.36446096854741106,69,104,529,adam,False,0.14097669340722757
36,0.19050656611357336,91,56,471,adam,True,1.3184232793382171
43,0.570015668140391,59,105,285,adam,False,0.27667878975070587
62,0.6390084296304818,75,29,776,adam,False,0.10412840708885596
7,0.4858614159873652,13,21,736,adam,False,0.10611071320347971
38,0.013333056073481068,76,75,912,adam,False,0.12494651211255396
31,0.7226638500259744,12,71,345,adam,True,0.8263269233512075
57,0.20273762089556768,68,50,158,adam,False,0.09341513452342246
12,0.34349810273908477,45,107,245,adam,False,0.1802109758122546
48,0.8374748087225005,48,6,883,adam,False,0.12964407499053687
60,0.11262940970449542,63,32,165,adam,True,1.1726850723666007
29,0.4304077407343389,47,9,230,adam,False,0.1234162664916213
58,0.6019270540743215,79,7,637,adam,False,0.11687889901422535
45,0.22829987335338814,88,77,498,adam,False,0.10757293073124144
2,0.5360624387509094,18,81,822,adam,True,0.7879652913586547
10,0.3287542483288438,44,24,479,adam,False,0.1003328365693978
8,0.05508540298984688,16,23,429,rmsprop,False,0.10861913220455424
17,0.7050611144682458,54,112,622,adam,True,0.5867969580869132
43,0.7791480965919219,23,74,616,rmsprop,False,0.07369252871169456
49,0.798359872191404,9,13,527,rmsprop,False,0.11150356085015108
25,0.9247708404618482,24,74,312,rmsprop,True,1.022233300603217
21,0.8733301169335298,66,19,879,rmsprop,False,0.11553557507727988
56,0.99697437938405,3,68,788,rmsprop,False,0.8924566633143785
27,0.39259914044068367,31,62,289,rmsprop,False,0.13807790169704076
26,0.14394457078778186,60,39,737,rmsprop,True,1.3390833757021463
14,0.7446219999643319,85,69,139,rmsprop,False,0.15115007932803026
34,0.25853110908512406,96,110,42,rmsprop,False,0.12024960746421746
53,0.9751950571651765,6,114,106,rmsprop,False,1.0675981350120385
35,0.6821428242210072,23,65,903,rmsprop,True,1.0969563538068994
50,0.30486212951154484,23,26,501,rmsprop,False,0.09862385962037146
