batch_size,dropout,n_epochs,n_input,n_nodes,optimizer,shuffle,loss
58,0.731542917975958,22,102,562,adam,True,0.8702897975769638
11,0.3301458341317691,3,94,99,adam,False,3.012102439890033
45,0.01882742875989174,15,83,861,adam,False,1.2043133884992296
54,0.5777941288841285,87,65,381,adam,True,0.8485078376538393
57,0.7596704787470724,17,18,439,adam,False,0.6445063780500847
44,0.9862718563755989,88,73,94,rmsprop,True,0.9805804634007188
44,0.548121346449639,91,74,625,rmsprop,True,1.2978057569943693
41,0.7589345764505425,95,72,160,rmsprop,True,1.1062243923883206
24,0.4539843829067577,29,103,899,rmsprop,True,0.697176153203569
52,0.5372895996061974,97,56,417,rmsprop,False,0.5702450839343398
11,0.5330711816067436,93,54,450,adam,True,1.7090823551897696
21,0.7302466633108371,38,107,683,rmsprop,False,1.3743289849224993
24,0.24205637773488808,41,43,924,adam,True,1.196419227030731
12,0.965080609924723,18,89,469,rmsprop,False,1.8015814985452105
2,0.431891566148083,45,79,133,adam,True,0.9083661600261512
29,0.6972551100586333,3,68,895,rmsprop,True,0.9976570378092653
8,0.15628684302150808,28,39,475,rmsprop,True,0.7548768744911397
48,0.6873993609261194,56,31,713,rmsprop,False,0.4482052257199623
41,0.5171760511272757,55,43,683,rmsprop,False,0.4056828227401713
43,0.9551805435122744,75,34,931,rmsprop,False,0.5664744300464706
48,0.8699388259476311,56,77,311,rmsprop,False,1.1232795957527297
6,0.6330589544849176,8,27,713,rmsprop,False,0.8647317757246572
31,0.38746607557540913,84,104,511,rmsprop,False,1.54347324472843
41,0.8744966149189477,50,33,860,rmsprop,False,0.4924184654515714
38,0.6454611932012242,71,46,200,rmsprop,False,0.49207233445366755
15,0.3125178858470681,74,101,402,rmsprop,False,0.6398289865744232
63,0.8227586243181862,46,31,51,rmsprop,False,0.9091814307718092
30,0.09864421666504258,96,17,176,rmsprop,False,0.6264043952091745
5,0.6373288110724885,55,25,26,rmsprop,False,1.0401849236313763
10,0.4624362582639896,79,21,852,rmsprop,False,0.7688622140289639
51,0.3590530320430599,61,43,674,rmsprop,False,0.28197518243276637
51,0.31907893573607216,61,19,684,adam,False,0.5993145882445554
49,0.2235458998683289,11,57,935,rmsprop,False,0.42713317828200026
26,0.37960907721945186,12,43,990,adam,False,0.2504561623033622
28,0.023115124316963886,80,93,702,adam,False,1.3669091916364224
56,0.24404816871614998,30,28,715,adam,False,0.5677984102375533
26,0.3896657242362111,12,43,260,adam,False,0.7319152196057956
61,0.12310979241328546,61,40,564,adam,False,0.35999466638050326
14,0.3668957211209435,62,117,319,adam,False,0.9839466912610246
18,0.05027289781911504,86,53,728,adam,False,1.1051268445209064
59,0.5915692250516106,21,5,977,adam,True,0.9285169262887351
