complexity_measure,k,l,loss
squared difference,7,19,28.47085843510855
squared difference,4,22,46.71379864957075
squared difference,7,15,33.289185854862545
squared difference,5,14,32.117210308055824
squared difference,4,5,29.226022264329327
squared difference,7,17,26.214467512039917
squared difference,3,16,25.919736755993444
squared difference,2,4,23.131041723477413
squared difference,5,9,24.020206590624014
squared difference,4,24,43.03040803479551
squared difference,6,23,39.87094643145002
squared difference,8,29,51.66016268106179
squared difference,6,21,46.042452499353885
squared difference,7,15,33.289185854862545
squared difference,7,16,32.40203237749559
squared difference,7,23,39.42305453475401
squared difference,7,7,23.700998113184983
squared difference,2,15,38.12237084000421
squared difference,2,7,25.651726479955062
squared difference,6,23,39.87094643145002
squared difference,9,4,24.37220474465308
squared difference,1,7,20.11399378983241
squared difference,1,4,20.71719419032156
squared difference,1,6,38.30713155457176
squared difference,1,12,31.979154587669523
squared difference,1,27,32.29445483733108
squared difference,1,20,45.136908274231814
squared difference,1,8,33.41387480655104
squared difference,1,3,23.775983469551832
squared difference,8,11,26.56787566387668
squared difference,3,18,22.653032892505824
squared difference,9,13,27.488879349916928
squared difference,1,28,41.24065941136951
squared difference,5,26,35.366841841790624
squared difference,1,10,24.420173627413337
squared difference,4,19,30.96998382338695
squared difference,3,25,34.815245048136184
squared difference,1,14,31.61828403171027
squared difference,9,4,24.37220474465308
squared difference,8,22,38.57008712199598
squared difference,5,5,28.083636930440615
squared difference,4,17,36.7515150772731
squared difference,1,7,20.11399378983241
squared difference,3,7,26.623773151576575
squared difference,1,7,20.11399378983241
squared difference,6,9,24.704778744110186
squared difference,2,7,25.651726479955062
squared difference,8,24,38.72574851134686
squared difference,5,3,23.90696304006113
squared difference,4,7,22.65866724569433
squared difference,6,6,24.807372515520544
squared difference,9,29,66.41895291588652
squared difference,2,21,57.45637112746969
squared difference,7,12,26.318904607349054
squared difference,1,27,32.29445483733108
squared difference,1,16,37.265852800803735
squared difference,3,20,33.67816039097156
squared difference,1,8,33.41387480655104
squared difference,7,11,23.488742503419548
squared difference,8,18,23.717812787996163
squared difference,6,7,22.585457441886366
squared difference,2,13,24.518640436701222
squared difference,1,26,32.17873263487766
squared difference,5,19,30.73301306018814
squared difference,4,15,30.295880376142332
squared difference,1,7,20.11399378983241
squared difference,1,7,20.11399378983241
squared difference,1,7,20.11399378983241
squared difference,1,10,24.420173627413337
squared difference,1,28,41.24065941136951
squared difference,1,22,45.44518017302116
squared difference,9,14,31.020191273931804
squared difference,1,5,25.435019399633443
squared difference,1,25,33.30051345192483
squared difference,3,23,44.4307883472055
squared difference,7,7,23.700998113184983
squared difference,1,17,88.13907558175602
squared difference,8,24,38.72574851134686
squared difference,5,9,24.020206590624014
squared difference,6,21,46.042452499353885
squared difference,9,7,24.24670835483815
squared difference,1,7,20.11399378983241
squared difference,4,29,35.019613542862416
squared difference,2,16,23.45277556540155
squared difference,1,12,31.979154587669523
squared difference,3,6,28.069065473807694
squared difference,1,20,45.136908274231814
squared difference,7,3,23.45428198741057
squared difference,8,27,59.63258510929533
squared difference,6,11,25.403879957204754
squared difference,1,4,20.71719419032156
squared difference,5,8,22.61701909011963
squared difference,2,18,55.30136615897225
squared difference,4,28,28.476477710547524
squared difference,9,13,27.488879349916928
squared difference,1,7,20.11399378983241
squared difference,1,10,24.420173627413337
squared difference,3,26,36.57845515713214
squared difference,7,15,33.289185854862545
squared difference,1,7,20.11399378983241
squared difference,1,22,45.44518017302116
squared difference,8,5,25.584203002722905
squared difference,6,25,38.698056089180994
squared difference,1,14,31.61828403171027
squared difference,5,19,30.73301306018814
squared difference,2,17,44.75551111131094
squared difference,4,23,54.148534724867716
squared difference,9,7,24.24670835483815
squared difference,1,21,45.92048223672549
squared difference,3,9,28.130125536725142
squared difference,1,29,43.198886823331925
squared difference,1,7,20.11399378983241
squared difference,7,24,37.01967213557567
squared difference,8,7,23.238142834775264
squared difference,5,12,24.908824179924192
squared difference,6,6,24.807372515520544
squared difference,2,3,23.550146071372666
squared difference,1,27,32.29445483733108
squared difference,1,16,37.265852800803735
squared difference,4,8,21.37806349355833
squared difference,1,20,45.136908274231814
squared difference,9,11,27.003899818161667
squared difference,3,18,22.653032892505824
squared difference,7,4,24.21726439762195
squared difference,1,7,20.11399378983241
squared difference,8,13,26.42615064336888
squared difference,1,26,32.17873263487766
squared difference,5,28,41.970642855484904
squared difference,6,15,33.77871203559213
squared difference,2,10,24.444078983092314
squared difference,1,7,20.11399378983241
squared difference,4,19,30.96998382338695
squared difference,9,25,44.45903107406996
squared difference,1,14,31.61828403171027
squared difference,1,23,43.99094696666518
squared difference,3,22,31.068856925404447
squared difference,7,5,26.332868439188406
squared difference,8,17,29.212242600877897
squared difference,1,7,20.11399378983241
squared difference,6,9,24.704778744110186
squared difference,1,29,43.198886823331925
squared difference,5,6,24.620273570026626
squared difference,2,7,25.651726479955062
squared difference,4,24,43.03040803479551
squared difference,9,21,38.42655426685726
squared difference,1,7,20.11399378983241
squared difference,1,7,20.11399378983241
squared difference,1,7,20.11399378983241
squared difference,1,7,20.11399378983241
squared difference,1,3,23.775983469551832
