"SvyDate","Date","Dmgrph","DmgrphCode","Mean_crrnt","Pop","PopNmbr"
"2019-7-15_2019-9-8",2019-09-08,BOUCLE-DU-MOUHOUN,900712,30.921704658077232,1976217,611079
"2019-7-15_2019-9-8",2019-09-08,CASCADES,900713,22.732404968009,822445,186961
"2019-7-15_2019-9-8",2019-09-08,CENTRE,900714,22.093784078516848,2854356,630635
"2019-7-15_2019-9-8",2019-09-08,CENTRE-EST,900715,44.186046511627794,2854356,1261227
"2019-7-15_2019-9-8",2019-09-08,CENTRE-NORD,900716,61.948842874543054,1687858,1045608
"2019-7-15_2019-9-8",2019-09-08,CENTRE-OUEST,900717,37.8526431114762,1643388,622065
"2019-7-15_2019-9-8",2019-09-08,CENTRE-SUD,900718,45.02092050209207,871927,392549
"2019-7-15_2019-9-8",2019-09-08,EST,900719,51.917930419268416,1777738,922964
"2019-7-15_2019-9-8",2019-09-08,HAUTS-BASSINS,900720,15.695714973519442,2158541,338798
"2019-7-15_2019-9-8",2019-09-08,NORD,900721,44.60564494856227,1632149,728030
"2019-7-15_2019-9-8",2019-09-08,PLATEAU-CENTRAL,900722,44.77658904971671,949697,425241
"2019-7-15_2019-9-8",2019-09-08,SAHEL,900723,36.42857142857146,1395109,508218
"2019-7-15_2019-9-8",2019-09-08,SUD-OUEST,900724,36.238095238095276,866662,314061
"2019-7-16_2019-9-9",2019-09-09,BOUCLE-DU-MOUHOUN,900712,31.10392839383384,1976217,614681
"2019-7-16_2019-9-9",2019-09-09,CASCADES,900713,23.83458646616538,822445,196026
"2019-7-16_2019-9-9",2019-09-09,CENTRE,900714,21.567787534803973,2854356,615621
"2019-7-16_2019-9-9",2019-09-09,CENTRE-EST,900715,43.906757155502994,2854356,1253255
"2019-7-16_2019-9-9",2019-09-09,CENTRE-NORD,900716,62.25955685415127,1687858,1050852
"2019-7-16_2019-9-9",2019-09-09,CENTRE-OUEST,900717,37.565698478561444,1643388,617350
"2019-7-16_2019-9-9",2019-09-09,CENTRE-SUD,900718,44.07216494845363,871927,384277
"2019-7-16_2019-9-9",2019-09-09,EST,900719,53.054755043227566,1777738,943174
"2019-7-16_2019-9-9",2019-09-09,HAUTS-BASSINS,900720,17.366682397357184,2158541,374866
"2019-7-16_2019-9-9",2019-09-09,NORD,900721,44.78043649750186,1632149,730883
"2019-7-16_2019-9-9",2019-09-09,PLATEAU-CENTRAL,900722,44.84151646985697,949697,425858
"2019-7-16_2019-9-9",2019-09-09,SAHEL,900723,36.70951156812342,1395109,512137
"2019-7-16_2019-9-9",2019-09-09,SUD-OUEST,900724,35.82862523540493,866662,310513
"2019-7-17_2019-9-10",2019-09-10,BOUCLE-DU-MOUHOUN,900712,32.03029562667963,1976217,632988
"2019-7-17_2019-9-10",2019-09-10,CASCADES,900713,23.62324344853776,822445,194288
"2019-7-17_2019-9-10",2019-09-10,CENTRE,900714,18.630573248407597,2854356,531782
"2019-7-17_2019-9-10",2019-09-10,CENTRE-EST,900715,41.93070772875323,2854356,1196851
"2019-7-17_2019-9-10",2019-09-10,CENTRE-NORD,900716,61.38517618468998,1687858,1036094
"2019-7-17_2019-9-10",2019-09-10,CENTRE-OUEST,900717,38.05867836577998,1643388,625451
"2019-7-17_2019-9-10",2019-09-10,CENTRE-SUD,900718,44.53125000000003,871927,388279
"2019-7-17_2019-9-10",2019-09-10,EST,900719,52.19260533104031,1777738,927847
"2019-7-17_2019-9-10",2019-09-10,HAUTS-BASSINS,900720,16.500237755587197,2158541,356164
"2019-7-17_2019-9-10",2019-09-10,NORD,900721,44.04698344901216,1632149,718912
"2019-7-17_2019-9-10",2019-09-10,PLATEAU-CENTRAL,900722,44.11489228847947,949697,418957
"2019-7-17_2019-9-10",2019-09-10,SAHEL,900723,36.33587786259545,1395109,506925
"2019-7-17_2019-9-10",2019-09-10,SUD-OUEST,900724,36.25421280693312,866662,314201
"2019-7-18_2019-9-11",2019-09-11,BOUCLE-DU-MOUHOUN,900712,32.16730038022806,1976217,635695
"2019-7-18_2019-9-11",2019-09-11,CASCADES,900713,23.3746711762495,822445,192243
"2019-7-18_2019-9-11",2019-09-11,CENTRE,900714,20.02577319587623,2854356,571606
"2019-7-18_2019-9-11",2019-09-11,CENTRE-EST,900715,41.57336476134344,2854356,1186651
"2019-7-18_2019-9-11",2019-09-11,CENTRE-NORD,900716,61.2088184295267,1687858,1033117
"2019-7-18_2019-9-11",2019-09-11,CENTRE-OUEST,900717,36.36363636363626,1643388,597595
"2019-7-18_2019-9-11",2019-09-11,CENTRE-SUD,900718,43.03627407075686,871927,375244
"2019-7-18_2019-9-11",2019-09-11,EST,900719,52.272727272727174,1777738,929272
"2019-7-18_2019-9-11",2019-09-11,HAUTS-BASSINS,900720,16.547999017922848,2158541,357195
"2019-7-18_2019-9-11",2019-09-11,NORD,900721,43.045466774280214,1632149,702566
"2019-7-18_2019-9-11",2019-09-11,PLATEAU-CENTRAL,900722,44.91978609625659,949697,426601
"2019-7-18_2019-9-11",2019-09-11,SAHEL,900723,35.13097072419109,1395109,490115
"2019-7-18_2019-9-11",2019-09-11,SUD-OUEST,900724,35.88377723970948,866662,310991
"2019-7-19_2019-9-12",2019-09-12,BOUCLE-DU-MOUHOUN,900712,31.77004538577905,1976217,627845
"2019-7-19_2019-9-12",2019-09-12,CASCADES,900713,23.65391756405492,822445,194540
"2019-7-19_2019-9-12",2019-09-12,CENTRE,900714,19.984427718660726,2854356,570426
"2019-7-19_2019-9-12",2019-09-12,CENTRE-EST,900715,41.399416909620875,2854356,1181686
"2019-7-19_2019-9-12",2019-09-12,CENTRE-NORD,900716,59.33316494064138,1687858,1001459
"2019-7-19_2019-9-12",2019-09-12,CENTRE-OUEST,900717,35.91589861751143,1643388,590237
"2019-7-19_2019-9-12",2019-09-12,CENTRE-SUD,900718,46.06789858186507,871927,401678
"2019-7-19_2019-9-12",2019-09-12,EST,900719,52.83907031479838,1777738,939340
"2019-7-19_2019-9-12",2019-09-12,HAUTS-BASSINS,900720,14.843152257077225,2158541,320395
"2019-7-19_2019-9-12",2019-09-12,NORD,900721,42.18201458277061,1632149,688473
"2019-7-19_2019-9-12",2019-09-12,PLATEAU-CENTRAL,900722,44.81540930979124,949697,425610
