"Year","Month","Dekad","NDVI","Average"
2015,1,1,0.1713496,0.1714324
2015,1,1,0.1742953,0.1714324
2016,1,1,0.1624934,0.1714324
2017,1,1,0.1886121,0.1714324
2017,1,1,0.1793008,0.1714324
2017,1,2,0.1820273,0.1680457
2016,1,2,0.1746582,0.1680457
2015,1,2,0.1744109,0.1680457
2015,1,3,0.1633879,0.1609156
2016,1,3,0.1650938,0.1609156
2017,1,3,0.1710559,0.1609156
2017,2,1,0.1670414,0.1574879
2016,2,1,0.1599,0.1574879
2015,2,1,0.1591844,0.1574879
2015,2,2,0.1558266,0.1542281
2016,2,2,0.1565383,0.1542281
2017,2,2,0.1642203,0.1542281
2017,2,3,0.1628426,0.1511488
2016,2,3,0.1544066,0.1511488
2015,2,3,0.1528867,0.1511488
2015,3,1,0.1464516,0.146698
2016,3,1,0.1488449,0.146698
2017,3,1,0.160807,0.146698
2017,3,2,0.1599887,0.1468234
2016,3,2,0.1462832,0.1468234
2015,3,2,0.1463055,0.1468234
2015,3,3,0.1491883,0.1494691
2016,3,3,0.1483957,0.1494691
2017,3,3,0.1601609,0.1494691
2017,4,1,0.1627422,0.1552355
2016,4,1,0.1565992,0.1552355
2015,4,1,0.1542562,0.1552355
2015,4,2,0.1613469,0.1747566
2016,4,2,0.197966,0.1747566
2017,4,2,0.1751332,0.1747566
2017,4,3,0.1846531,0.1869684
2016,4,3,0.2262973,0.1869684
2015,4,3,0.1666648,0.1869684
2015,5,1,0.1769801,0.1983277
2016,5,1,0.2518633,0.1983277
2017,5,1,0.1994176,0.1983277
2017,5,2,0.218157,0.2075707
2016,5,2,0.2703164,0.2075707
2015,5,2,0.1908402,0.2075707
2015,5,3,0.2172645,0.2144133
2016,5,3,0.2701855,0.2144133
2017,5,3,0.2491484,0.2144133
2017,6,1,0.2506117,0.2117285
2016,6,1,0.2591039,0.2117285
2015,6,1,0.2273555,0.2117285
2015,6,2,0.2287207,0.2064371
2016,6,2,0.2455254,0.2064371
2017,6,2,0.2437258,0.2064371
2017,6,3,0.2329672,0.2011648
2016,6,3,0.2323305,0.2011648
2015,6,3,0.2253555,0.2011648
2015,7,1,0.2138176,0.1941125
2016,7,1,0.2150957,0.1941125
2017,7,1,0.2095812,0.1941125
2017,7,2,0.2041105,0.1983273
2016,7,2,0.2221594,0.1983273
2015,7,2,0.2093723,0.1983273
2015,7,3,0.2081797,0.2078
2016,7,3,0.2435426,0.2078
2017,7,3,0.2095199,0.2078
2017,8,1,0.255716,0.2401438
2016,8,1,0.3101664,0.2401438
2015,8,1,0.2283641,0.2401438
2015,8,2,0.2465695,0.2588527
2016,8,2,0.3378027,0.2588527
2017,8,2,0.2854801,0.2588527
2017,8,3,0.3060586,0.2743527
2016,8,3,0.3575793,0.2743527
2015,8,3,0.2625781,0.2743527
2015,9,1,0.2724145,0.2826773
2016,9,1,0.3666109,0.2826773
2017,9,1,0.3163102,0.2826773
2017,9,2,0.3020969,0.2731523
2016,9,2,0.3420332,0.2731523
2015,9,2,0.27085,0.2731523
2015,9,3,0.2545406,0.2595316
2016,9,3,0.3164547,0.2595316
2017,9,3,0.2795762,0.2595316
2017,10,1,0.2549809,0.2441078
2016,10,1,0.2894574,0.2441078
2015,10,1,0.2351402,0.2441078
2015,10,2,0.2185414,0.2295254
2016,10,2,0.2653262,0.2295254
2017,10,2,0.2339965,0.2295254
2017,10,3,0.2081223,0.206882
2016,10,3,0.2297164,0.206882
2015,10,3,0.2005461,0.206882
2015,11,1,0.1981055,0.1993648
2016,11,1,0.2189406,0.1993648
2017,11,1,0.2006496,0.1993648
2017,11,2,0.1940301,0.1937262
2016,11,2,0.2131711,0.1937262
2015,11,2,0.1972723,0.1937262
2015,11,3,0.1935129,0.1865578
2016,11,3,0.2080285,0.1865578
2017,11,3,0.1842,0.1865578
2017,12,1,0.1806246,0.1840535
2016,12,1,0.2054773,0.1840535
2015,12,1,0.1906605,0.1840535
2015,12,2,0.1867246,0.1812176
2016,12,2,0.2011297,0.1812176
2017,12,2,0.1766395,0.1812176
2017,12,3,0.1733898,0.1782484
2016,12,3,0.1965742,0.1782484
2015,12,3,0.1836344,0.1782484