"Year","Month","Dekad","NDVI","Average"
2014,1,1,0.1093188,0.1112871
2015,1,1,0.1113034,0.1112871
2015,1,1,0.1114898,0.1112871
2016,1,1,0.1074389,0.1112871
2016,1,2,0.1208879,0.1108305
2015,1,2,0.1114268,0.1108305
2014,1,2,0.1119697,0.1108305
2014,1,3,0.1110144,0.1098268
2015,1,3,0.1101352,0.1098268
2016,1,3,0.1200586,0.1098268
2016,2,1,0.1194778,0.1093427
2015,2,1,0.1096138,0.1093427
2014,2,1,0.1106447,0.1093427
2014,2,2,0.1103226,0.1088935
2015,2,2,0.1092692,0.1088935
2016,2,2,0.1189089,0.1088935
2016,2,3,0.1183495,0.1085092
2015,2,3,0.1090607,0.1085092
2014,2,3,0.1100425,0.1085092
2014,3,1,0.1096106,0.1079262
2015,3,1,0.1086571,0.1079262
2016,3,1,0.1164872,0.1079262
2016,3,2,0.1152592,0.1077764
2015,3,2,0.1085401,0.1077764
2014,3,2,0.1095442,0.1077764
2014,3,3,0.1096557,0.107727
2015,3,3,0.1085544,0.107727
2016,3,3,0.1143197,0.107727
2016,4,1,0.1138708,0.1077874
2015,4,1,0.1085872,0.1077874
2014,4,1,0.1100297,0.1077874
2014,4,2,0.1112907,0.1080872
2015,4,2,0.1077602,0.1080872
2016,4,2,0.1145232,0.1080872
2016,4,3,0.1153529,0.1082609
2015,4,3,0.1071012,0.1082609
2014,4,3,0.1118322,0.1082609
2014,5,1,0.1120771,0.1083811
2015,5,1,0.1066102,0.1083811
2016,5,1,0.1161286,0.1083811
2016,5,2,0.1165314,0.1083533
2015,5,2,0.1063669,0.1083533
2014,5,2,0.1119313,0.1083533
2014,5,3,0.1108882,0.1077018
2015,5,3,0.1065062,0.1077018
2016,5,3,0.1154892,0.1077018
2016,6,1,0.1144562,0.1071111
2015,6,1,0.1067489,0.1071111
2014,6,1,0.110082,0.1071111
2014,6,2,0.1090628,0.1064368
2015,6,2,0.1069695,0.1064368
2016,6,2,0.1133814,0.1064368
2016,6,3,0.1124102,0.1057638
2015,6,3,0.1070222,0.1057638
2014,6,3,0.1078704,0.1057638
2014,7,1,0.1057462,0.1042281
2015,7,1,0.106367,0.1042281
2016,7,1,0.1108498,0.1042281
2016,7,2,0.1105871,0.1040936
2015,7,2,0.1058928,0.1040936
2014,7,2,0.1049712,0.1040936
2014,7,3,0.1045243,0.1042459
2015,7,3,0.1055661,0.1042459
2016,7,3,0.1110196,0.1042459
2016,8,1,0.1139658,0.1054835
2015,8,1,0.1058224,0.1054835
2014,8,1,0.1049589,0.1054835
2014,8,2,0.1058178,0.1065138
2015,8,2,0.1064163,0.1065138
2016,8,2,0.1159529,0.1065138
2016,8,3,0.1177118,0.1076816
2015,8,3,0.1072223,0.1076816
2014,8,3,0.1069039,0.1076816
2014,9,1,0.1081668,0.1088643
2015,9,1,0.1081105,0.1088643
2016,9,1,0.1190292,0.1088643
2016,9,2,0.1200108,0.1107631
2015,9,2,0.1095241,0.1107631
2014,9,2,0.1107174,0.1107631
2014,9,3,0.1117878,0.111372
2015,9,3,0.1100825,0.111372
2016,9,3,0.1199798,0.111372
2016,10,1,0.1198148,0.111796
2015,10,1,0.1105173,0.111796
2014,10,1,0.112704,0.111796
2014,10,2,0.1134275,0.1120687
2015,10,2,0.1107652,0.1120687
2016,10,2,0.1196401,0.1120687
2016,10,3,0.1193262,0.1123661
2015,10,3,0.1115284,0.1123661
2014,10,3,0.1143505,0.1123661
2014,11,1,0.1145008,0.1124355
2015,11,1,0.1123435,0.1124355
2016,11,1,0.1191409,0.1124355
2016,11,2,0.1188871,0.1124529
2015,11,2,0.1135109,0.1124529
2014,11,2,0.114389,0.1124529
2014,11,3,0.1138117,0.1123873
2015,11,3,0.1165444,0.1123873
2016,11,3,0.1182741,0.1123873
2016,12,1,0.1179377,0.1123018
2015,12,1,0.1180913,0.1123018
2014,12,1,0.1134643,0.1123018
2014,12,2,0.1130874,0.1121551
2015,12,2,0.1193599,0.1121551
2016,12,2,0.1175844,0.1121551
2016,12,3,0.1172618,0.1119579
2015,12,3,0.1203285,0.1119579
2014,12,3,0.1127408,0.1119579