"Year","Month","Dekad","NDVI","Average"
2017,1,1,0.1889199,0.1771024
2017,1,1,0.1877583,0.1771024
2018,1,1,0.1903551,0.1771024
2018,1,1,0.1794929,0.1771024
2018,1,2,0.1754426,0.1733485
2017,1,2,0.1743399,0.1733485
2019,1,2,0.1662318,0.1733485
2019,1,3,0.1561845,0.1655613
2017,1,3,0.1638792,0.1655613
2018,1,3,0.1640908,0.1655613
2018,2,1,0.1594062,0.1611589
2017,2,1,0.1602161,0.1611589
2019,2,1,0.1514125,0.1611589
2019,2,2,0.1471991,0.1564083
2017,2,2,0.1574372,0.1564083
2018,2,2,0.1560375,0.1564083
2018,2,3,0.1526423,0.1517176
2017,2,3,0.1549958,0.1517176
2019,2,3,0.1432318,0.1517176
2019,3,1,0.1370622,0.1440765
2017,3,1,0.1475932,0.1440765
2018,3,1,0.1452821,0.1440765
2018,3,2,0.1427866,0.1421033
2017,3,2,0.1442003,0.1421033
2019,3,2,0.1347298,0.1421033
2019,3,3,0.1332482,0.1413949
2017,3,3,0.1422714,0.1413949
2018,3,3,0.1427193,0.1413949
2018,4,1,0.1455277,0.1422735
2017,4,1,0.1428622,0.1422735
2019,4,1,0.1330786,0.1422735
2019,4,2,0.1393693,0.1486158
2017,4,2,0.151611,0.1486158
2018,4,2,0.1610634,0.1486158
2018,4,3,0.1714607,0.1542018
2017,4,3,0.1613509,0.1542018
2019,4,3,0.1464414,0.1542018
2019,5,1,0.1555506,0.1605259
2017,5,1,0.1757804,0.1605259
2018,5,1,0.1813253,0.1605259
2018,5,2,0.190956,0.1677967
2017,5,2,0.193908,0.1677967
2019,5,2,0.1670863,0.1677967
2019,5,3,0.193822,0.1834315
2017,5,3,0.2288753,0.1834315
2018,5,3,0.207717,0.1834315
2018,6,1,0.2098164,0.1896033
2017,6,1,0.2399708,0.1896033
2019,6,1,0.2072074,0.1896033
2019,6,2,0.2200958,0.1932655
2017,6,2,0.2425869,0.1932655
2018,6,2,0.2084583,0.1932655
2018,6,3,0.2053068,0.1939399
2017,6,3,0.2399964,0.1939399
2019,6,3,0.229875,0.1939399
2019,7,1,0.2303479,0.1872693
2019,7,1,0.2297509,0.1872693
2017,7,1,0.2240158,0.1872693
2018,7,1,0.2002512,0.1872693
2018,7,2,0.1986952,0.1844247
2017,7,2,0.2133973,0.1844247
2019,7,2,0.2236997,0.1844247
2019,7,3,0.2181432,0.1830622
2017,7,3,0.2042244,0.1830622
2018,7,3,0.1970783,0.1830622
2018,8,1,0.1977161,0.1883562
2017,8,1,0.2004982,0.1883562
2019,8,1,0.2156812,0.1883562
2019,8,2,0.2198428,0.1960274
2017,8,2,0.2062057,0.1960274
2018,8,2,0.2007985,0.1960274
2018,8,3,0.205275,0.2068414
2017,8,3,0.2168902,0.2068414
2019,8,3,0.2264214,0.2068414
2019,9,1,0.2344685,0.2192399
2017,9,1,0.2323673,0.2192399
2018,9,1,0.2131125,0.2192399
2018,9,2,0.2352366,0.2428393
2017,9,2,0.2670726,0.2428393
2019,9,2,0.2498214,0.2428393
2019,9,3,0.2624622,0.2502506
2017,9,3,0.2768949,0.2502506
2018,9,3,0.2440851,0.2502506
2018,10,1,0.2471991,0.2533301
2017,10,1,0.2810872,0.2533301
2019,10,1,0.2784405,0.2533301
2019,10,2,0.2936024,0.2505464
2017,10,2,0.2798518,0.2505464
2018,10,2,0.2446515,0.2505464
2018,10,3,0.2318155,0.2336899
2017,10,3,0.2617899,0.2336899
2019,10,3,0.2954411,0.2336899
2019,11,1,0.281808,0.2230798
2017,11,1,0.2478173,0.2230798
2018,11,1,0.2238598,0.2230798
2018,11,2,0.2147506,0.2131777
2017,11,2,0.2332155,0.2131777
2019,11,2,0.2656253,0.2131777
2019,11,3,0.2411057,0.1990774
2017,11,3,0.2091387,0.1990774
2018,11,3,0.1979057,0.1990774
2018,12,1,0.1916875,0.1944336
2017,12,1,0.2002363,0.1944336
2019,12,1,0.2341845,0.1944336
2019,12,2,0.2272664,0.1900878
2017,12,2,0.1930071,0.1900878
2018,12,2,0.1862491,0.1900878
2018,12,3,0.1814253,0.1857857
2017,12,3,0.1876438,0.1857857
2019,12,3,0.2211557,0.1857857