"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2017,1,1,0,0
2017,1,2,0,0
2017,1,3,0,0
2017,2,1,0,0
2017,2,2,0.001,0
2017,2,3,0.002,0
2017,3,1,0.342,0.199
2017,3,2,0.502,0.662
2017,3,3,1.019,1.177
2017,4,1,3.273,2.595
2017,4,2,1.303,4.103
2017,4,3,17.228,7.954
2017,5,1,18.29,12.427
2017,5,2,33.123,17.125
2017,5,3,13.752,20.532
2017,6,1,29.743,34.66
2017,6,2,43.406,27.861
2017,6,3,32.029,37.415
2017,7,1,53.958,57.623
2017,7,2,51.144,55.642
2017,7,3,56.723,67.746
2017,8,1,99.771,73.933
2017,8,2,44.539,78.545
2017,8,3,75.157,80.873
2017,9,1,21.927,53.997
2017,9,2,37.761,41.255
2017,9,3,58.636,34.424
2017,10,1,12.785,15.992
2017,10,2,1.141,10.5
2017,10,3,1.453,7.289
2017,11,1,0.591,0.752
2017,11,2,0.106,0.005
2017,11,3,0.033,0.002
2017,12,1,0.001,0
2017,12,2,0,0
2017,12,3,0,0
2018,1,1,0,0
2018,1,2,0,0
2018,1,3,0,0
2018,2,1,0,0
2018,2,2,0.007,0
2018,2,3,0.194,0
2018,3,1,0.612,0.199
2018,3,2,2.935,0.662
2018,3,3,5.343,1.177
2018,4,1,3.251,2.595
2018,4,2,1.227,4.103
2018,4,3,3.374,7.954
2018,5,1,6.594,12.427
2018,5,2,13.727,17.125
2018,5,3,24.411,20.532
2018,6,1,41.364,34.66
2018,6,2,24.065,27.861
2018,6,3,41.153,37.415
2018,7,1,41.545,57.623
2018,7,2,65.959,55.642
2018,7,3,77.796,67.746
2018,8,1,85.499,73.933
2018,8,2,80.18,78.545
2018,8,3,116.804,80.873
2018,9,1,70.76,53.997
2018,9,2,41.813,41.255
2018,9,3,62.019,34.424
2018,10,1,25.988,15.992
2018,10,2,20.444,10.5
2018,10,3,6.518,7.289
2018,11,1,0.723,0.752
2018,11,2,0.09,0.005
2018,11,3,0.006,0.002
2018,12,1,0.001,0
2018,12,2,0,0
2018,12,3,0,0
2019,1,1,0,0
2019,1,2,0,0
2019,1,3,0,0
2019,2,1,0,0
2019,2,2,0,0
2019,2,3,0.002,0
2019,3,1,0.834,0.199
2019,3,2,0.561,0.662
2019,3,3,1.442,1.177
2019,4,1,0.653,2.595
2019,4,2,1.317,4.103
2019,4,3,5.728,7.954
2019,5,1,16.344,12.427
2019,5,2,30.718,17.125
2019,5,3,28.574,20.532
2019,6,1,25.973,34.66
2019,6,2,21.3,27.861
2019,6,3,40.934,37.415
2019,7,1,70.517,57.623
2019,7,2,51.516,55.642
2019,7,3,95.485,67.746
2019,8,1,51.59,73.933
2019,8,2,67.966,78.545
2019,8,3,103.345,80.873
2019,9,1,69.165,53.997
2019,9,2,53.494,41.255
2019,9,3,37.754,34.424
2019,10,1,52.652,15.992
2019,10,2,22.058,10.5
2019,10,3,9.278,7.289
2019,11,1,0.672,0.752
2019,11,2,0.012,0.005
2019,11,3,0.007,0.002
2019,12,1,0.001,0
2019,12,2,0,0
2019,12,3,0,0