"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2015,1,1,0,0
2015,1,2,0,0
2015,1,3,0,0
2015,2,1,0.015,0.008
2015,2,2,0.126,0.019
2015,2,3,0.073,0.019
2015,3,1,1.006,0.539
2015,3,2,1.451,1.428
2015,3,3,3.723,2.654
2015,4,1,3.031,5.958
2015,4,2,8.245,10.004
2015,4,3,1.686,13.407
2015,5,1,16.061,19.291
2015,5,2,11.067,20.941
2015,5,3,14.669,28.675
2015,6,1,31.287,39.545
2015,6,2,32.537,33.824
2015,6,3,18.222,38.966
2015,7,1,63.736,55.681
2015,7,2,87.403,54.214
2015,7,3,34.109,64.094
2015,8,1,159.82,73.528
2015,8,2,67.702,79.329
2015,8,3,105.834,90.935
2015,9,1,69.195,58.683
2015,9,2,80.254,52.755
2015,9,3,33.432,37.417
2015,10,1,15.727,21.103
2015,10,2,20.826,10.964
2015,10,3,10.964,6.82
2015,11,1,0.34,0.455
2015,11,2,0.002,0
2015,11,3,0,0
2015,12,1,0.025,0
2015,12,2,0.015,0.002
2015,12,3,0.107,0.002
2016,1,1,0,0
2016,1,2,0,0
2016,1,3,0,0
2016,2,1,0.008,0.008
2016,2,2,0.029,0.019
2016,2,3,0.05,0.019
2016,3,1,1.122,0.539
2016,3,2,8.212,1.428
2016,3,3,2.027,2.654
2016,4,1,13.589,5.958
2016,4,2,6.872,10.004
2016,4,3,9.294,13.407
2016,5,1,35,19.291
2016,5,2,33.992,20.941
2016,5,3,34.801,28.675
2016,6,1,29.361,39.545
2016,6,2,30.019,33.824
2016,6,3,41.168,38.966
2016,7,1,62.21,55.681
2016,7,2,57.164,54.214
2016,7,3,81.66,64.094
2016,8,1,93.061,73.528
2016,8,2,70.514,79.329
2016,8,3,106.742,90.935
2016,9,1,64.811,58.683
2016,9,2,54.866,52.755
2016,9,3,29.384,37.417
2016,10,1,9.925,21.103
2016,10,2,8.53,10.964
2016,10,3,4.01,6.82
2016,11,1,0.39,0.455
2016,11,2,0.008,0
2016,11,3,0.038,0
2016,12,1,0.019,0
2016,12,2,0.042,0.002
2016,12,3,0.008,0.002
2017,1,1,0.004,0
2017,1,2,0,0
2017,1,3,0.004,0
2017,2,1,0.025,0.008
2017,2,2,0.015,0.019
2017,2,3,0.023,0.019
2017,3,1,0.681,0.539
2017,3,2,0.935,1.428
2017,3,3,1.665,2.654
2017,4,1,3.212,5.958
2017,4,2,1.004,10.004
2017,4,3,22.434,13.407
2017,5,1,27.333,19.291
2017,5,2,48.625,20.941
2017,5,3,31.652,28.675
2017,6,1,33.941,39.545
2017,6,2,67.866,33.824
2017,6,3,63.249,38.966
2017,7,1,42.585,55.681
2017,7,2,36.887,54.214
2017,7,3,59.918,64.094
2017,8,1,72.889,73.528
2017,8,2,50.874,79.329
2017,8,3,69.516,90.935
2017,9,1,31.801,58.683
2017,9,2,34.549,52.755
2017,9,3,24.394,37.417
2017,10,1,36.943,21.103
2017,10,2,3.042,10.964
2017,10,3,2.029,6.82
2017,11,1,0.713,0.455
2017,11,2,0.176,0
2017,11,3,0.015,0
2017,12,1,0.015,0
2017,12,2,0.036,0.002
2017,12,3,0.13,0.002