"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2017,1,1,0,0
2017,1,2,0,0
2017,1,3,0,0
2017,2,1,0,0
2017,2,2,0,0
2017,2,3,0.045,0
2017,3,1,0.62,0.723
2017,3,2,1.238,1.718
2017,3,3,2.291,2.704
2017,4,1,3.87,6.015
2017,4,2,1.066,9.887
2017,4,3,20.181,12.399
2017,5,1,42.828,17.819
2017,5,2,69.249,21.532
2017,5,3,26.859,27.394
2017,6,1,37.196,37.725
2017,6,2,51.336,30.782
2017,6,3,37.48,39.88
2017,7,1,52.106,57.699
2017,7,2,28.029,55.57
2017,7,3,62.801,66.115
2017,8,1,82.129,77.697
2017,8,2,40.899,85.14
2017,8,3,99.399,89.846
2017,9,1,28.375,59.078
2017,9,2,47.224,50.437
2017,9,3,35.181,41.367
2017,10,1,21.487,18.825
2017,10,2,3.86,11.681
2017,10,3,3.668,7.909
2017,11,1,0.8,0.931
2017,11,2,0.221,0
2017,11,3,0,0
2017,12,1,0,0
2017,12,2,0.043,0
2017,12,3,0.014,0
2018,1,1,0,0
2018,1,2,0,0
2018,1,3,0,0
2018,2,1,0.014,0
2018,2,2,0.099,0
2018,2,3,1.937,0
2018,3,1,0.92,0.723
2018,3,2,4.5,1.718
2018,3,3,14.461,2.704
2018,4,1,4.682,6.015
2018,4,2,4.385,9.887
2018,4,3,4.125,12.399
2018,5,1,14.655,17.819
2018,5,2,19.169,21.532
2018,5,3,45.611,27.394
2018,6,1,34.576,37.725
2018,6,2,27.591,30.782
2018,6,3,41.246,39.88
2018,7,1,42.972,57.699
2018,7,2,71.576,55.57
2018,7,3,93.968,66.115
2018,8,1,65.77,77.697
2018,8,2,76.304,85.14
2018,8,3,144.874,89.846
2018,9,1,54.255,59.078
2018,9,2,36.307,50.437
2018,9,3,77.707,41.367
2018,10,1,23.948,18.825
2018,10,2,10.482,11.681
2018,10,3,9.216,7.909
2018,11,1,0.822,0.931
2018,11,2,0.252,0
2018,11,3,0,0
2018,12,1,0,0
2018,12,2,0,0
2018,12,3,0,0
2019,1,1,0,0
2019,1,2,0,0
2019,1,3,0,0
2019,2,1,0,0
2019,2,2,0,0
2019,2,3,0.143,0
2019,3,1,1.324,0.723
2019,3,2,1.221,1.718
2019,3,3,3.317,2.704
2019,4,1,3.549,6.015
2019,4,2,6.231,9.887
2019,4,3,15.581,12.399
2019,5,1,37.522,17.819
2019,5,2,25.689,21.532
2019,5,3,47.846,27.394
2019,6,1,24.025,37.725
2019,6,2,17.951,30.782
2019,6,3,52.915,39.88
2019,7,1,86.933,57.699
2019,7,2,55.746,55.57
2019,7,3,96.975,66.115
2019,8,1,60.543,77.697
2019,8,2,65.101,85.14
2019,8,3,98.853,89.846
2019,9,1,67.836,59.078
2019,9,2,54.225,50.437
2019,9,3,36.611,41.367
2019,10,1,62.857,18.825
2019,10,2,42.472,11.681
2019,10,3,8.021,7.909
2019,11,1,0.797,0.931
2019,11,2,0,0
2019,11,3,0,0
2019,12,1,0.297,0
2019,12,2,0.001,0
2019,12,3,0,0