"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2016,1,1,0,0
2016,1,2,0,0
2016,1,3,0,0
2016,2,1,0,0
2016,2,2,0.023,0.003
2016,2,3,0.153,0.003
2016,3,1,1.535,0.701
2016,3,2,9.865,1.761
2016,3,3,3.192,2.909
2016,4,1,14.6,6.319
2016,4,2,5.179,11.099
2016,4,3,13.506,13.816
2016,5,1,36.052,19.086
2016,5,2,33.556,20.813
2016,5,3,35.356,29.41
2016,6,1,26.901,39.244
2016,6,2,34.626,32.655
2016,6,3,39.668,40.104
2016,7,1,88.073,57.361
2016,7,2,58.377,56.192
2016,7,3,96.509,66.117
2016,8,1,103.369,79.436
2016,8,2,76.595,86.317
2016,8,3,129.642,92.042
2016,9,1,65.997,61.408
2016,9,2,67.468,52.249
2016,9,3,20.117,39.935
2016,10,1,6.618,20.481
2016,10,2,5.081,11.239
2016,10,3,4.631,7.756
2016,11,1,0.777,0.548
2016,11,2,0,0
2016,11,3,0.057,0
2016,12,1,0.073,0
2016,12,2,0.171,0
2016,12,3,0.008,0
2017,1,1,0,0
2017,1,2,0,0
2017,1,3,0,0
2017,2,1,0,0
2017,2,2,0.003,0.003
2017,2,3,0.003,0.003
2017,3,1,0.808,0.701
2017,3,2,0.951,1.761
2017,3,3,2.07,2.909
2017,4,1,3.922,6.319
2017,4,2,0.997,11.099
2017,4,3,21.605,13.816
2017,5,1,38.836,19.086
2017,5,2,76.86,20.813
2017,5,3,35.252,29.41
2017,6,1,30.818,39.244
2017,6,2,54.865,32.655
2017,6,3,53.166,40.104
2017,7,1,39.886,57.361
2017,7,2,23.878,56.192
2017,7,3,55.299,66.117
2017,8,1,85.901,79.436
2017,8,2,34.948,86.317
2017,8,3,92.623,92.042
2017,9,1,32.106,61.408
2017,9,2,37.597,52.249
2017,9,3,21.683,39.935
2017,10,1,32.013,20.481
2017,10,2,6.696,11.239
2017,10,3,3.847,7.756
2017,11,1,0.621,0.548
2017,11,2,0.109,0
2017,11,3,0,0
2017,12,1,0.008,0
2017,12,2,0.145,0
2017,12,3,0.309,0
2018,1,1,0,0
2018,1,2,0,0
2018,1,3,0,0
2018,2,1,0.091,0
2018,2,2,0.252,0.003
2018,2,3,2.504,0.003
2018,3,1,0.906,0.701
2018,3,2,3.694,1.761
2018,3,3,10.174,2.909
2018,4,1,2.384,6.319
2018,4,2,7.681,11.099
2018,4,3,5.244,13.816
2018,5,1,21.252,19.086
2018,5,2,21.558,20.813
2018,5,3,57.712,29.41
2018,6,1,33.639,39.244
2018,6,2,28.41,32.655
2018,6,3,39.377,40.104
2018,7,1,37.927,57.361
2018,7,2,85.977,56.192
2018,7,3,117.151,66.117
2018,8,1,67.171,79.436
2018,8,2,59.195,86.317
2018,8,3,122.932,92.042
2018,9,1,59.732,61.408
2018,9,2,23.53,52.249
2018,9,3,84.722,39.935
2018,10,1,19.745,20.481
2018,10,2,4.608,11.239
2018,10,3,8.377,7.756
2018,11,1,0.512,0.548
2018,11,2,0.249,0
2018,11,3,0,0
2018,12,1,0.005,0
2018,12,2,0.005,0
2018,12,3,0.068,0