"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2016,1,1,0,0
2016,1,2,0,0
2016,1,3,0,0
2016,2,1,0,0
2016,2,2,0,0
2016,2,3,0,0
2016,3,1,0.857,0
2016,3,2,3.5,0.173
2016,3,3,2.847,1.02
2016,4,1,12.653,4.837
2016,4,2,2.684,6.786
2016,4,3,9.724,9.765
2016,5,1,14.745,12.49
2016,5,2,21.939,16.98
2016,5,3,22.724,24.051
2016,6,1,16.724,29.643
2016,6,2,29.878,24.878
2016,6,3,39.439,33.959
2016,7,1,103.235,58.143
2016,7,2,72.694,59.51
2016,7,3,83.939,68.561
2016,8,1,113.796,67.99
2016,8,2,72.082,75.469
2016,8,3,123.847,78.133
2016,9,1,41.622,51.847
2016,9,2,59.714,43.582
2016,9,3,23.51,35.071
2016,10,1,4.163,14.796
2016,10,2,3.184,8
2016,10,3,2.786,4.663
2016,11,1,0.347,0.163
2016,11,2,0,0
2016,11,3,0,0
2016,12,1,0,0
2016,12,2,0,0
2016,12,3,0,0
2017,1,1,0,0
2017,1,2,0,0
2017,1,3,0,0
2017,2,1,0,0
2017,2,2,0,0
2017,2,3,0,0
2017,3,1,0.102,0
2017,3,2,0.133,0.173
2017,3,3,0.959,1.02
2017,4,1,2.204,4.837
2017,4,2,1.01,6.786
2017,4,3,12.663,9.765
2017,5,1,49.378,12.49
2017,5,2,74.816,16.98
2017,5,3,18.194,24.051
2017,6,1,30.133,29.643
2017,6,2,40.102,24.878
2017,6,3,38.388,33.959
2017,7,1,56.112,58.143
2017,7,2,23.602,59.51
2017,7,3,54.327,68.561
2017,8,1,68.071,67.99
2017,8,2,36.133,75.469
2017,8,3,107.796,78.133
2017,9,1,24.949,51.847
2017,9,2,52.041,43.582
2017,9,3,23.143,35.071
2017,10,1,21.48,14.796
2017,10,2,2.643,8
2017,10,3,4.541,4.663
2017,11,1,0.224,0.163
2017,11,2,0,0
2017,11,3,0,0
2017,12,1,0,0
2017,12,2,0,0
2017,12,3,0,0
2018,1,1,0,0
2018,1,2,0,0
2018,1,3,0,0
2018,2,1,0,0
2018,2,2,0.01,0
2018,2,3,0.418,0
2018,3,1,0.082,0
2018,3,2,0.408,0.173
2018,3,3,7.592,1.02
2018,4,1,2.378,4.837
2018,4,2,2.143,6.786
2018,4,3,3.653,9.765
2018,5,1,9.306,12.49
2018,5,2,13.663,16.98
2018,5,3,48.847,24.051
2018,6,1,34.051,29.643
2018,6,2,23.908,24.878
2018,6,3,27.837,33.959
2018,7,1,34.112,58.143
2018,7,2,93.888,59.51
2018,7,3,110.102,68.561
2018,8,1,78.276,67.99
2018,8,2,44.867,75.469
2018,8,3,98.245,78.133
2018,9,1,35.704,51.847
2018,9,2,25.837,43.582
2018,9,3,93.592,35.071
2018,10,1,15.49,14.796
2018,10,2,7.01,8
2018,10,3,3.602,4.663
2018,11,1,0.163,0.163
2018,11,2,0,0
2018,11,3,0,0
2018,12,1,0,0
2018,12,2,0,0
2018,12,3,0,0