"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2016,1,1,0,0
2016,1,2,0,0
2016,1,3,0,0
2016,2,1,0,0
2016,2,2,0,0
2016,2,3,0,0
2016,3,1,0.042,0
2016,3,2,0.446,0.002
2016,3,3,0.552,0.031
2016,4,1,5.755,0.587
2016,4,2,1.419,1.252
2016,4,3,3.744,3.007
2016,5,1,10.675,6.629
2016,5,2,11.044,9.706
2016,5,3,14.389,13.122
2016,6,1,19.004,25.665
2016,6,2,23.199,22.653
2016,6,3,36.605,31.426
2016,7,1,59.722,49.545
2016,7,2,86.909,48.819
2016,7,3,83.366,61.408
2016,8,1,102.746,64.011
2016,8,2,83.402,71.673
2016,8,3,97.605,67.353
2016,9,1,19.62,42.812
2016,9,2,33.605,35.282
2016,9,3,27.589,25.654
2016,10,1,1.92,11.773
2016,10,2,5.303,4.781
2016,10,3,0.995,2.406
2016,11,1,0.08,0.033
2016,11,2,0,0
2016,11,3,0,0
2016,12,1,0,0
2016,12,2,0,0
2016,12,3,0,0
2017,1,1,0,0
2017,1,2,0,0
2017,1,3,0,0
2017,2,1,0,0
2017,2,2,0,0
2017,2,3,0,0
2017,3,1,0,0
2017,3,2,0.002,0.002
2017,3,3,0.302,0.031
2017,4,1,0.475,0.587
2017,4,2,0.194,1.252
2017,4,3,5.148,3.007
2017,5,1,17.3,6.629
2017,5,2,35.998,9.706
2017,5,3,10.289,13.122
2017,6,1,30.532,25.665
2017,6,2,48.852,22.653
2017,6,3,33.437,31.426
2017,7,1,50.353,49.545
2017,7,2,42.283,48.819
2017,7,3,42.803,61.408
2017,8,1,97.611,64.011
2017,8,2,36.088,71.673
2017,8,3,93.108,67.353
2017,9,1,26.313,42.812
2017,9,2,46.472,35.282
2017,9,3,21.024,25.654
2017,10,1,14.333,11.773
2017,10,2,1.285,4.781
2017,10,3,2.463,2.406
2017,11,1,0.08,0.033
2017,11,2,0,0
2017,11,3,0,0
2017,12,1,0,0
2017,12,2,0,0
2017,12,3,0,0
2018,1,1,0,0
2018,1,2,0,0
2018,1,3,0,0
2018,2,1,0,0
2018,2,2,0,0
2018,2,3,0,0
2018,3,1,0,0
2018,3,2,0.004,0.002
2018,3,3,2.314,0.031
2018,4,1,0.086,0.587
2018,4,2,0.424,1.252
2018,4,3,0.804,3.007
2018,5,1,3.415,6.629
2018,5,2,8.071,9.706
2018,5,3,23.878,13.122
2018,6,1,33.333,25.665
2018,6,2,12.808,22.653
2018,6,3,36.243,31.426
2018,7,1,36.704,49.545
2018,7,2,62.676,48.819
2018,7,3,67.954,61.408
2018,8,1,92.294,64.011
2018,8,2,59.667,71.673
2018,8,3,103.402,67.353
2018,9,1,60.537,42.812
2018,9,2,44.377,35.282
2018,9,3,50.313,25.654
2018,10,1,21.159,11.773
2018,10,2,7.163,4.781
2018,10,3,2.188,2.406
2018,11,1,0.08,0.033
2018,11,2,0,0
2018,11,3,0,0
2018,12,1,0,0
2018,12,2,0,0
2018,12,3,0,0