"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2017,1,1,15.238,16.486
2017,1,2,7.774,13.967
2017,1,3,8.929,20.274
2017,2,1,2.911,13.873
2017,2,2,1.451,16.119
2017,2,3,1.936,9.124
2017,3,1,12.778,12.115
2017,3,2,21.063,11.842
2017,3,3,8.831,12.098
2017,4,1,11.716,10.19
2017,4,2,17.721,9.436
2017,4,3,2.942,8.059
2017,5,1,9.833,5.83
2017,5,2,3.574,4.415
2017,5,3,5.91,3.313
2017,6,1,0.744,0.57
2017,6,2,0.154,0.058
2017,6,3,0.048,0.011
2017,7,1,0,0
2017,7,2,0,0
2017,7,3,0,0
2017,8,1,0,0.001
2017,8,2,0.004,0.004
2017,8,3,0.026,0.015
2017,9,1,0.115,0.167
2017,9,2,0.091,0.262
2017,9,3,0.323,0.984
2017,10,1,2.791,3.412
2017,10,2,2.42,4.48
2017,10,3,7.437,8.444
2017,11,1,4.915,10.588
2017,11,2,5.555,9.267
2017,11,3,12.385,11.327
2017,12,1,5.073,12.84
2017,12,2,7.254,15.109
2017,12,3,15.687,13.55
2018,1,1,11.771,16.486
2018,1,2,24.05,13.967
2018,1,3,21.753,20.274
2018,2,1,13.551,13.873
2018,2,2,24.916,16.119
2018,2,3,22.276,9.124
2018,3,1,8.417,12.115
2018,3,2,5.675,11.842
2018,3,3,8.822,12.098
2018,4,1,12.753,10.19
2018,4,2,7.758,9.436
2018,4,3,7.426,8.059
2018,5,1,16.939,5.83
2018,5,2,11.173,4.415
2018,5,3,9.915,3.313
2018,6,1,7.509,0.57
2018,6,2,2.36,0.058
2018,6,3,0.218,0.011
2018,7,1,0.014,0
2018,7,2,0,0
2018,7,3,0.005,0
2018,8,1,0.004,0.001
2018,8,2,0.006,0.004
2018,8,3,0.083,0.015
2018,9,1,0.847,0.167
2018,9,2,0.371,0.262
2018,9,3,0.84,0.984
2018,10,1,4.175,3.412
2018,10,2,6.6,4.48
2018,10,3,13.674,8.444
2018,11,1,7.664,10.588
2018,11,2,7.956,9.267
2018,11,3,19.85,11.327
2018,12,1,12.721,12.84
2018,12,2,25.248,15.109
2018,12,3,36.449,13.55
2019,1,1,33.253,16.486
2019,1,2,22.932,13.967
2019,1,3,10.746,20.274
2019,2,1,32.58,13.873
2019,2,2,13.588,16.119
2019,2,3,8.598,9.124
2019,3,1,13.467,12.115
2019,3,2,17.581,11.842
2019,3,3,26.554,12.098
2019,4,1,19.858,10.19
2019,4,2,20.523,9.436
2019,4,3,9.891,8.059
2019,5,1,3.53,5.83
2019,5,2,1.388,4.415
2019,5,3,3.306,3.313
2019,6,1,2.731,0.57
2019,6,2,0.417,0.058
2019,6,3,0.102,0.011
2019,7,1,0,0
2019,7,2,0,0
2019,7,3,0,0
2019,8,1,0.004,0.001
2019,8,2,0.004,0.004
2019,8,3,0.023,0.015
2019,9,1,0.192,0.167
2019,9,2,0.222,0.262
2019,9,3,0.224,0.984
2019,10,1,1.812,3.412
2019,10,2,3.664,4.48
2019,10,3,6.229,8.444
2019,11,1,5.847,10.588
2019,11,2,3.183,9.267
2019,11,3,14.732,11.327
2019,12,1,11.858,12.84
2019,12,2,21.409,15.109
2019,12,3,26.919,13.55