"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2016,1,1,22.6,9.802
2016,1,2,7.67,8.727
2016,1,3,4.267,10.729
2016,2,1,4.595,8.538
2016,2,2,4.626,9.15
2016,2,3,5.301,6.057
2016,3,1,8.496,8.402
2016,3,2,7.037,8.403
2016,3,3,9.846,8.312
2016,4,1,4.207,8.084
2016,4,2,3.862,7.858
2016,4,3,3.979,6.396
2016,5,1,6.018,5.457
2016,5,2,3.614,4.732
2016,5,3,4.911,3.362
2016,6,1,0.616,0.375
2016,6,2,0.022,0.015
2016,6,3,0,0
2016,7,1,0,0
2016,7,2,0,0
2016,7,3,0,0
2016,8,1,0,0
2016,8,2,0,0
2016,8,3,0,0
2016,9,1,0,0
2016,9,2,0,0
2016,9,3,0.035,0
2016,10,1,1.572,1.629
2016,10,2,1.076,2.638
2016,10,3,4.384,5.138
2016,11,1,7.591,5.867
2016,11,2,3.218,5.49
2016,11,3,4.192,7.422
2016,12,1,4.493,7.82
2016,12,2,16.396,9.208
2016,12,3,8.261,9.189
2017,1,1,4.506,9.802
2017,1,2,2.828,8.727
2017,1,3,6.174,10.729
2017,2,1,2.878,8.538
2017,2,2,2.472,9.15
2017,2,3,1.679,6.057
2017,3,1,12.762,8.402
2017,3,2,15.708,8.403
2017,3,3,8.004,8.312
2017,4,1,10.352,8.084
2017,4,2,20.839,7.858
2017,4,3,2.525,6.396
2017,5,1,9.296,5.457
2017,5,2,3.54,4.732
2017,5,3,5.126,3.362
2017,6,1,0.617,0.375
2017,6,2,0.019,0.015
2017,6,3,0,0
2017,7,1,0,0
2017,7,2,0,0
2017,7,3,0,0
2017,8,1,0,0
2017,8,2,0,0
2017,8,3,0,0
2017,9,1,0,0
2017,9,2,0,0
2017,9,3,0.254,0
2017,10,1,1.142,1.629
2017,10,2,1.079,2.638
2017,10,3,2.616,5.138
2017,11,1,2.837,5.867
2017,11,2,4.826,5.49
2017,11,3,6.691,7.422
2017,12,1,5.358,7.82
2017,12,2,6.968,9.208
2017,12,3,12.441,9.189
2018,1,1,7.37,9.802
2018,1,2,13.62,8.727
2018,1,3,13.78,10.729
2018,2,1,7.264,8.538
2018,2,2,14.172,9.15
2018,2,3,12.554,6.057
2018,3,1,6.416,8.402
2018,3,2,5.106,8.403
2018,3,3,5.315,8.312
2018,4,1,6,8.084
2018,4,2,6.277,7.858
2018,4,3,6.202,6.396
2018,5,1,19.622,5.457
2018,5,2,9.095,4.732
2018,5,3,11.355,3.362
2018,6,1,1.622,0.375
2018,6,2,0.051,0.015
2018,6,3,0,0
2018,7,1,0,0
2018,7,2,0,0
2018,7,3,0,0
2018,8,1,0,0
2018,8,2,0,0
2018,8,3,0,0
2018,9,1,0,0
2018,9,2,0,0
2018,9,3,0.034,0
2018,10,1,5.163,1.629
2018,10,2,11.452,2.638
2018,10,3,13.798,5.138
2018,11,1,11.449,5.867
2018,11,2,8.185,5.49
2018,11,3,19.927,7.422
2018,12,1,19.022,7.82
2018,12,2,14.34,9.208
2018,12,3,8.642,9.189