"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2017,1,1,7.586,17.862
2017,1,2,7.469,13.69
2017,1,3,12.579,19.179
2017,2,1,7.028,19.545
2017,2,2,16.566,18.834
2017,2,3,8.697,15.269
2017,3,1,20,10.372
2017,3,2,15.462,10.814
2017,3,3,4.497,14.821
2017,4,1,3.91,4.821
2017,4,2,4.572,2.972
2017,4,3,1.234,2.903
2017,5,1,1.11,1.828
2017,5,2,1,1.2
2017,5,3,1.034,1.103
2017,6,1,0,0
2017,6,2,0,0
2017,6,3,0,0
2017,7,1,0,0
2017,7,2,0,0
2017,7,3,0,0
2017,8,1,0,0
2017,8,2,0,0
2017,8,3,0,0
2017,9,1,0,0
2017,9,2,0,0
2017,9,3,0.007,0
2017,10,1,1.138,1.462
2017,10,2,1.2,2.31
2017,10,3,2.076,3.91
2017,11,1,3.359,10.241
2017,11,2,5.276,8.883
2017,11,3,9.669,11.138
2017,12,1,7.862,16.6
2017,12,2,15.897,18.848
2017,12,3,42.655,15.945
2018,1,1,43.007,17.862
2018,1,2,14.2,13.69
2018,1,3,14.559,19.179
2018,2,1,11.869,19.545
2018,2,2,33.145,18.834
2018,2,3,19.124,15.269
2018,3,1,3.034,10.372
2018,3,2,3.552,10.814
2018,3,3,16.172,14.821
2018,4,1,4.552,4.821
2018,4,2,2.69,2.972
2018,4,3,11.828,2.903
2018,5,1,6.441,1.828
2018,5,2,2.041,1.2
2018,5,3,5.607,1.103
2018,6,1,0,0
2018,6,2,0,0
2018,6,3,0,0
2018,7,1,0,0
2018,7,2,0,0
2018,7,3,0,0
2018,8,1,0,0
2018,8,2,0,0
2018,8,3,0,0
2018,9,1,0,0
2018,9,2,0,0
2018,9,3,1.303,0
2018,10,1,2.89,1.462
2018,10,2,4.055,2.31
2018,10,3,8.559,3.91
2018,11,1,3.738,10.241
2018,11,2,16.593,8.883
2018,11,3,15.697,11.138
2018,12,1,39.779,16.6
2018,12,2,21.366,18.848
2018,12,3,19.083,15.945
2019,1,1,22.055,17.862
2019,1,2,22.876,13.69
2019,1,3,10.338,19.179
2019,2,1,46.966,19.545
2019,2,2,21.572,18.834
2019,2,3,9.91,15.269
2019,3,1,10.972,10.372
2019,3,2,8.614,10.814
2019,3,3,41.931,14.821
2019,4,1,7.972,4.821
2019,4,2,4.703,2.972
2019,4,3,3.407,2.903
2019,5,1,2.221,1.828
2019,5,2,1,1.2
2019,5,3,1.048,1.103
2019,6,1,0.338,0
2019,6,2,0,0
2019,6,3,0,0
2019,7,1,0,0
2019,7,2,0,0
2019,7,3,0,0
2019,8,1,0,0
2019,8,2,0,0
2019,8,3,0,0
2019,9,1,0,0
2019,9,2,0,0
2019,9,3,0,0
2019,10,1,1.021,1.462
2019,10,2,5.366,2.31
2019,10,3,3.359,3.91
2019,11,1,3.221,10.241
2019,11,2,14.476,8.883
2019,11,3,4.076,11.138
2019,12,1,13.331,16.6
2019,12,2,18.407,18.848
2019,12,3,31.607,15.945