"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2017,1,1,30.727,28.282
2017,1,2,14.264,23.6
2017,1,3,13.518,33.782
2017,2,1,5.8,25.241
2017,2,2,3.477,30.091
2017,2,3,5.427,19.227
2017,3,1,18.909,17.695
2017,3,2,32.709,19.341
2017,3,3,18.332,19.291
2017,4,1,12.309,13.377
2017,4,2,15.736,11.095
2017,4,3,3.841,10.032
2017,5,1,6.432,6.886
2017,5,2,5.05,4.591
2017,5,3,7.509,3.636
2017,6,1,1.073,1.232
2017,6,2,1.55,0.932
2017,6,3,0.795,0.359
2017,7,1,0,0
2017,7,2,0,0
2017,7,3,0,0
2017,8,1,0,0
2017,8,2,0,0
2017,8,3,0.118,0.014
2017,9,1,0.827,1.068
2017,9,2,0.745,1.441
2017,9,3,1.241,3.436
2017,10,1,6.659,5.895
2017,10,2,3.359,7.295
2017,10,3,12.518,12.105
2017,11,1,7.232,16.1
2017,11,2,11.495,12.9
2017,11,3,20.209,15.823
2017,12,1,8.982,26.682
2017,12,2,12.318,30.091
2017,12,3,29.023,26.541
2018,1,1,34.314,28.282
2018,1,2,33.191,23.6
2018,1,3,49.995,33.782
2018,2,1,23.482,25.241
2018,2,2,42.486,30.091
2018,2,3,35.364,19.227
2018,3,1,10.668,17.695
2018,3,2,8.882,19.341
2018,3,3,13.377,19.291
2018,4,1,16.668,13.377
2018,4,2,7.486,11.095
2018,4,3,11.886,10.032
2018,5,1,18.341,6.886
2018,5,2,17.909,4.591
2018,5,3,8.882,3.636
2018,6,1,8.909,1.232
2018,6,2,9.373,0.932
2018,6,3,1.973,0.359
2018,7,1,0.036,0
2018,7,2,0,0
2018,7,3,0,0
2018,8,1,0,0
2018,8,2,0,0
2018,8,3,0.295,0.014
2018,9,1,4.482,1.068
2018,9,2,1.445,1.441
2018,9,3,1.405,3.436
2018,10,1,5.986,5.895
2018,10,2,8.486,7.295
2018,10,3,18.632,12.105
2018,11,1,5.568,16.1
2018,11,2,9.941,12.9
2018,11,3,29.909,15.823
2018,12,1,23,26.682
2018,12,2,58.191,30.091
2018,12,3,55.895,26.541
2019,1,1,52.514,28.282
2019,1,2,32.145,23.6
2019,1,3,14.982,33.782
2019,2,1,58.818,25.241
2019,2,2,43.314,30.091
2019,2,3,15.091,19.227
2019,3,1,17.486,17.695
2019,3,2,19.059,19.341
2019,3,3,26.559,19.291
2019,4,1,18.659,13.377
2019,4,2,30.286,11.095
2019,4,3,8.955,10.032
2019,5,1,3.105,6.886
2019,5,2,1.814,4.591
2019,5,3,3.523,3.636
2019,6,1,5.386,1.232
2019,6,2,1.25,0.932
2019,6,3,0.964,0.359
2019,7,1,0,0
2019,7,2,0,0
2019,7,3,0,0
2019,8,1,0,0
2019,8,2,0,0
2019,8,3,0.105,0.014
2019,9,1,1.127,1.068
2019,9,2,1.359,1.441
2019,9,3,1.023,3.436
2019,10,1,2.836,5.895
2019,10,2,5.755,7.295
2019,10,3,7.895,12.105
2019,11,1,7,16.1
2019,11,2,4.318,12.9
2019,11,3,38.659,15.823
2019,12,1,23.605,26.682
2019,12,2,44.105,30.091
2019,12,3,69.65,26.541