"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2017,1,1,0.143,0
2017,1,2,0,0
2017,1,3,0.357,0.071
2017,2,1,0.929,0
2017,2,2,2.714,0
2017,2,3,1,0
2017,3,1,3.214,2
2017,3,2,1.857,2.143
2017,3,3,7.357,5.786
2017,4,1,1,9.357
2017,4,2,1.714,13.714
2017,4,3,16.429,12.929
2017,5,1,19.143,4.786
2017,5,2,17.929,4
2017,5,3,5.643,3.5
2017,6,1,0,0
2017,6,2,0,0
2017,6,3,1,1
2017,7,1,23.571,8
2017,7,2,29.714,12.286
2017,7,3,29.071,13.5
2017,8,1,39,25.071
2017,8,2,31.571,21.643
2017,8,3,21.5,18.429
2017,9,1,2.786,2.857
2017,9,2,1,0.929
2017,9,3,0.643,0
2017,10,1,0,0
2017,10,2,0,0
2017,10,3,0,0
2017,11,1,1,1
2017,11,2,1.714,1.714
2017,11,3,1.143,1
2017,12,1,1,0.643
2017,12,2,0.929,0.071
2017,12,3,1,0.143
2018,1,1,0.143,0
2018,1,2,0,0
2018,1,3,0.429,0.071
2018,2,1,1,0
2018,2,2,1,0
2018,2,3,1.786,0
2018,3,1,2.286,2
2018,3,2,2,2.143
2018,3,3,3.357,5.786
2018,4,1,14,9.357
2018,4,2,8.5,13.714
2018,4,3,24.5,12.929
2018,5,1,6.429,4.786
2018,5,2,3.643,4
2018,5,3,3,3.5
2018,6,1,1,0
2018,6,2,0,0
2018,6,3,1,1
2018,7,1,25.214,8
2018,7,2,3.571,12.286
2018,7,3,5.071,13.5
2018,8,1,42.929,25.071
2018,8,2,32.929,21.643
2018,8,3,21.714,18.429
2018,9,1,3.429,2.857
2018,9,2,1.786,0.929
2018,9,3,0.929,0
2018,10,1,0,0
2018,10,2,0,0
2018,10,3,0,0
2018,11,1,1,1
2018,11,2,1.071,1.714
2018,11,3,1.714,1
2018,12,1,1,0.643
2018,12,2,1,0.071
2018,12,3,1,0.143
2019,1,1,0.071,0
2019,1,2,0,0
2019,1,3,0.214,0.071
2019,2,1,0.929,0
2019,2,2,1,0
2019,2,3,2.571,0
2019,3,1,2.214,2
2019,3,2,2.786,2.143
2019,3,3,3.143,5.786
2019,4,1,14.5,9.357
2019,4,2,20.071,13.714
2019,4,3,4.857,12.929
2019,5,1,2.286,4.786
2019,5,2,10.214,4
2019,5,3,16.286,3.5
2019,6,1,0.286,0
2019,6,2,0,0
2019,6,3,1,1
2019,7,1,5.786,8
2019,7,2,4.214,12.286
2019,7,3,7.857,13.5
2019,8,1,16.286,25.071
2019,8,2,4.786,21.643
2019,8,3,8.143,18.429
2019,9,1,3.429,2.857
2019,9,2,3.571,0.929
2019,9,3,1.571,0
2019,10,1,0,0
2019,10,2,0,0
2019,10,3,0,0
2019,11,1,1,1
2019,11,2,1.143,1.714
2019,11,3,1.786,1
2019,12,1,0.929,0.643
2019,12,2,1,0.071
2019,12,3,1,0.143