"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2017,1,1,0.827,0
2017,1,2,0.559,0.006
2017,1,3,1.056,0.274
2017,2,1,2.112,1.123
2017,2,2,5.078,1.235
2017,2,3,2,0.732
2017,3,1,3.123,2.43
2017,3,2,2.229,3.296
2017,3,3,9.559,6.553
2017,4,1,2.676,9.464
2017,4,2,3.358,12.039
2017,4,3,18.743,13.832
2017,5,1,26.978,15.408
2017,5,2,31.318,14.771
2017,5,3,24.48,13.346
2017,6,1,1.078,2.022
2017,6,2,0,0
2017,6,3,1.531,1.665
2017,7,1,16.67,10.385
2017,7,2,26.877,15.346
2017,7,3,18.799,18.927
2017,8,1,33.307,23.821
2017,8,2,48.838,25.274
2017,8,3,46.989,24.095
2017,9,1,10.503,7.754
2017,9,2,4.676,4.726
2017,9,3,4.771,2.782
2017,10,1,1.156,2.944
2017,10,2,0.989,1.218
2017,10,3,1.24,1.799
2017,11,1,1.006,0.749
2017,11,2,1,0.927
2017,11,3,0.989,0.603
2017,12,1,0.665,0.341
2017,12,2,0.905,0.274
2017,12,3,1.078,0.57
2018,1,1,0.827,0
2018,1,2,0.592,0.006
2018,1,3,1.045,0.274
2018,2,1,2.201,1.123
2018,2,2,2.419,1.235
2018,2,3,1.307,0.732
2018,3,1,2.709,2.43
2018,3,2,2.173,3.296
2018,3,3,2.916,6.553
2018,4,1,11.721,9.464
2018,4,2,17.609,12.039
2018,4,3,24.793,13.832
2018,5,1,16.229,15.408
2018,5,2,32.609,14.771
2018,5,3,20.117,13.346
2018,6,1,4.302,2.022
2018,6,2,0,0
2018,6,3,3.352,1.665
2018,7,1,18.816,10.385
2018,7,2,6.514,15.346
2018,7,3,17.352,18.927
2018,8,1,27.642,23.821
2018,8,2,27.804,25.274
2018,8,3,23.676,24.095
2018,9,1,8.883,7.754
2018,9,2,6.168,4.726
2018,9,3,2.24,2.782
2018,10,1,1.894,2.944
2018,10,2,6.084,1.218
2018,10,3,4.101,1.799
2018,11,1,0.927,0.749
2018,11,2,1.687,0.927
2018,11,3,1.765,0.603
2018,12,1,0.676,0.341
2018,12,2,0.911,0.274
2018,12,3,1.14,0.57
2019,1,1,0.765,0
2019,1,2,0.291,0.006
2019,1,3,0.922,0.274
2019,2,1,2.011,1.123
2019,2,2,2.313,1.235
2019,2,3,1.291,0.732
2019,3,1,3.251,2.43
2019,3,2,2.62,3.296
2019,3,3,2.927,6.553
2019,4,1,8.944,9.464
2019,4,2,24.324,12.039
2019,4,3,7.402,13.832
2019,5,1,7.497,15.408
2019,5,2,19.531,14.771
2019,5,3,32.905,13.346
2019,6,1,3.196,2.022
2019,6,2,0,0
2019,6,3,2.128,1.665
2019,7,1,14.335,10.385
2019,7,2,12.207,15.346
2019,7,3,15.028,18.927
2019,8,1,19.922,23.821
2019,8,2,13.196,25.274
2019,8,3,21.117,24.095
2019,9,1,9.318,7.754
2019,9,2,8.218,4.726
2019,9,3,8.162,2.782
2019,10,1,8.726,2.944
2019,10,2,4.799,1.218
2019,10,3,1.006,1.799
2019,11,1,0.721,0.749
2019,11,2,1.045,0.927
2019,11,3,2.156,0.603
2019,12,1,1.291,0.341
2019,12,2,1.151,0.274
2019,12,3,1.084,0.57