"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2018,1,1,0.783,0.137
2018,1,2,0.631,0.146
2018,1,3,1.274,0.69
2018,2,1,2.289,1.762
2018,2,2,2.738,1.673
2018,2,3,1.869,1.298
2018,3,1,3.92,3.003
2018,3,2,3.182,3.402
2018,3,3,2.586,4.324
2018,4,1,4.738,4.676
2018,4,2,8.018,5.47
2018,4,3,9.238,7.003
2018,5,1,14.229,11.11
2018,5,2,46.577,12.929
2018,5,3,17.08,11.188
2018,6,1,4.527,1.836
2018,6,2,0,0
2018,6,3,1.997,0.53
2018,7,1,9.045,6.539
2018,7,2,3.426,8.241
2018,7,3,10.074,11.238
2018,8,1,12.759,11.863
2018,8,2,15.854,13.167
2018,8,3,19.905,15.196
2018,9,1,11.408,12.685
2018,9,2,17.774,13.196
2018,9,3,5.292,10.393
2018,10,1,2.045,6.241
2018,10,2,7.911,2.304
2018,10,3,2.262,2.679
2018,11,1,0.497,0.884
2018,11,2,1.098,0.711
2018,11,3,1.083,0.702
2018,12,1,0.589,0.917
2018,12,2,0.857,0.595
2018,12,3,1.125,0.926
2019,1,1,0.283,0.137
2019,1,2,0.274,0.146
2019,1,3,0.899,0.69
2019,2,1,1.747,1.762
2019,2,2,2.33,1.673
2019,2,3,1.568,1.298
2019,3,1,4.098,3.003
2019,3,2,3.155,3.402
2019,3,3,2.768,4.324
2019,4,1,1.78,4.676
2019,4,2,6.866,5.47
2019,4,3,3.003,7.003
2019,5,1,5.613,11.11
2019,5,2,12.929,12.929
2019,5,3,27.863,11.188
2019,6,1,5.185,1.836
2019,6,2,0,0
2019,6,3,1.25,0.53
2019,7,1,7.143,6.539
2019,7,2,10.339,8.241
2019,7,3,11.116,11.238
2019,8,1,9.562,11.863
2019,8,2,9.652,13.167
2019,8,3,15.67,15.196
2019,9,1,9.988,12.685
2019,9,2,18.402,13.196
2019,9,3,23.866,10.393
2019,10,1,12.223,6.241
2019,10,2,7.387,2.304
2019,10,3,1.56,2.679
2019,11,1,1.274,0.884
2019,11,2,1.057,0.711
2019,11,3,1.229,0.702
2019,12,1,2.045,0.917
2019,12,2,1.241,0.595
2019,12,3,1.426,0.926
2020,1,1,0.914,0.137
2020,1,2,0.699,0.146
2020,1,3,2.577,0.69
2020,2,1,2.164,1.762
2020,2,2,2.696,1.673
2020,2,3,2.045,1.298
2020,3,1,3.438,3.003
2020,3,2,3.092,3.402
2020,3,3,8.634,4.324
2020,4,1,,4.676
2020,4,2,,5.47
2020,4,3,,7.003
2020,5,1,,11.11
2020,5,2,,12.929
2020,5,3,,11.188
2020,6,1,,1.836
2020,6,2,,0
2020,6,3,,0.53
2020,7,1,,6.539
2020,7,2,,8.241
2020,7,3,,11.238
2020,8,1,,11.863
2020,8,2,,13.167
2020,8,3,,15.196
2020,9,1,,12.685
2020,9,2,,13.196
2020,9,3,,10.393
2020,10,1,,6.241
2020,10,2,,2.304
2020,10,3,,2.679
2020,11,1,,0.884
2020,11,2,,0.711
2020,11,3,,0.702
2020,12,1,,0.917
2020,12,2,,0.595
2020,12,3,,0.926