"SvyDate","Date","Dmgrph","DmgrphCode","Mean_crrnt","Pop","PopNmbr"
"2019-4-25_2019-5-25",2019-05-25,Adamawa Central,,32.32563161304253,1652420,534155
"2019-4-25_2019-5-25",2019-05-25,Adamawa North,,31.084133258046286,687112,213582
"2019-4-25_2019-5-25",2019-05-25,Adamawa South,,18.338683788121983,1245780,228459
"2019-4-25_2019-5-25",2019-05-25,Borno Central,,44.560741249142076,2555073,1138559
"2019-4-25_2019-5-25",2019-05-25,Borno North,,35.330498647081555,1307417,461916
"2019-4-25_2019-5-25",2019-05-25,Borno South,,45.49422336328624,1741798,792417
"2019-4-25_2019-5-25",2019-05-25,Yobe East,,39.39149165320408,1295611,510360
"2019-4-25_2019-5-25",2019-05-25,Yobe North,,33.543397307361765,1019027,341816
"2019-4-25_2019-5-25",2019-05-25,Yobe South,,38.899676375404525,1751777,681435
"2019-4-26_2019-5-26",2019-05-26,Adamawa Central,,32.0877688464045,1652420,530224
"2019-4-26_2019-5-26",2019-05-26,Adamawa North,,31.75637393767704,687112,218201
"2019-4-26_2019-5-26",2019-05-26,Adamawa South,,18.390342052313876,1245780,229103
"2019-4-26_2019-5-26",2019-05-26,Borno Central,,44.48018963765662,2555073,1136501
"2019-4-26_2019-5-26",2019-05-26,Borno North,,35.654378779013065,1307417,466151
"2019-4-26_2019-5-26",2019-05-26,Borno South,,45.038560411311025,1741798,784480
"2019-4-26_2019-5-26",2019-05-26,Yobe East,,39.766240826311474,1295611,515215
"2019-4-26_2019-5-26",2019-05-26,Yobe North,,33.230596805827936,1019027,338628
"2019-4-26_2019-5-26",2019-05-26,Yobe South,,39.784263959390856,1751777,696931
"2019-4-27_2019-5-27",2019-05-27,Adamawa Central,,29.72253052164261,1652420,491141
"2019-4-27_2019-5-27",2019-05-27,Adamawa North,,32.0411160058737,687112,220158
"2019-4-27_2019-5-27",2019-05-27,Adamawa South,,14.8462783171521,1245780,184951
"2019-4-27_2019-5-27",2019-05-27,Borno Central,,44.08620113598396,2555073,1126434
"2019-4-27_2019-5-27",2019-05-27,Borno North,,33.23488875762945,1307417,434518
"2019-4-27_2019-5-27",2019-05-27,Borno South,,45.8097686375321,1741798,797913
"2019-4-27_2019-5-27",2019-05-27,Yobe East,,38.33423765599564,1295611,496662
"2019-4-27_2019-5-27",2019-05-27,Yobe North,,30.576868428530812,1019027,311586
"2019-4-27_2019-5-27",2019-05-27,Yobe South,,39.48387096774193,1751777,691669
"2019-4-28_2019-5-28",2019-05-28,Adamawa Central,,29.888392857142847,1652420,493881
"2019-4-28_2019-5-28",2019-05-28,Adamawa North,,30.542452830188665,687112,209860
"2019-4-28_2019-5-28",2019-05-28,Adamawa South,,16.19086460032626,1245780,201702
"2019-4-28_2019-5-28",2019-05-28,Borno Central,,40.66601049868767,2555073,1039046
"2019-4-28_2019-5-28",2019-05-28,Borno North,,31.736056559308718,1307417,414922
"2019-4-28_2019-5-28",2019-05-28,Borno South,,46.25256673511292,1741798,805626
"2019-4-28_2019-5-28",2019-05-28,Yobe East,,36.07038123167153,1295611,467331
"2019-4-28_2019-5-28",2019-05-28,Yobe North,,29.809062410943262,1019027,303762
"2019-4-28_2019-5-28",2019-05-28,Yobe South,,38.81606765327696,1751777,679970
"2019-4-29_2019-5-29",2019-05-29,Adamawa Central,,29.604244970152546,1652420,489186
"2019-4-29_2019-5-29",2019-05-29,Adamawa North,,30.787309048178592,687112,211543
"2019-4-29_2019-5-29",2019-05-29,Adamawa South,,18.524523713011757,1245780,230774
"2019-4-29_2019-5-29",2019-05-29,Borno Central,,38.96209533105581,2555073,995509
"2019-4-29_2019-5-29",2019-05-29,Borno North,,31.06700727058361,1307417,406175
"2019-4-29_2019-5-29",2019-05-29,Borno South,,46.994818652849716,1741798,818554
"2019-4-29_2019-5-29",2019-05-29,Yobe East,,35.15993707393811,1295611,455536
"2019-4-29_2019-5-29",2019-05-29,Yobe North,,28.143543373834397,1019027,286790
"2019-4-29_2019-5-29",2019-05-29,Yobe South,,38.6168384879725,1751777,676480
"2019-4-30_2019-5-30",2019-05-30,Adamawa Central,,29.409180759938494,1652420,485963
"2019-4-30_2019-5-30",2019-05-30,Adamawa North,,30.36087086191468,687112,208613
"2019-4-30_2019-5-30",2019-05-30,Adamawa South,,17.58893280632411,1245780,219119
"2019-4-30_2019-5-30",2019-05-30,Borno Central,,38.78979829971662,2555073,991107
"2019-4-30_2019-5-30",2019-05-30,Borno North,,29.117082533589247,1307417,380681
"2019-4-30_2019-5-30",2019-05-30,Borno South,,44.23565261554087,1741798,770495
"2019-4-30_2019-5-30",2019-05-30,Yobe East,,34.917780061664935,1295611,452398
"2019-4-30_2019-5-30",2019-05-30,Yobe North,,26.811801775995402,1019027,273219
"2019-4-30_2019-5-30",2019-05-30,Yobe South,,38.25301204819276,1751777,670107
"2019-5-1_2019-5-31",2019-05-31,Adamawa Central,,32.62739907346128,1652420,539141
"2019-5-1_2019-5-31",2019-05-31,Adamawa North,,32.46410782302957,687112,223064
"2019-5-1_2019-5-31",2019-05-31,Adamawa South,,16.735197368421048,1245780,208483
"2019-5-1_2019-5-31",2019-05-31,Borno Central,,35.7892982163694,2555073,914442
"2019-5-1_2019-5-31",2019-05-31,Borno North,,27.423664122137403,1307417,358541
"2019-5-1_2019-5-31",2019-05-31,Borno South,,46.97318007662833,1741798,818177
"2019-5-1_2019-5-31",2019-05-31,Yobe East,,36.74809561334382,1295611,476112
"2019-5-1_2019-5-31",2019-05-31,Yobe North,,25.757130255807105,1019027,262472
"2019-5-1_2019-5-31",2019-05-31,Yobe South,,37.09746672391583,1751777,649864
"2019-5-2_2019-6-1",2019-06-01,Adamawa Central,,30.516637478108578,1652420,504263
"2019-5-2_2019-6-1",2019-06-01,Adamawa North,,30.868924889543422,687112,212104
