SvyDate,Date,Dmgrph,DmgrphCode,Mean_crrnt,Pop,PopNmbr
2019-6-1_2019-6-30,2019-06-30,SOUTH-WEST,900968,49.4356,1837059,908161
2019-4-2_2019-6-30,2019-06-30,ADAMAWA,900959,26.797950000000004,1295480,347162
2019-4-2_2019-6-30,2019-06-30,CENTRAL,900960,19.64846,4672234,918022
2019-4-2_2019-6-30,2019-06-30,EAST,900961,19.1793,1108419,212587
2019-4-2_2019-6-30,2019-06-30,FAR-NORTH,900962,16.05136,4545866,729673
2019-4-2_2019-6-30,2019-06-30,LITTORAL,900963,22.01705,3845583,846683
2019-4-2_2019-6-30,2019-06-30,NORTH,900964,9.02326,2825922,254990
2019-4-2_2019-6-30,2019-06-30,SOUTH,900967,19.98382,797019,159274
2019-4-2_2019-6-30,2019-06-30,WEST,900966,39.07455,2066677,807544
2019-6-1_2019-6-30,2019-06-30,NORTH-WEST,900965,55.994530000000005,2221973,1244183
2019-6-2_2019-7-1,2019-07-01,NORTH-WEST,900965,54.47852999999999,2221973,1210498
2019-6-2_2019-7-1,2019-07-01,SOUTH-WEST,900968,49.05338,1837059,901139
2019-4-3_2019-7-1,2019-07-01,ADAMAWA,900959,27.08333,1295480,350859
2019-4-3_2019-7-1,2019-07-01,CENTRAL,900960,19.143730000000005,4672234,894439
2019-4-3_2019-7-1,2019-07-01,EAST,900961,22.09802,1108419,244938
2019-4-3_2019-7-1,2019-07-01,FAR-NORTH,900962,15.612799999999998,4545866,709736
2019-4-3_2019-7-1,2019-07-01,LITTORAL,900963,20.69426,3845583,795814
2019-4-3_2019-7-1,2019-07-01,NORTH,900964,8.45684,2825922,238983
2019-4-3_2019-7-1,2019-07-01,SOUTH,900967,19.556610000000006,797019,155869
2019-4-3_2019-7-1,2019-07-01,WEST,900966,37.469190000000005,2066677,774367
2019-6-3_2019-7-2,2019-07-02,NORTH-WEST,900965,53.89045,2221973,1197431
2019-6-3_2019-7-2,2019-07-02,SOUTH-WEST,900968,50.59499,1837059,929459
