"SvyDate","Date","Dmgrph","DmgrphCode","Mean_crrnt","Pop","PopNmbr"
"2018-8-1_2018-8-31","2018-08-31",Lattakia,900228,30.5158,1163263,354979
"2018-8-1_2018-8-31","2018-08-31",Damascus,900222,25.0221,1812164,453441
"2018-8-1_2018-8-31","2018-08-31",Rural Damascus,900230,27.6534,3177441,878670
"2018-8-1_2018-8-31","2018-08-31",Dar'a,900223,47.619,565619,269342
"2018-8-1_2018-8-31","2018-08-31",Al-Hasakeh,900218,36.7731,1010783,371695
"2018-8-1_2018-8-31","2018-08-31",Tartous,900231,25.9615,813169,211111
"2018-8-1_2018-8-31","2018-08-31",Hama,900225,25.7685,1538162,396361
"2018-8-1_2018-8-31","2018-08-31",Aleppo,900219,21.6191,2852310,616642
"2018-8-1_2018-8-31","2018-08-31",Homs,900226,25.8321,884578,228504
"2018-8-1_2018-8-31","2018-08-31",As-Sweida,900221,27.2206,363882,99050
"2018-8-2_2018-9-1","2018-09-01",Homs,900226,26.1833,884578,231611
"2018-8-2_2018-9-1","2018-09-01",As-Sweida,900221,26.4095,363882,96099
"2018-8-2_2018-9-1","2018-09-01",Lattakia,900228,30.5158,1163263,354979
"2018-8-2_2018-9-1","2018-09-01",Damascus,900222,25.245,1812164,457481
"2018-8-2_2018-9-1","2018-09-01",Rural Damascus,900230,27.7,3177441,880151
"2018-8-2_2018-9-1","2018-09-01",Dar'a,900223,47.619,565619,269342
"2018-8-2_2018-9-1","2018-09-01",Al-Hasakeh,900218,36.7731,1010783,371695
"2018-8-2_2018-9-1","2018-09-01",Tartous,900231,26.4706,813169,215250
"2018-8-2_2018-9-1","2018-09-01",Hama,900225,26.0448,1538162,400611
"2018-8-2_2018-9-1","2018-09-01",Aleppo,900219,22.5137,2852310,642159
"2018-8-3_2018-9-2","2018-09-02",Al-Hasakeh,900218,35.1054,1010783,354839
"2018-8-3_2018-9-2","2018-09-02",Tartous,900231,27.2397,813169,221504
"2018-8-3_2018-9-2","2018-09-02",Hama,900225,22.893,1538162,352130
"2018-8-3_2018-9-2","2018-09-02",Aleppo,900219,21.917,2852310,625141
"2018-8-3_2018-9-2","2018-09-02",Homs,900226,22.1774,884578,196176
"2018-8-3_2018-9-2","2018-09-02",As-Sweida,900221,26.7267,363882,97253
"2018-8-3_2018-9-2","2018-09-02",Lattakia,900228,30.5158,1163263,354979
"2018-8-3_2018-9-2","2018-09-02",Damascus,900222,23.493,1812164,425732
"2018-8-3_2018-9-2","2018-09-02",Rural Damascus,900230,27.8404,3177441,884613
"2018-8-3_2018-9-2","2018-09-02",Dar'a,900223,45.5408,565619,257587
"2018-8-4_2018-9-3","2018-09-03",Damascus,900222,26.5537,1812164,481196
"2018-8-4_2018-9-3","2018-09-03",Rural Damascus,900230,27.2319,3177441,865278
"2018-8-4_2018-9-3","2018-09-03",Dar'a,900223,45.2575,984057,445359
"2018-8-4_2018-9-3","2018-09-03",Al-Hasakeh,900218,34.9558,1010783,353327
"2018-8-4_2018-9-3","2018-09-03",Tartous,900231,25.4501,813169,206952
"2018-8-4_2018-9-3","2018-09-03",Hama,900225,21.0922,1538162,324432
"2018-8-4_2018-9-3","2018-09-03",Aleppo,900219,21.434,2852310,611365
"2018-8-4_2018-9-3","2018-09-03",Homs,900226,19.1098,884578,169041
"2018-8-4_2018-9-3","2018-09-03",As-Sweida,900221,25.2794,363882,91987
"2018-8-4_2018-9-3","2018-09-03",Lattakia,900228,28.4737,1163263,331223
"2018-8-5_2018-9-4","2018-09-04",As-Sweida,900221,27.5013,363882,100072
"2018-8-5_2018-9-4","2018-09-04",Lattakia,900228,29.9206,1163263,348054
"2018-8-5_2018-9-4","2018-09-04",Damascus,900222,28.3126,1812164,513070
"2018-8-5_2018-9-4","2018-09-04",Rural Damascus,900230,28.6953,3177441,911777
"2018-8-5_2018-9-4","2018-09-04",Dar'a,900223,46.1978,984057,454613
"2018-8-5_2018-9-4","2018-09-04",Al-Hasakeh,900218,36.4508,1010783,368438
"2018-8-5_2018-9-4","2018-09-04",Tartous,900231,26.2966,813169,213835
"2018-8-5_2018-9-4","2018-09-04",Hama,900225,18.8424,1538162,289826
"2018-8-5_2018-9-4","2018-09-04",Aleppo,900219,21.3653,2852310,609404
"2018-8-5_2018-9-4","2018-09-04",Homs,900226,16.9372,884578,149822
"2018-8-6_2018-9-5","2018-09-05",Hama,900225,19.4741,1538162,299543
"2018-8-6_2018-9-5","2018-09-05",Aleppo,900219,21.0905,2852310,601567
"2018-8-6_2018-9-5","2018-09-05",Homs,900226,18.2171,884578,161144
"2018-8-6_2018-9-5","2018-09-05",As-Sweida,900221,27.4209,363882,99779
"2018-8-6_2018-9-5","2018-09-05",Lattakia,900228,32.7441,1163263,380900
"2018-8-6_2018-9-5","2018-09-05",Damascus,900222,30.751,1812164,557259
"2018-8-6_2018-9-5","2018-09-05",Rural Damascus,900230,27.8059,3177441,883515
"2018-8-6_2018-9-5","2018-09-05",Dar'a,900223,45.3799,984057,446564
"2018-8-6_2018-9-5","2018-09-05",Al-Hasakeh,900218,36.6617,1010783,370570
"2018-8-6_2018-9-5","2018-09-05",Tartous,900231,26.4901,813169,215409
"2018-8-7_2018-9-6","2018-09-06",Rural Damascus,900230,27.8753,3177441,885720
"2018-8-7_2018-9-6","2018-09-06",Dar'a,900223,45.5893,984057,448624
"2018-8-7_2018-9-6","2018-09-06",Al-Hasakeh,900218,37.3779,1010783,377809
"2018-8-7_2018-9-6","2018-09-06",Tartous,900231,27.5986,813169,224423
