"Year","Month","Dekad","NDVI Anomaly"
2021,1,1,105.143713695397
2021,1,2,106.941279724283
2021,1,3,108.004864460502
2021,2,1,107.427519675526
2021,2,2,106.631170460152
2021,2,3,106.340069159841
2021,3,1,107.268068444439
2021,3,2,107.972189548405
2021,3,3,107.882843988166
2021,4,1,106.108411744306
2021,4,2,100.177592940491
2021,4,3,98.2766773206648
2021,5,1,97.10189015358
2021,5,2,96.6373410267725
2021,5,3,97.7200853983517
2021,6,1,99.0117485829852
2021,6,2,99.6772327541885
2021,6,3,99.3538466180168
2021,7,1,98.4247943732609
2021,7,2,99.0982577079654
2021,7,3,100.118882805704
2021,8,1,100.929620966468
2021,8,2,100.109546471824
2021,8,3,98.8394457211062
2021,9,1,97.5443751555891
2021,9,2,96.9403939571477
2021,9,3,97.7034872168611
2021,10,1,98.4572426708661
2021,10,2,98.9876625916435
2021,10,3,98.5146385069358
2021,11,1,98.2698074761175
2021,11,2,98.4139557732233
2021,11,3,99.9850302251458
2021,12,1,101.159152334715
2021,12,2,102.257294802701
2021,12,3,103.55453275316
2022,1,1,107.399807501592
2022,1,2,108.529055890323
2022,1,3,107.687687767775
2022,2,1,106.335029989567
2022,2,2,104.562830660925
2022,2,3,103.020962563761
2022,3,1,102.143725330625
2022,3,2,102.774928416188
2022,3,3,103.351600036126
2022,4,1,102.707113568208
2022,4,2,N/A,
2022,4,3,N/A,
2022,5,1,N/A,
2022,5,2,N/A,
2022,5,3,N/A,
2022,6,1,N/A,
2022,6,2,N/A,
2022,6,3,N/A,
2022,7,1,N/A,
2022,7,2,N/A,
2022,7,3,N/A,
2022,8,1,N/A,
2022,8,2,N/A,
2022,8,3,N/A,
2022,9,1,N/A,
2022,9,2,N/A,
2022,9,3,N/A,
2022,10,1,N/A,
2022,10,2,N/A,
2022,10,3,N/A,
2022,11,1,N/A,
2022,11,2,N/A,
2022,11,3,N/A,
2022,12,1,N/A,
2022,12,2,N/A,
2022,12,3,N/A,