"Year","Month","Dekad","NDVI","Average"
2021,1,1,0.3888216,0.3673541
2021,1,2,0.3767141,0.3490172
2021,1,3,0.3549799,0.3249645
2021,2,1,0.3461335,0.3187449
2021,2,2,0.3405421,0.3162551
2021,2,3,0.3409498,0.3176411
2021,3,1,0.3580812,0.3304312
2021,3,2,0.3718806,0.3407308
2021,3,3,0.3847985,0.3530284
2021,4,1,0.3921129,0.3666615
2021,4,2,0.3995761,0.3987791
2021,4,3,0.4097438,0.4178056
2021,5,1,0.4240088,0.4381561
2021,5,2,0.44209,0.4592131
2021,5,3,0.4885007,0.5010645
2021,6,1,0.5155559,0.5212008
2021,6,2,0.5387977,0.5407043
2021,6,3,0.5559146,0.5598552
2021,7,1,0.5881343,0.5983471
2021,7,2,0.6104116,0.616421
2021,7,3,0.6348482,0.634035
2021,8,1,0.6715936,0.6649473
2021,8,2,0.6771541,0.6763584
2021,8,3,0.6759867,0.6845111
2021,9,1,0.6717599,0.6899298
2021,9,2,0.6710886,0.6938474
2021,9,3,0.6752779,0.6923255
2021,10,1,0.6766177,0.6880033
2021,10,2,0.6725451,0.6799345
2021,10,3,0.6383403,0.6487188
2021,11,1,0.6126851,0.6243527
2021,11,2,0.583865,0.5940804
2021,11,3,0.5224012,0.5224869
2021,12,1,0.4915536,0.4853481
2021,12,2,0.4612197,0.4499347
2021,12,3,0.4345853,0.4179518
2022,1,1,0.3982375,0.3673541
2022,1,2,0.3830496,0.3490172
2022,1,3,0.3537906,0.3249645
2022,2,1,0.342105,0.3187449
2022,2,2,0.3329667,0.3162551
2022,2,3,0.3287474,0.3176411
2022,3,1,0.3385866,0.3304312
2022,3,2,0.3515733,0.3407308
2022,3,3,0.3665363,0.3530284
2022,4,1,0.377941,0.3666615
2022,4,2,N/A,0.3987791
2022,4,3,N/A,0.4178056
2022,5,1,N/A,0.4381561
2022,5,2,N/A,0.4592131
2022,5,3,N/A,0.5010645
2022,6,1,N/A,0.5212008
2022,6,2,N/A,0.5407043
2022,6,3,N/A,0.5598552
2022,7,1,N/A,0.5983471
2022,7,2,N/A,0.616421
2022,7,3,N/A,0.634035
2022,8,1,N/A,0.6649473
2022,8,2,N/A,0.6763584
2022,8,3,N/A,0.6845111
2022,9,1,N/A,0.6899298
2022,9,2,N/A,0.6938474
2022,9,3,N/A,0.6923255
2022,10,1,N/A,0.6880033
2022,10,2,N/A,0.6799345
2022,10,3,N/A,0.6487188
2022,11,1,N/A,0.6243527
2022,11,2,N/A,0.5940804
2022,11,3,N/A,0.5224869
2022,12,1,N/A,0.4853481
2022,12,2,N/A,0.4499347
2022,12,3,N/A,0.4179518