"Year","Month","Dekad","NDVI","Average"
2016,1,1,0.3494898,0.3307815
2016,1,1,0.3304737,0.3307815
2017,1,1,0.3348644,0.3307815
2018,1,1,0.3566726,0.3307815
2018,1,1,0.3287604,0.3307815
2018,1,2,0.2929423,0.3171562
2017,1,2,0.3180427,0.3171562
2016,1,2,0.3424194,0.3171562
2016,1,3,0.3158561,0.2949669
2017,1,3,0.2992049,0.2949669
2018,1,3,0.280288,0.2949669
2018,2,1,0.2760663,0.2863402
2017,2,1,0.2905777,0.2863402
2016,2,1,0.303983,0.2863402
2016,2,2,0.2942668,0.2796426
2017,2,2,0.2830174,0.2796426
2018,2,2,0.2750369,0.2796426
2018,2,3,0.2775202,0.2755511
2017,2,3,0.2772041,0.2755511
2016,2,3,0.2865654,0.2755511
2016,3,1,0.2824781,0.2763308
2017,3,1,0.2720599,0.2763308
2018,3,1,0.2890959,0.2763308
2018,3,2,0.2951796,0.2807768
2017,3,2,0.2739481,0.2807768
2016,3,2,0.2868326,0.2807768
2016,3,3,0.2941711,0.2874811
2017,3,3,0.2790454,0.2874811
2018,3,3,0.3012548,0.2874811
2018,4,1,0.3054557,0.295748
2017,4,1,0.2871225,0.295748
2016,4,1,0.3037776,0.295748
2016,4,2,0.3259251,0.3160744
2017,4,2,0.3132855,0.3160744
2018,4,2,0.3140613,0.3160744
2018,4,3,0.3178182,0.3281137
2017,4,3,0.3308656,0.3281137
2016,4,3,0.3352541,0.3281137
2016,5,1,0.3433513,0.3411177
2017,5,1,0.3506137,0.3411177
2018,5,1,0.3222337,0.3411177
2018,5,2,0.329161,0.3553473
2017,5,2,0.3732832,0.3553473
2016,5,2,0.3523542,0.3553473
2016,5,3,0.3795573,0.389339
2017,5,3,0.4264549,0.389339
2018,5,3,0.3590124,0.389339
2018,6,1,0.3819539,0.4101185
2017,6,1,0.4525612,0.4101185
2016,6,1,0.3990412,0.4101185
2016,6,2,0.4237983,0.4331391
2017,6,2,0.4776169,0.4331391
2018,6,2,0.4106244,0.4331391
2018,6,3,0.4462044,0.4585474
2017,6,3,0.5019327,0.4585474
2016,6,3,0.4547662,0.4585474
2016,7,1,0.5287738,0.5215186
2017,7,1,0.5479173,0.5215186
2018,7,1,0.5259404,0.5215186
2018,7,2,0.5645675,0.5523432
2017,7,2,0.572598,0.5523432
2016,7,2,0.5673182,0.5523432
2016,7,3,0.6036382,0.5834581
2017,7,3,0.5988382,0.5834581
2018,7,3,0.6007238,0.5834581
2018,8,1,0.6556767,0.6388445
2017,8,1,0.6463017,0.6388445
2016,8,1,0.658172,0.6388445
2016,8,2,0.6756624,0.659277
2017,8,2,0.6618436,0.659277
2018,8,2,0.6711204,0.659277
2018,8,3,0.6791988,0.6733207
2017,8,3,0.6698639,0.6733207
2016,8,3,0.6877951,0.6733207
2016,9,1,0.6942389,0.6808373
2017,9,1,0.670926,0.6808373
2018,9,1,0.6807737,0.6808373
2018,9,2,0.6718193,0.6776348
2017,9,2,0.6563471,0.6776348
2016,9,2,0.6867014,0.6776348
2016,9,3,0.669951,0.6673315
2017,9,3,0.6416753,0.6673315
2018,9,3,0.6648407,0.6673315
2018,10,1,0.6564952,0.6514088
2017,10,1,0.6212575,0.6514088
2016,10,1,0.6441212,0.6514088
2016,10,2,0.6124753,0.6297907
2017,10,2,0.5924438,0.6297907
2018,10,2,0.643684,0.6297907
2018,10,3,0.600313,0.5717745
2017,10,3,0.5148179,0.5717745
2016,10,3,0.5418108,0.5717745
2016,11,1,0.5064283,0.5383408
2017,11,1,0.4772355,0.5383408
2018,11,1,0.5696661,0.5383408
2018,11,2,0.5365082,0.5038555
2017,11,2,0.4446615,0.5038555
2016,11,2,0.4725851,0.5038555
2016,11,3,0.4150992,0.438909
2017,11,3,0.3929736,0.438909
2018,11,3,0.4706024,0.438909
2018,12,1,0.4409801,0.4107959
2017,12,1,0.3690974,0.4107959
2016,12,1,0.3929412,0.4107959
2016,12,2,0.3738439,0.3860775
2017,12,2,0.3467599,0.3860775
2018,12,2,0.4139774,0.3860775
2018,12,3,0.3903957,0.3647839
2017,12,3,0.3275577,0.3647839
2016,12,3,0.3565655,0.3647839