"Year","Month","Dekad","NDVI","Average"
2018,1,1,0.243246,0.2415159
2018,1,2,0.2230837,0.2363599
2018,1,3,0.2157868,0.2267308
2018,2,1,0.2122433,0.2220225
2018,2,2,0.2101429,0.2170623
2018,2,3,0.2100346,0.2125125
2018,3,1,0.2111163,0.2049609
2018,3,2,0.2083823,0.2021367
2018,3,3,0.2043907,0.2001401
2018,4,1,0.1998125,0.1989602
2018,4,2,0.194674,0.2002183
2018,4,3,0.1934152,0.2021723
2018,5,1,0.1924924,0.2043657
2018,5,2,0.1936896,0.2070585
2018,5,3,0.2035616,0.2172395
2018,6,1,0.2128028,0.2264564
2018,6,2,0.2234661,0.2389048
2018,6,3,0.2395619,0.2552616
2018,7,1,0.2943734,0.3004204
2018,7,2,0.3310059,0.3316965
2018,7,3,0.3743014,0.3676765
2018,8,1,0.4579706,0.4456388
2018,8,2,0.4968408,0.4822557
2018,8,3,0.5309737,0.5132457
2018,9,1,0.556099,0.5357737
2018,9,2,0.5695,0.5474505
2018,9,3,0.5535356,0.5360927
2018,10,1,0.5259273,0.5142367
2018,10,2,0.4910439,0.4832564
2018,10,3,0.4142623,0.4066931
2018,11,1,0.3750785,0.3687114
2018,11,2,0.340074,0.3352419
2018,11,3,0.2910713,0.2874509
2018,12,1,0.2760903,0.2727059
2018,12,2,0.2659806,0.2618599
2018,12,3,0.2580509,0.2537585
2019,1,1,N/A,0.2415159
2019,1,2,0.2372547,0.2363599
2019,1,3,0.2278066,0.2267308
2019,2,1,0.2230851,0.2220225
2019,2,2,0.2182322,0.2170623
2019,2,3,0.2135194,0.2125125
2019,3,1,0.2067522,0.2049609
2019,3,2,0.2046,0.2021367
2019,3,3,0.2029689,0.2001401
2019,4,1,0.2013772,0.1989602
2019,4,2,0.1984014,0.2002183
2019,4,3,0.1989301,0.2021723
2019,5,1,0.2003512,0.2043657
2019,5,2,0.2039834,0.2070585
2019,5,3,0.2172201,0.2172395
2019,6,1,0.2268623,0.2264564
2019,6,2,0.2394481,0.2389048
2019,6,3,0.2551623,0.2552616
2019,7,1,0.3008066,0.3004204
2019,7,2,0.3213785,0.3316965
2019,7,3,0.3608744,0.3676765
2019,8,1,0.4442529,0.4456388
2019,8,2,0.487365,0.4822557
2019,8,3,0.5197395,0.5132457
2019,9,1,0.541199,0.5357737
2019,9,2,0.5454927,0.5474505
2019,9,3,0.5324647,0.5360927
2019,10,1,0.5118571,0.5142367
2019,10,2,0.4868588,0.4832564
2019,10,3,0.4284152,0.4066931
2019,11,1,0.3912758,0.3687114
2019,11,2,0.3537879,0.3352419
2019,11,3,0.2932086,0.2874509
2019,12,1,0.2756747,0.2727059
2019,12,2,0.2635221,0.2618599
2019,12,3,0.255228,0.2537585
2020,1,1,N/A,0.2415159
2020,1,2,0.2359187,0.2363599
2020,1,3,0.2236727,0.2267308
2020,2,1,0.2175633,0.2220225
2020,2,2,0.2125405,0.2170623
2020,2,3,0.208519,0.2125125
2020,3,1,0.2007803,0.2049609
2020,3,2,0.1986304,0.2021367
2020,3,3,0.1977045,0.2001401
2020,4,1,0.1975554,0.1989602
2020,4,2,0.1985474,0.2002183
2020,4,3,0.1998997,0.2021723
2020,5,1,0.1993087,0.2043657
2020,5,2,0.1979059,0.2070585
2020,5,3,0.1944761,0.2172395
2020,6,1,0.1966062,0.2264564
2020,6,2,0.2044183,0.2389048
2020,6,3,0.2192751,0.2552616
2020,7,1,0.2682242,0.3004204
2020,7,2,0.3004934,0.3316965
2020,7,3,0.3339886,0.3676765
2020,8,1,0.3794121,0.4456388
2020,8,2,N/A,0.4822557
2020,8,3,N/A,0.5132457
2020,9,1,N/A,0.5357737
2020,9,2,N/A,0.5474505
2020,9,3,N/A,0.5360927
2020,10,1,N/A,0.5142367
2020,10,2,N/A,0.4832564
2020,10,3,N/A,0.4066931
2020,11,1,N/A,0.3687114
2020,11,2,N/A,0.3352419
2020,11,3,N/A,0.2874509
2020,12,1,N/A,0.2727059
2020,12,2,N/A,0.2618599
2020,12,3,N/A,0.2537585