"Year","Month","Dekad","NDVI","Average"
2021,1,1,0.3456755,0.3170435
2021,1,2,0.3338682,0.3034216
2021,1,3,0.3148519,0.2876611
2021,2,1,0.3079649,0.2844071
2021,2,2,0.3035623,0.2839287
2021,2,3,0.302745,0.2864905
2021,3,1,0.3112547,0.3000512
2021,3,2,0.3205439,0.3105737
2021,3,3,0.3319322,0.3230179
2021,4,1,0.3417154,0.3368782
2021,4,2,0.3536645,0.3682398
2021,4,3,0.3647746,0.385789
2021,5,1,0.3817077,0.4045048
2021,5,2,0.403813,0.4245375
2021,5,3,0.4564218,0.4676287
2021,6,1,0.4865905,0.4898762
2021,6,2,0.5152907,0.5123724
2021,6,3,0.5400448,0.5353049
2021,7,1,0.5836145,0.5844314
2021,7,2,0.6105229,0.6072254
2021,7,3,0.6395349,0.6288292
2021,8,1,0.6864967,0.6655938
2021,8,2,0.6979128,0.6793941
2021,8,3,0.7001219,0.6894947
2021,9,1,0.699856,0.6958896
2021,9,2,0.701968,0.6969219
2021,9,3,0.7036576,0.6909388
2021,10,1,0.6994987,0.6799121
2021,10,2,0.6860998,0.6628307
2021,10,3,0.6363514,0.6091867
2021,11,1,0.6042003,0.5746604
2021,11,2,0.5708806,0.5369892
2021,11,3,0.500675,0.4587494
2021,12,1,0.4641207,0.4217126
2021,12,2,0.4293845,0.3881622
2021,12,3,0.3990022,0.3592201
2022,1,1,0.3587325,0.3170435
2022,1,2,0.3439686,0.3034216
2022,1,3,0.3159484,0.2876611
2022,2,1,0.3056828,0.2844071
2022,2,2,0.2990117,0.2839287
2022,2,3,0.2968713,0.2864905
2022,3,1,0.306021,0.3000512
2022,3,2,0.3173406,0.3105737
2022,3,3,0.3316744,0.3230179
2022,4,1,0.3451104,0.3368782
2022,4,2,N/A,0.3682398
2022,4,3,N/A,0.385789
2022,5,1,N/A,0.4045048
2022,5,2,N/A,0.4245375
2022,5,3,N/A,0.4676287
2022,6,1,N/A,0.4898762
2022,6,2,N/A,0.5123724
2022,6,3,N/A,0.5353049
2022,7,1,N/A,0.5844314
2022,7,2,N/A,0.6072254
2022,7,3,N/A,0.6288292
2022,8,1,N/A,0.6655938
2022,8,2,N/A,0.6793941
2022,8,3,N/A,0.6894947
2022,9,1,N/A,0.6958896
2022,9,2,N/A,0.6969219
2022,9,3,N/A,0.6909388
2022,10,1,N/A,0.6799121
2022,10,2,N/A,0.6628307
2022,10,3,N/A,0.6091867
2022,11,1,N/A,0.5746604
2022,11,2,N/A,0.5369892
2022,11,3,N/A,0.4587494
2022,12,1,N/A,0.4217126
2022,12,2,N/A,0.3881622
2022,12,3,N/A,0.3592201