"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2021,1,1,107.06,90.1094596653102,0.001,0
2021,1,2,100.0399960004,51.0482552768105,0.004,0.001
2021,1,3,100.079984003199,92.6007270524084,0.005,0.001
2021,2,1,100.129637016354,107.030878859857,0.032,0.026
2021,2,2,104.350842418236,113.305817610063,0.492,0.063
2021,2,3,104.75721461637,112.766794531327,0.112,0.064
2021,3,1,119.384105382535,125.593943085893,3.081,1.336
2021,3,2,105.958884416331,109.083767764051,1.548,2.512
2021,3,3,120.654715510522,123.188165811117,7.043,4.114
2021,4,1,79.9054000788333,89.3414243699043,1.681,8.744
2021,4,2,76.3785350846054,82.2329788922393,7.095,10.946
2021,4,3,82.7159956474429,93.0657541847776,19.232,16.26
2021,5,1,102.587227232567,98.2764904972664,25.212,22.781
2021,5,2,97.2727035012944,91.1306884704708,19.956,27.445
2021,5,3,114.203574203574,106.390949388815,47.718,29.864
2021,6,1,109.043238757746,103.749545161922,45.848,45.969
2021,6,2,108.100574642177,99.9242805476257,28.681,36.504
2021,6,3,105.9067312932,105.123910014559,63.177,46.995
2021,7,1,104.052891364398,105.866894486204,58.988,61.082
2021,7,2,93.2964305523652,98.8410623828049,34.357,60.41
2021,7,3,104.504465109952,107.295799468433,111.744,74.326
2021,8,1,125.222759842416,115.532504186105,128.062,82.19
2021,8,2,132.364260267607,114.914074249311,83.47,85.271
2021,8,3,116.551407856041,110.496641834575,98.686,97.283
2021,9,1,92.7869882324099,107.175498704549,50.07,68.502
2021,9,2,82.7601711136518,104.545489847049,34.513,57.744
2021,9,3,82.2810884848744,103.340417382279,59.202,50.656
2021,10,1,87.1707789931045,103.218901960912,23.081,27.057
2021,10,2,107.138592750533,108.542133448719,20.775,17.812
2021,10,3,131.245702498281,106.680757213747,37.764,14.939
2021,11,1,154.947641675466,97.1030328565244,1.894,2.705
2021,11,2,185.995865412033,97.5223992394342,2.525,0.412
2021,11,3,111.827141774071,96.1004401760704,0.331,0.073
2021,12,1,123.978279508431,104.86908108704,0.158,0.012
2021,12,2,104.005949429846,125.927902576294,0,0
2021,12,3,101.45825009988,132.212025749897,0,0
2022,1,1,100.02,159.835048854264,0.002,0
2022,1,2,100.0499950005,187.186411768886,0.004,0.001
2022,1,3,100.089982003599,112.988488336868,0.005,0.001
2022,2,1,100.229357798165,124.152019002375,0.042,0.026
2022,2,2,100.307234886026,104.323899371069,0.074,0.063
2022,2,3,101.034177090515,102.557293203502,0.142,0.064
2022,3,1,118.520457122917,118.692890087895,3.37,1.336
2022,3,2,135.214203565267,135.242448046847,5.299,2.512
2022,3,3,124.050773855918,124.474250703759,3.613,4.114
2022,4,1,146.677177769019,152.075499795242,18.3,8.744
2022,4,2,122.633416163768,133.27778659472,9.542,10.946