"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2021,1,1,100.11,91.7595818815331,0,0
2021,1,2,100,86.8317388857625,0,0
2021,1,3,100,100.129572411044,0,0
2021,2,1,100,100.11,0,0
2021,2,2,100,100.11,0,0
2021,2,3,100,100.11,0,0
2021,3,1,100.02,100.13,0.002,0
2021,3,2,100.0199960008,100.0199960008,0.002,0.002
2021,3,3,102.501744243995,102.501744243995,0.28,0.031
2021,4,1,99.4726930320151,99.4915254237288,0.282,0.587
2021,4,2,93.3529907329402,93.3709568733154,0.519,1.252
2021,4,3,86.5957160177826,88.31238658512,2.055,3.007
2021,5,1,86.7435848333972,86.8746512925423,5.545,6.629
2021,5,2,97.4200804307818,95.0535016338822,10.985,9.706
2021,5,3,124.365765263451,117.762089498376,22.541,13.122
2021,6,1,130.360897885217,121.333980943129,32.726,25.665
2021,6,2,116.101623740202,110.746664939775,17.676,22.653
2021,6,3,114.662818684257,116.75413351391,42.501,31.426
2021,7,1,102.49595155953,110.303748446577,46.283,49.545
2021,7,2,87.9290364117605,97.2217688555211,24.132,48.819
2021,7,3,77.359635275546,94.385119706925,50.92,61.408
2021,8,1,95.8792431528783,103.865856015222,91.594,64.011
2021,8,2,96.5377706526568,96.8515422196112,47.408,71.673
2021,8,3,102.136718034895,95.4202049262738,68.587,67.353
2021,9,1,89.6183237940346,94.7472855013839,45.927,42.812
2021,9,2,91.2529672492875,92.195990703441,17.336,35.282
2021,9,3,87.63670570032,89.9386642101575,26.422,25.654
2021,10,1,71.1990230809223,88.3020157936119,5.13,11.773
2021,10,2,95.4528041679436,94.1377641882016,8.282,4.781
2021,10,3,94.7997237569061,96.7186406350057,4.042,2.406
2021,11,1,129.843205574913,85.797392619413,0.035,0.033
2021,11,2,113.168261114237,92.8368666726639,0,0
2021,11,3,100.019934217084,88.2726512531923,0,0
2021,12,1,100,79.2258337132627,0,0
2021,12,2,100,98.6531740077223,0,0
2021,12,3,100,94.8125409581623,0,0
2022,1,1,100,129.843205574913,0,0
2022,1,2,100,113.168261114237,0,0
2022,1,3,100,100.019934217084,0,0
2022,2,1,100,100,0,0
2022,2,2,100,100,0,0
2022,2,3,100,100,0,0
2022,3,1,100.69,100.69,0.069,0
2022,3,2,101.839632073585,101.839632073585,0.117,0.002
2022,3,3,104.226054021728,104.226054021728,0.271,0.031
2022,4,1,105.15065913371,105.800376647834,0.779,0.587
2022,4,2,122.90648694187,124.452493261456,3.539,1.252