"Year","Month","Dekad","NDVI Anomaly"
2016,1,1,101.97239893122
2016,1,2,100.690350235498
2016,1,3,97.9207490262474
2016,2,1,96.7364654238013
2016,2,2,96.0735154109906
2016,2,3,96.1668541281156
2016,3,1,98.9363375954281
2016,3,2,101.323558432974
2016,3,3,103.827296222321
2016,4,1,105.75693258705
2016,4,2,106.505161507778
2016,4,3,105.179204898654
2016,5,1,103.30316438803
2016,5,2,101.584294913322
2016,5,3,99.7302363765635
2016,6,1,99.5303317102621
2016,6,2,99.648714599512
2016,6,3,99.9012572841398
2016,7,1,100.171440837544
2016,7,2,100.338922210278
2016,7,3,100.434797395806
2016,8,1,100.139135870236
2016,8,2,99.7692985325656
2016,8,3,99.3708909108474
2016,9,1,98.9006714273055
2016,9,2,98.0138052358267
2016,9,3,97.9496310854459
2016,10,1,98.2352056492794
2016,10,2,98.7929630697773
2016,10,3,99.7195391269811
2016,11,1,99.6706292750477
2016,11,2,99.4644500531596
2016,11,3,99.1486045640823
2016,12,1,99.0501024635132
2016,12,2,98.8651055247586
2016,12,3,98.6898259029407
2017,1,1,98.7522175543233
2017,1,2,98.8919389973601
2017,1,3,97.9274658377048
2017,2,1,96.6885345995386
2017,2,2,95.43513061188
2017,2,3,94.3479910802625
2017,3,1,92.4790914295878
2017,3,2,92.1625418072794
2017,3,3,92.4447894404897
2017,4,1,93.4820650169662
2017,4,2,97.3200937814294
2017,4,3,99.4044487393342
2017,5,1,100.838412516445
2017,5,2,101.661114937078
2017,5,3,101.997798687687
2017,6,1,101.870724163193
2017,6,2,101.695827450877
2017,6,3,101.466308448379
2017,7,1,101.109346100581
2017,7,2,101.105034547464
2017,7,3,101.106537550998
2017,8,1,100.731345098447
2017,8,2,100.313627413174
2017,8,3,99.8478324291875
2017,9,1,99.416510311721
2017,9,2,98.7158771080179
2017,9,3,98.514391705673
2017,10,1,98.3370439948919
2017,10,2,98.2930556609645
2017,10,3,98.846254345162
2017,11,1,99.4322217876783
2017,11,2,100.131351233223
2017,11,3,101.164685082533
2017,12,1,101.386731959726
2017,12,2,101.202514742928
2017,12,3,100.744831154667
2018,1,1,N/A,
2018,1,2,100.164974050552
2018,1,3,100.239251713897
2018,2,1,100.231550507083
2018,2,2,100.705836637024
2018,2,3,101.811687607978
2018,3,1,105.403371034097
2018,3,2,107.091897539153
2018,3,3,108.139266205472
2018,4,1,108.422256588799
2018,4,2,107.188618892852
2018,4,3,105.811079767108
2018,5,1,104.20164880377
2018,5,2,102.629164674788
2018,5,3,100.572480804033
2018,6,1,100.094649914491
2018,6,2,99.7751216640997
2018,6,3,99.5607709210756
2018,7,1,99.3747891549431
2018,7,2,99.3422876916824
2018,7,3,99.2270136388652
2018,8,1,99.1818997348922
2018,8,2,99.1842738459742
2018,8,3,99.3278624781974
2018,9,1,99.5599266448091
2018,9,2,99.9072341092524
2018,9,3,100.018231734534
2018,10,1,100.148458753533
2018,10,2,100.357687345365
2018,10,3,100.547259940225
2018,11,1,100.664951991763
2018,11,2,100.89164247903
2018,11,3,101.833313596036
2018,12,1,102.528263274399
2018,12,2,103.320836062413
2018,12,3,104.074875058482