"Year","Month","Dekad","NDVI","Average"
2021,1,1,0.5622835,0.5320867
2021,1,2,0.5434931,0.5081241
2021,1,3,0.5076644,0.476045
2021,2,1,0.490966,0.4693026
2021,2,2,0.4770549,0.4688938
2021,2,3,0.4673929,0.4744711
2021,3,1,0.470862,0.503066
2021,3,2,0.4897177,0.5257805
2021,3,3,0.5197384,0.5538699
2021,4,1,0.5577304,0.5862317
2021,4,2,0.647355,0.656279
2021,4,3,0.6950011,0.689032
2021,5,1,0.7388543,0.7176485
2021,5,2,0.7748125,0.741437
2021,5,3,0.8135202,0.773957
2021,6,1,0.8198257,0.7839846
2021,6,2,0.8210791,0.791151
2021,6,3,0.8194032,0.7964728
2021,7,1,0.8148403,0.8035436
2021,7,2,0.8109593,0.8045989
2021,7,3,0.8071763,0.8042103
2021,8,1,0.8016703,0.8010287
2021,8,2,0.8006853,0.7990605
2021,8,3,0.7997591,0.7970586
2021,9,1,0.7975862,0.795257
2021,9,2,0.791149,0.7913427
2021,9,3,0.7890186,0.788809
2021,10,1,0.7874053,0.7855405
2021,10,2,0.7860229,0.780989
2021,10,3,0.7798641,0.7653708
2021,11,1,0.7726515,0.7528113
2021,11,2,0.7621065,0.7362547
2021,11,3,0.7287147,0.6892297
2021,12,1,0.7048975,0.6593021
2021,12,2,0.6755559,0.6266255
2021,12,3,0.6433572,0.5929159
2022,1,1,0.5769889,0.5320867
2022,1,2,0.5474855,0.5081241
2022,1,3,0.4978257,0.476045
2022,2,1,0.4823092,0.4693026
2022,2,2,0.4728115,0.4688938
2022,2,3,0.4690167,0.4744711
2022,3,1,0.4818365,0.503066
2022,3,2,0.4980697,0.5257805
2022,3,3,0.5169713,0.5538699
2022,4,1,0.5331889,0.5862317
2022,4,2,N/A,0.656279
2022,4,3,N/A,0.689032
2022,5,1,N/A,0.7176485
2022,5,2,N/A,0.741437
2022,5,3,N/A,0.773957
2022,6,1,N/A,0.7839846
2022,6,2,N/A,0.791151
2022,6,3,N/A,0.7964728
2022,7,1,N/A,0.8035436
2022,7,2,N/A,0.8045989
2022,7,3,N/A,0.8042103
2022,8,1,N/A,0.8010287
2022,8,2,N/A,0.7990605
2022,8,3,N/A,0.7970586
2022,9,1,N/A,0.795257
2022,9,2,N/A,0.7913427
2022,9,3,N/A,0.788809
2022,10,1,N/A,0.7855405
2022,10,2,N/A,0.780989
2022,10,3,N/A,0.7653708
2022,11,1,N/A,0.7528113
2022,11,2,N/A,0.7362547
2022,11,3,N/A,0.6892297
2022,12,1,N/A,0.6593021
2022,12,2,N/A,0.6266255
2022,12,3,N/A,0.5929159