"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2019,1,1,87.7923057581091,109.073727659383,1.148,2.17
2019,1,2,92.7470653813365,111.634705839786,0.915,1.507
2019,1,3,102.261060160351,110.464600726381,5.666,3.66
2019,2,1,101.460702552439,89.2658643171308,3.493,4.618
2019,2,2,82.9686743097045,64.1098953464929,1.394,6.494
2019,2,3,104.11082184296,93.0985630439182,17.505,10.001
2019,3,1,112.218909794476,106.837091522971,27.941,24.156
2019,3,2,125.924640364071,115.173605431049,42.507,33.63
2019,3,3,124.78103923245,120.758300927311,50.909,37.484
2019,4,1,111.353571017385,111.769523187676,41.661,49.171
2019,4,2,114.384270206363,116.14359851873,67.707,52.209
2019,4,3,91.1148508572962,104.562979025418,30.064,52.624
2019,5,1,96.4808606758824,104.271599956726,66.924,66.234
2019,5,2,86.7681552683622,103.898712028195,62.806,66.829
2019,5,3,98.5783640279222,101.818690422396,72.663,72.393
2019,6,1,87.1259855908201,96.3635851671283,33.872,56.619
2019,6,2,75.7678741536006,90.0646932276446,30.61,55.193
2019,6,3,58.7330869763232,83.2588695134926,27.397,51.649
2019,7,1,82.5220754147098,88.3560020232902,71.334,52.011
2019,7,2,111.50519085406,89.6823582533388,69.025,45.755
2019,7,3,133.969089924694,96.3434207728623,67.389,54.77
2019,8,1,130.636956012958,98.787761575059,65.696,51.841
2019,8,2,99.8556892395106,94.3224082050157,33.362,60.091
2019,8,3,90.9168813156331,93.298215599457,74.485,79.948
2019,9,1,81.1620231660884,95.5561477609162,74.214,86.6
2019,9,2,87.5093760845471,97.3659700797485,75.799,91.421
2019,9,3,92.0233067910443,102.237308689869,102.789,97.561
2019,10,1,100.86724050218,101.146917343367,106.835,93.901
2019,10,2,103.706170638613,96.938889983364,98,104.811
2019,10,3,111.474181577034,99.3435017167789,134.806,104.94
2019,11,1,113.3287119943,99.0343050519575,51.469,39.914
2019,11,2,125.549871546401,103.1746335437,26.571,22.642
2019,11,3,118.925297578328,104.469354156733,16.267,15.152
2019,12,1,99.1656972517086,106.244596333336,1.719,7.222
2019,12,2,92.1395483497394,110.833840047039,3.839,2.166
2019,12,3,81.493320610687,112.107029230463,1.523,1.572
2020,1,1,103.715111893387,111.185843671218,1.137,2.17
2020,1,2,89.7632631647977,119.81523023856,1.028,1.507
2020,1,3,80.734844552114,108.848639215131,1.832,3.66
2020,2,1,75.7745766995198,93.4081941478454,2.132,4.618
2020,2,2,59.8619409010173,73.9392606440498,0.865,6.494
2020,2,3,49.8119757014753,53.7866828577211,2.501,10.001
2020,3,1,74.2749402775858,74.0262872301942,24.255,24.156
2020,3,2,67.5627032794683,62.4407001472272,15.799,33.63
2020,3,3,96.4215825971312,83.0077774454083,51.449,37.484
2020,4,1,111.490194573435,98.421323476519,68.007,49.171
2020,4,2,132.434974204643,105.664519084101,67.692,52.209
2020,4,3,108.418697104949,98.0116767182501,32.112,52.624
2020,5,1,99.6261052538563,100.369295006184,70.586,66.234
2020,5,2,97.3943082575746,104.46216862439,77.89,66.829
2020,5,3,99.9350215357196,102.130269188561,56.84,72.393
2020,6,1,97.7837262741631,101.957187651475,56.549,56.619
2020,6,2,99.4979531937901,108.136773357802,69.841,55.193
2020,6,3,110.511296487395,105.985877831799,55.304,51.649
2020,7,1,129.30300320397,108.257413286895,83.187,52.011
2020,7,2,141.118464385409,111.236390223443,76.473,45.755
2020,7,3,137.459393611262,114.860768496932,53.761,54.77
2020,8,1,93.4321224886984,106.624569682435,11.468,51.841
2020,8,2,73.2515760998744,103.391780091785,54.208,60.091
2020,8,3,86.5167426193779,110.021298493658,98.984,79.948
2020,9,1,106.111418658801,109.724600170117,87.909,86.6
2020,9,2,115.716743354642,110.340942943334,113.192,91.421
2020,9,3,113.650370121366,111.531465179255,113.464,97.561
2020,10,1,109.240891413978,104.593473912319,83.292,93.901
2020,10,2,92.6307575267817,96.207780623413,76.947,104.811
2020,10,3,86.9565633249589,96.2684064041869,102.502,104.94
2020,11,1,90.5108505189379,102.195434920247,45.576,39.914
2020,11,2,91.4014963717492,100.585455449901,4.156,22.642
2020,11,3,73.1666438637296,96.1821267816392,4.441,15.152
2020,12,1,36.7729387814454,94.4925148579559,1.634,7.222
2020,12,2,70.2142443543717,90.3433411798703,8.177,2.166
2020,12,3,102.323473282443,84.1024557566116,1.636,1.572
2021,1,1,156.355292934373,83.7534490918867,5.06,2.17
2021,1,2,115.961702406715,88.84820416335,0.987,1.507
2021,1,3,101.407394589606,78.4878071789066,1.534,3.66
2021,2,1,68.0616628759161,54.5475116321826,0.945,4.618
2021,2,2,53.8269013402228,64.6414105313319,0.855,6.494
2021,2,3,44.7401407771671,66.6828577211091,2.12,10.001
2021,3,1,65.9315709462795,77.9784155311709,20.42,24.156
2021,3,2,110.272924781776,98.9642973989858,53.238,33.63
2021,3,3,116.756910800798,100.516751420879,39.252,37.484
2021,4,1,93.7275971907741,82.433142800228,19.623,49.171
2021,4,2,84.0559168099742,88.2544085937871,56.254,52.209
2021,4,3,78.5084510133899,87.5885829228887,42.88,52.624
2021,5,1,101.543627497004,93.3822217933761,74.728,66.234
2021,5,2,118.920010015995,105.289085296442,105.103,66.829
2021,5,3,124.751689440071,107.686613732705,78.954,72.393
2021,6,1,119.361546047678,106.93432932483,51.638,56.619
2021,6,2,116.63087974048,108.787753780197,85.911,55.193
2021,6,3,132.329457341996,113.915946265957,81.991,51.649
2021,7,1,129.35511954185,117.212152433641,40.518,52.011
2021,7,2,105.688925132516,114.81011964701,35.975,45.755
2021,7,3,60.3706255844859,108.466600056825,11.631,54.77
2021,8,1,60.9080718869714,105.018566510656,41.288,51.841
2021,8,2,71.8458195153422,98.3575076128405,64.034,60.091
2021,8,3,98.7641172974044,97.9091560351203,84.063,79.948
2021,9,1,104.926491406742,99.5898572257775,90.2,86.6
2021,9,2,109.541402177118,97.4127097721911,109.274,91.421
2021,9,3,109.567829905246,93.7169641808387,103.432,97.561
2021,10,1,110.061696991631,96.6742969066273,99.646,93.901
2021,10,2,89.0956760798373,92.1227891603187,59.798,104.811
2021,10,3,83.1976202925535,96.4317628412754,91.507,104.94
2021,11,1,78.0563418250438,97.9389927286863,41.38,39.914
2021,11,2,108.477374138009,100.986418636179,49.656,22.642
2021,11,3,129.792037214393,100.112903370908,12.802,15.152
2021,12,1,157.523265958994,100.70392331729,14.205,7.222
2021,12,2,111.554719166184,97.1184546135029,1.524,2.166
2021,12,3,138.425572519084,95.3974448200438,3.285,1.572