"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2016,1,1,101.340315995029,107.068424503559,0.701,0.363
2016,1,2,102.144197266148,111.694931022567,0.382,0.35
2016,1,3,94.8142902108908,72.4723857131339,0.966,1.995
2016,2,1,73.744019138756,57.7575275000737,0.982,4.375
2016,2,2,57.9251965103222,60.0067169419595,1.464,6.784
2016,2,3,53.5205169197975,58.8190517616355,3.623,8.865
2016,3,1,146.986474237065,134.54839764043,67.612,30.614
2016,3,2,160.520574297377,142.262472514784,55.612,35.773
2016,3,3,162.833588446692,142.61718203442,62.515,43.821
2016,4,1,133.295679600968,135.622487626312,53.595,46.736
2016,4,2,110.046593262286,123.406186435871,48.195,57.835
2016,4,3,92.2931952066566,116.246663500197,43.94,54.163
2016,5,1,79.3269867505814,109.078305050975,47.605,66.765
2016,5,2,93.1622422153709,112.791384063932,83.083,67.251
2016,5,3,95.2675384279158,110.670440915808,68.55,75.616
2016,6,1,99.3696600710299,100.873305432047,83.189,93.508
2016,6,2,93.3581225103399,97.3970520949082,95.359,96.265
2016,6,3,91.2905011051543,92.600638110108,80.329,94.756
2016,7,1,92.6194135820532,91.2762727649986,115,123.628
2016,7,2,91.8734058206842,92.4905206013192,124.966,131.127
2016,7,3,109.450632090124,100.267350302142,195.393,142.149
2016,8,1,116.859787642267,104.384758011841,134.972,114.92
2016,8,2,125.074959042997,104.968238840728,145.191,121.143
2016,8,3,106.3311638316,103.498534652504,124.15,143.581
2016,9,1,105.834428383706,106.031686791405,139.467,120.996
2016,9,2,99.8983439161868,106.029876047701,121.432,120.874
2016,9,3,103.623305148606,106.635841534713,127.887,132.972
2016,10,1,98.6169048010073,107.475931660663,100.968,101.494
2016,10,2,97.8117618868312,108.011979691605,104.03,106.09
2016,10,3,93.9173227732165,101.778801920485,85.961,102.867
2016,11,1,87.3562449013743,98.7564470791097,8.821,20.078
2016,11,2,78.0650885473968,95.5039382068354,5.2,7.94
2016,11,3,84.7731727807337,98.3419511223726,12.306,4.834
2016,12,1,122.512826447556,95.1761270723483,4.253,3.149
2016,12,2,146.229490383571,93.8623692704048,0.356,0.423
2016,12,3,108.952462282949,93.0715954722895,0.701,0.48
2017,1,1,101.801881768152,90.5613837891844,0.412,0.363
2017,1,2,103.430715625838,85.3738603439568,0.464,0.35
2017,1,3,101.935788479698,89.8794646456503,2.078,1.995
2017,2,1,83.9653110047847,109.902975611195,1.497,4.375
2017,2,2,65.3018916817828,102.622660519647,1.545,6.784
2017,2,3,48.8076205702105,62.304262722923,1.612,8.865
2017,3,1,47.6316584611556,50.284051113636,13.642,30.614
2017,3,2,32.9962933420917,34.9672185463709,2.876,35.773
2017,3,3,60.2830094502862,56.0186092066601,45.947,43.821
2017,4,1,86.3133572947994,73.1640193753202,58.848,46.736
2017,4,2,117.618314056265,84.9066848191638,71.503,57.835
2017,4,3,112.029585027321,85.6789735287625,48.681,54.163
2017,5,1,102.310304455852,87.8895050863968,62.94,66.765
2017,5,2,99.9016041053795,93.0276442963044,76.363,67.251
2017,5,3,98.4264588038173,93.675267206196,66.873,75.616
2017,6,1,120.176966007103,106.421587471984,142.85,93.508
2017,6,2,115.522043364114,111.51333420485,98.412,96.265
2017,6,3,114.889195970516,109.156050354883,87.12,94.756
2017,7,1,97.8154868796762,106.35047655609,122.025,123.628
2017,7,2,94.1681895686085,102.654723587745,119.4,131.127
2017,7,3,95.3777795253917,102.395942579059,136.671,142.149
2017,8,1,94.9645400757416,102.377531025474,112.074,114.92
2017,8,2,101.044532368912,102.575485090399,133.522,121.143
2017,8,3,103.178285819877,103.49452000183,146.432,143.581
2017,9,1,104.767006974629,99.2463805054776,124.63,120.996
2017,9,2,102.1041797846,99.2352030940887,122.71,120.874
