"Year","Month","Dekad","NDVI Anomaly"
2018,1,1,N/A,
2018,1,2,88.6611951100354
2018,1,3,90.2133695652174
2018,2,1,91.660181854373
2018,2,2,93.4251141286574
2018,2,3,94.588115880928
2018,3,1,95.5198704148847
2018,3,2,95.0989546624493
2018,3,3,94.5191346237681
2018,4,1,93.539653815893
2018,4,2,92.6721841974919
2018,4,3,92.612362701099
2018,5,1,92.8718556163443
2018,5,2,93.3823785097931
2018,5,3,97.0251118724995
2018,6,1,99.795759878846
2018,6,2,101.764833512236
2018,6,3,101.801768587342
2018,7,1,99.854478784704
2018,7,2,99.2713795111437
2018,7,3,98.9632664571083
2018,8,1,97.7079615040202
2018,8,2,97.0903037159784
2018,8,3,96.3138441241055
2018,9,1,95.207091391733
2018,9,2,93.5055502566653
2018,9,3,93.0628535043821
2018,10,1,92.5883313531656
2018,10,2,91.8573178458289
2018,10,3,90.1123181349352
2018,11,1,89.6040898688665
2018,11,2,89.8026993229953
2018,11,3,90.6944587569595
2018,12,1,91.1775499591865
2018,12,2,91.9408898075587
2018,12,3,92.5771394764842
2019,1,1,93.6556927297668
2019,1,2,94.4395060760596
2019,1,3,94.8389855072464
2019,2,1,94.7835250078278
2019,2,2,94.4663094592758
2019,2,3,94.1760179356652
2019,3,1,94.633310842373
2019,3,2,95.4635882160812
2019,3,3,95.6449594732902
2019,4,1,95.6683320220299
2019,4,2,95.5730316706166
2019,4,3,95.8473852327917
2019,5,1,97.2057894532145
2019,5,2,99.7369435436675
2019,5,3,106.740030483426
2019,6,1,109.519888683787
2019,6,2,110.550276709249
2019,6,3,108.679158641122
2019,7,1,99.0425353588266
2019,7,2,94.9706594375228
2019,7,3,91.6011681452791
2019,8,1,86.6224948182127
2019,8,2,85.251946142083
2019,8,3,84.9074671891229
2019,9,1,85.6023321956769
2019,9,2,88.3048794453356
2019,9,3,88.9879384496551
2019,10,1,89.6146277504651
2019,10,2,91.1017317845829
2019,10,3,93.6965839278717
2019,11,1,94.6765203600786
2019,11,2,95.2586237196649
2019,11,3,95.7790209773924
2019,12,1,95.84107793944
2019,12,2,95.8754246613003
2019,12,3,95.6660506593848
2020,1,1,N/A,
2020,1,2,95.3882910741208
2020,1,3,94.6457246376812
2020,2,1,94.256167194466
2020,2,2,94.1344515477742
2020,2,3,94.4998226945657
2020,3,1,95.8900029359612
2020,3,2,96.8874679827283
2020,3,3,97.6042937340106
2020,4,1,98.2559795436664
2020,4,2,99.4206864995325
2020,4,3,99.1635310765279
2020,5,1,97.6757076999003
2020,5,2,96.6829953292774
2020,5,3,96.1612985995195
2020,6,1,97.449203958088
2020,6,2,97.7762875374576
2020,6,3,98.0750081978957
2020,7,1,96.4699319015191
2020,7,2,97.1537701879844
2020,7,3,97.4017614333279
2020,8,1,96.7024747121789
2020,8,2,95.2352845175164
2020,8,3,94.2178399040891
2020,9,1,94.0336177474403
2020,9,2,94.5175123413759
2020,9,3,94.6316199942069
2020,10,1,94.8084408549857
2020,10,2,95.1003167898627
2020,10,3,94.825040938668
2020,11,1,93.6451142908432
2020,11,2,92.5161857059655
2020,11,3,92.1564312291898
2020,12,1,92.9759038862124
2020,12,2,94.6542245049604
2020,12,3,N/A,