"Year","Month","Dekad","NDVI Anomaly"
2016,1,1,101.106484885547
2016,1,2,100.954145996857
2016,1,3,100.29024090835
2016,2,1,99.9279545771831
2016,2,2,100.055250019008
2016,2,3,100.781147492772
2016,3,1,101.871481833467
2016,3,2,101.864159246856
2016,3,3,101.734708379917
2016,4,1,101.094621807041
2016,4,2,100.642214098488
2016,4,3,100.648655203554
2016,5,1,100.590750583875
2016,5,2,100.42744762694
2016,5,3,100.499245880983
2016,6,1,100.773481460627
2016,6,2,101.28541860831
2016,6,3,101.140935847938
2016,7,1,102.290787145546
2016,7,2,104.170314262083
2016,7,3,106.582360812461
2016,8,1,109.357120511842
2016,8,2,107.997373057668
2016,8,3,106.074595022322
2016,9,1,104.681923655476
2016,9,2,102.663859306993
2016,9,3,101.460123508552
2016,10,1,100.80429758261
2016,10,2,100.576745569095
2016,10,3,100.511277663141
2016,11,1,100.447346345373
2016,11,2,100.366552606269
2016,11,3,100.778260216454
2016,12,1,101.019581003016
2016,12,2,101.321098259344
2016,12,3,101.305334909587
2017,1,1,101.079615737739
2017,1,2,101.194526850446
2017,1,3,101.881667914022
2017,2,1,101.839260774715
2017,2,2,101.64527910834
2017,2,3,101.377357807629
2017,3,1,101.147630491995
2017,3,2,101.031373723259
2017,3,3,100.903776851644
2017,4,1,100.662912336782
2017,4,2,100.955591330981
2017,4,3,100.590995667664
2017,5,1,99.6653876336211
2017,5,2,98.7391676143627
2017,5,3,97.9299910269383
2017,6,1,97.9128392628766
2017,6,2,98.6976966557329
2017,6,3,100.620413090552
2017,7,1,106.956783472468
2017,7,2,111.016121340099
2017,7,3,114.373788710365
2017,8,1,114.359038050409
2017,8,2,111.221601699671
2017,8,3,107.254710124933
2017,9,1,103.488062989225
2017,9,2,99.2544617852351
2017,9,3,98.395900313224
2017,10,1,98.2538821912674
2017,10,2,98.4977873867623
2017,10,3,99.2492285510921
2017,11,1,99.779761296293
2017,11,2,100.157351007243
2017,11,3,100.801645439304
2017,12,1,100.724761071866
2017,12,2,100.633372977892
2017,12,3,100.665701432797
2018,1,1,N/A,
2018,1,2,100.063993507873
2018,1,3,99.3992544978944
2018,2,1,99.0660446277943
2018,2,2,99.277638385528
2018,2,3,99.751720424756
2018,3,1,100.241417044375
2018,3,2,100.411459606059
2018,3,3,100.469236660416
2018,4,1,100.338062788859
2018,4,2,100.272287153974
2018,4,3,100.545462707573
2018,5,1,100.68877012107
2018,5,2,100.552866743658
2018,5,3,99.8495341644552
2018,6,1,99.7984183874193
2018,6,2,99.7901814352631
2018,6,3,100.014573665629
2018,7,1,103.352538147308
2018,7,2,106.826471137867
2018,7,3,110.144634936877
2018,8,1,113.345029106053
2018,8,2,114.754643096067
2018,8,3,116.891116446691
2018,9,1,119.519209242286
2018,9,2,120.466945293703
2018,9,3,118.015939910283
2018,10,1,114.721669061153
2018,10,2,111.729431369755
2018,10,3,108.403523160095
2018,11,1,107.746377176088
2018,11,2,107.364474220824
2018,11,3,106.848348755659
2018,12,1,106.546765880462
2018,12,2,106.218168930056
2018,12,3,105.830643518765