"Year","Month","Dekad","NDVI Anomaly"
2021,1,1,104.997415847826
2021,1,2,104.574572805977
2021,1,3,103.916558333738
2021,2,1,103.739742906054
2021,2,2,103.590731426866
2021,2,3,103.425101372648
2021,3,1,102.956251040201
2021,3,2,102.748207485028
2021,3,3,102.673618563078
2021,4,1,102.538812577845
2021,4,2,102.371053431487
2021,4,3,102.24750226578
2021,5,1,102.037678570637
2021,5,2,101.947724412552
2021,5,3,102.271882168757
2021,6,1,102.391100701085
2021,6,2,102.329153928857
2021,6,3,102.310456782309
2021,7,1,102.458596387915
2021,7,2,102.622117715081
2021,7,3,102.953368200968
2021,8,1,103.359796684013
2021,8,2,103.06001539675
2021,8,3,102.199275234233
2021,9,1,101.147291550334
2021,9,2,101.112515113013
2021,9,3,101.812744100997
2021,10,1,102.200645072569
2021,10,2,102.277366978392
2021,10,3,101.990573842786
2021,11,1,101.821108254838
2021,11,2,101.830102794063
2021,11,3,101.705085125307
2021,12,1,101.741114607856
2021,12,2,101.691118148949
2021,12,3,101.603563755049
2022,1,1,101.469464408431
2022,1,2,101.248012317323
2022,1,3,100.790331514516
2022,2,1,100.63691099427
2022,2,2,100.547973499291
2022,2,3,100.521803856915
2022,3,1,100.30191043933
2022,3,2,100.185624042541
2022,3,3,100.022471626416
2022,4,1,99.72880277409
2022,4,2,N/A,
2022,4,3,N/A,
2022,5,1,N/A,
2022,5,2,N/A,
2022,5,3,N/A,
2022,6,1,N/A,
2022,6,2,N/A,
2022,6,3,N/A,
2022,7,1,N/A,
2022,7,2,N/A,
2022,7,3,N/A,
2022,8,1,N/A,
2022,8,2,N/A,
2022,8,3,N/A,
2022,9,1,N/A,
2022,9,2,N/A,
2022,9,3,N/A,
2022,10,1,N/A,
2022,10,2,N/A,
2022,10,3,N/A,
2022,11,1,N/A,
2022,11,2,N/A,
2022,11,3,N/A,
2022,12,1,N/A,
2022,12,2,N/A,
2022,12,3,N/A,