"Year","Month","Dekad","NDVI","Average"
2021,1,1,0.1237186,0.1101232
2021,1,2,0.1231565,0.110187
2021,1,3,0.1217508,0.1101997
2021,2,1,0.1209157,0.1101178
2021,2,2,0.1199857,0.1099777
2021,2,3,0.1191177,0.1097822
2021,3,1,0.1174112,0.1092799
2021,3,2,0.1167113,0.1090234
2021,3,3,0.1162637,0.1087785
2021,4,1,0.1160265,0.1085357
2021,4,2,0.1152458,0.1079556
2021,4,3,0.1145004,0.1075759
2021,5,1,0.1136047,0.1071146
2021,5,2,0.1126745,0.106577
2021,5,3,0.11159,0.1052608
2021,6,1,0.1110672,0.1045624
2021,6,2,0.1103248,0.1039314
2021,6,3,0.1094777,0.1034027
2021,7,1,0.1083752,0.1026271
2021,7,2,0.1080169,0.1026305
2021,7,3,0.1080721,0.1028571
2021,8,1,0.1114618,0.1042079
2021,8,2,0.1146504,0.1053146
2021,8,3,0.1179729,0.1065665
2021,9,1,0.120584,0.1077958
2021,9,2,0.1214051,0.109455
2021,9,3,0.1201096,0.1097656
2021,10,1,0.1187018,0.1098102
2021,10,2,0.1176349,0.1097044
2021,10,3,0.116236,0.1095012
2021,11,1,0.1160664,0.1094965
2021,11,2,0.115982,0.1095253
2021,11,3,0.1157854,0.1096771
2021,12,1,0.1156803,0.1097765
2021,12,2,0.1156301,0.1098518
2021,12,3,0.1155108,0.1099518
2022,1,1,0.1149978,0.1101232
2022,1,2,0.1148427,0.110187
2022,1,3,0.1145754,0.1101997
2022,2,1,0.1144099,0.1101178
2022,2,2,0.1141746,0.1099777
2022,2,3,0.1138818,0.1097822
2022,3,1,0.1127016,0.1092799
2022,3,2,0.1120019,0.1090234
2022,3,3,0.1114227,0.1087785
2022,4,1,0.1110333,0.1085357
2022,4,2,N/A,0.1079556
2022,4,3,N/A,0.1075759
2022,5,1,N/A,0.1071146
2022,5,2,N/A,0.106577
2022,5,3,N/A,0.1052608
2022,6,1,N/A,0.1045624
2022,6,2,N/A,0.1039314
2022,6,3,N/A,0.1034027
2022,7,1,N/A,0.1026271
2022,7,2,N/A,0.1026305
2022,7,3,N/A,0.1028571
2022,8,1,N/A,0.1042079
2022,8,2,N/A,0.1053146
2022,8,3,N/A,0.1065665
2022,9,1,N/A,0.1077958
2022,9,2,N/A,0.109455
2022,9,3,N/A,0.1097656
2022,10,1,N/A,0.1098102
2022,10,2,N/A,0.1097044
2022,10,3,N/A,0.1095012
2022,11,1,N/A,0.1094965
2022,11,2,N/A,0.1095253
2022,11,3,N/A,0.1096771
2022,12,1,N/A,0.1097765
2022,12,2,N/A,0.1098518
2022,12,3,N/A,0.1099518