"Year","Month","Dekad","NDVI","Average"
2019,1,1,0.1135829,0.1084659
2019,1,2,0.1134694,0.108476
2019,1,3,0.1135885,0.1086929
2019,2,1,0.1135418,0.1088291
2019,2,2,0.113185,0.1088033
2019,2,3,0.112692,0.1087953
2019,3,1,0.1121193,0.1086232
2019,3,2,0.111895,0.1084924
2019,3,3,0.11163,0.108422
2019,4,1,0.1112143,0.1084087
2019,4,2,0.1109735,0.1082419
2019,4,3,0.1111645,0.1081133
2019,5,1,0.1112068,0.1079837
2019,5,2,0.1112333,0.1078098
2019,5,3,0.1108247,0.1073233
2019,6,1,0.1103132,0.1070281
2019,6,2,0.1100857,0.1068166
2019,6,3,0.1098776,0.1067136
2019,7,1,0.1101371,0.1069066
2019,7,2,0.1105257,0.1077351
2019,7,3,0.1128496,0.109269
2019,8,1,0.1202213,0.11526
2019,8,2,0.1246138,0.1191266
2019,8,3,0.1294523,0.1225523
2019,9,1,0.1330824,0.1244282
2019,9,2,0.1328593,0.1222853
2019,9,3,0.1297785,0.1194227
2019,10,1,0.1257901,0.1165239
2019,10,2,0.1219911,0.1140974
2019,10,3,0.1170416,0.1109988
2019,11,1,0.1158251,0.1102321
2019,11,2,0.1150807,0.1095812
2019,11,3,0.1142884,0.1089774
2019,12,1,0.1138573,0.1089097
2019,12,2,0.1133593,0.1087293
2019,12,3,0.1128144,0.108709
2020,1,1,N/A,0.1084659
2020,1,2,0.1117191,0.108476
2020,1,3,0.1115548,0.1086929
2020,2,1,0.1115631,0.1088291
2020,2,2,0.1112946,0.1088033
2020,2,3,0.1110987,0.1087953
2020,3,1,0.1106552,0.1086232
2020,3,2,0.1105305,0.1084924
2020,3,3,0.110327,0.108422
2020,4,1,0.1100733,0.1084087
2020,4,2,0.1094682,0.1082419
2020,4,3,0.1092384,0.1081133
2020,5,1,0.1091391,0.1079837
2020,5,2,0.1091138,0.1078098
2020,5,3,0.1085516,0.1073233
2020,6,1,0.1078445,0.1070281
2020,6,2,0.1076509,0.1068166
2020,6,3,0.1074391,0.1067136
2020,7,1,0.107591,0.1069066
2020,7,2,0.1083876,0.1077351
2020,7,3,0.1111619,0.109269
2020,8,1,0.1238859,0.11526
2020,8,2,0.131843,0.1191266
2020,8,3,0.1376938,0.1225523
2020,9,1,0.1409459,0.1244282
2020,9,2,0.1405424,0.1222853
2020,9,3,0.1373242,0.1194227
2020,10,1,0.1328895,0.1165239
2020,10,2,0.1283181,0.1140974
2020,10,3,0.1214176,0.1109988
2020,11,1,0.1196769,0.1102321
2020,11,2,0.1185636,0.1095812
2020,11,3,0.1173809,0.1089774
2020,12,1,0.1170765,0.1089097
2020,12,2,0.1164659,0.1087293
2020,12,3,N/A,0.108709
2021,1,1,N/A,0.1084659
2021,1,2,N/A,0.108476
2021,1,3,N/A,0.1086929
2021,2,1,N/A,0.1088291
2021,2,2,N/A,0.1088033
2021,2,3,N/A,0.1087953
2021,3,1,N/A,0.1086232
2021,3,2,N/A,0.1084924
2021,3,3,N/A,0.108422
2021,4,1,N/A,0.1084087
2021,4,2,N/A,0.1082419
2021,4,3,N/A,0.1081133
2021,5,1,N/A,0.1079837
2021,5,2,N/A,0.1078098
2021,5,3,N/A,0.1073233
2021,6,1,N/A,0.1070281
2021,6,2,N/A,0.1068166
2021,6,3,N/A,0.1067136
2021,7,1,N/A,0.1069066
2021,7,2,N/A,0.1077351
2021,7,3,N/A,0.109269
2021,8,1,N/A,0.11526
2021,8,2,N/A,0.1191266
2021,8,3,N/A,0.1225523
2021,9,1,N/A,0.1244282
2021,9,2,N/A,0.1222853
2021,9,3,N/A,0.1194227
2021,10,1,N/A,0.1165239
2021,10,2,N/A,0.1140974
2021,10,3,N/A,0.1109988
2021,11,1,N/A,0.1102321
2021,11,2,N/A,0.1095812
2021,11,3,N/A,0.1089774
2021,12,1,N/A,0.1089097
2021,12,2,N/A,0.1087293
2021,12,3,N/A,0.108709