"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2019,1,1,100,108.643887329397,0,0
2019,1,2,100,102.538773090981,0,0
2019,1,3,100,100,0,0
2019,2,1,100,100,0,0
2019,2,2,100,100,0,0
2019,2,3,100,100,0,0
2019,3,1,100,100,0,0
2019,3,2,100,100,0,0
2019,3,3,100,100,0,0
2019,4,1,100,100,0,0
2019,4,2,100.06,100.06,0.006,0
2019,4,3,100.09,100.09,0.003,0
2019,5,1,100.359245584273,100.359245584273,0.048,0.021
2019,5,2,101.488981536629,101.548540798094,0.173,0.053
2019,5,3,102.324680356451,102.411855869818,0.343,0.25
2019,6,1,102.738172391445,103.024666397089,2.166,2.041
2019,6,2,109.519529899758,110.544053923929,3.333,2.174
2019,6,3,120.28004788923,121.218326081392,7.608,4.996
2019,7,1,100.05144209335,101.233980459333,8.233,11.989
2019,7,2,87.8603872818551,92.3418663331105,10.911,14.845
2019,7,3,95.5672610818473,102.404091304478,25.466,20.309
2019,8,1,113.51386055271,110.726685154049,33.186,24.937
2019,8,2,110.597661699527,104.163043292922,20.931,25.753
2019,8,3,130.18779342723,119.132627831075,46.803,24.51
2019,9,1,114.902735646898,113.365229360227,4.842,11.603
2019,9,2,113.840502012621,107.124968695217,3.12,10.778
2019,9,3,51.3039794540496,102.994778654942,1.415,5.388
2019,10,1,62.9922960616315,106.613016328848,2.963,1.612
2019,10,2,87.0757787075779,110.536055307999,0.606,0.208
2019,10,3,114.979485891317,107.933897243108,0.163,0.123
2019,11,1,104.239667021586,100.964712420117,0,0
2019,11,2,100.395139780697,108.859892248762,0,0
2019,11,3,100,58.191478646253,0,0
2019,12,1,100,64.9863033192216,0,0
2019,12,2,100,87.3983036177947,0,0
2019,12,3,100,114.979485891317,0,0
2020,1,1,100,104.239667021586,0,0
2020,1,2,100,100.395139780697,0,0
2020,1,3,100,100,0,0
2020,2,1,100,100,0,0
2020,2,2,100,100,0,0
2020,2,3,100,100,0,0
2020,3,1,100,100,0,0
2020,3,2,100,100,0,0
2020,3,3,100,100,0,0
2020,4,1,100.01,100.01,0.001,0
2020,4,2,100.01,100.01,0,0
2020,4,3,100.01,100.01,0,0
2020,5,1,100.139706616106,100.149685660114,0.035,0.021
2020,5,2,100.694858050427,100.704784594004,0.109,0.053
2020,5,3,101.985664471135,101.995350639287,0.385,0.25
2020,6,1,105.079390797148,105.192074403558,2.477,2.041
2020,6,2,113.197372969236,113.618543228558,3.512,2.174
2020,6,3,100.072874915413,101.126183772716,3.236,4.996
2020,7,1,89.9550739051408,92.7420378124604,9.482,11.989
2020,7,2,106.017212526895,109.696133192435,21.629,14.845
2020,7,3,100.050749873125,100.371936770749,16.061,20.309
2020,8,1,158.91198584697,142.568290499378,63.693,24.937
2020,8,2,129.189249249991,123.930465326445,14.888,25.753
2020,8,3,164.008215962441,138.556310665894,51.154,24.51
2020,9,1,135.523056800156,142.28010270256,21.353,11.603
2020,9,2,163.628693466453,139.042699724518,10.583,10.778
2020,9,3,119.357144748339,138.644823623464,3.144,5.388
2020,10,1,105.569155446756,145.659331485625,5.598,1.612
2020,10,2,110.715946071595,145.660187419503,0.31,0.208
2020,10,3,134.187390102989,157.373468393205,0.118,0.123
2020,11,1,100.938921691995,130.200611280911,0,0
2020,11,2,99.9506075274128,159.228924667559,0,0
2020,11,3,100,128.691579371475,0,0
2020,12,1,100,105.848660571347,0,0
2020,12,2,100,110.611043794357,0,0
2020,12,3,100,134.187390102989,0,0
2021,1,1,100,100.938921691995,0,0
2021,1,2,100,99.9506075274128,0,0
2021,1,3,100,100,0,0
2021,2,1,100,100,0,0
2021,2,2,100,100,0,0
2021,2,3,100,100,0,0
2021,3,1,100,100,0,0
2021,3,2,100,100,0,0
2021,3,3,100,100,0,0
2021,4,1,100,100,0,0
2021,4,2,100,100,0,0
2021,4,3,100,100,0,0
2021,5,1,100.179622792136,100.179622792136,0.039,0.021
2021,5,2,100.536033353186,100.536033353186,0.089,0.053
2021,5,3,103.922898101511,103.922898101511,0.601,0.25
2021,6,1,94.3778353856125,94.532955923979,0.96,2.041
2021,6,2,90.0449360525406,90.4670197400096,1.464,2.174
2021,6,3,92.1243037842903,94.3281289992321,5.274,4.996
2021,7,1,133.660276415515,128.990610328638,22.236,11.989
2021,7,2,120.645469758546,115.635446095452,12.956,14.845
2021,7,3,118.873702815743,114.513032784427,22.736,20.309
2021,8,1,97.6031159492659,108.123894578247,22.719,24.937
2021,8,2,99.6320942233855,105.88094872713,25.246,25.753
2021,8,3,96.9366197183099,104.706331152776,24.625,24.51
2021,9,1,91.8501099268082,101.507451229519,6.138,11.603
2021,9,2,90.2638378653917,101.752441773103,10.589,10.778
2021,9,3,80.9129180015357,100.603327670631,3.833,5.388
2021,10,1,91.4176686586507,93.3742945871039,0.972,1.612
2021,10,2,87.2733612273361,94.0583872448149,0.213,0.208
2021,10,3,94.6914510591978,90.9034739626845,0.124,0.123
2021,11,1,100.058077630433,90.8474576271186,0,0
2021,11,2,100.009878494517,87.9667403693438,0,0
2021,11,3,100,80.2503021756648,0,0
2021,12,1,100,91.5400761321997,0,0
2021,12,2,100,87.3694535802897,0,0
2021,12,3,100,94.6914510591978,0,0