"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2018,1,1,100,75.1512752361025,0,0
2018,1,2,100,61.253288686917,0,0
2018,1,3,100,101.247019988997,0,0
2018,2,1,100,100.049990002,0,0
2018,2,2,100,100.01,0,0
2018,2,3,100,100,0,0
2018,3,1,100.01,100.01,0.001,0
2018,3,2,100.509949005099,100.509949005099,0.051,0.001
2018,3,3,101.45746579417,101.45746579417,0.181,0.085
2018,4,1,103.645632935745,103.655252020008,0.543,0.31
2018,4,2,100.054679668277,100.519409513395,0.255,0.578
2018,4,3,96.1046369489039,97.321356316258,0.995,1.383
2018,5,1,86.9810735339745,89.5948155774938,2.767,4.154
2018,5,2,81.3732878230418,82.3864360684995,4.595,7.022
2018,5,3,68.1032617096924,69.3158895740879,4.666,11.169
2018,6,1,85.1358967366603,83.9147538851681,27.568,26.814
2018,6,2,74.819045174538,73.9568298123606,16.065,29.937
2018,6,3,98.3827044394812,90.1767955801105,46.8,35.333
2018,7,1,120.089053284326,108.663733892451,81.674,53.417
2018,7,2,122.579543813113,104.539381833022,48.222,53.556
2018,7,3,111.813960487564,103.332479192804,68.154,69.095
2018,8,1,103.765002545887,106.877404320545,87.603,73.564
2018,8,2,113.011817504462,110.158478246083,95.124,78.185
2018,8,3,111.820535959509,109.647395329451,92.27,93.121
2018,9,1,116.025457545502,112.975814246462,78.25,56.266
2018,9,2,108.369753168526,114.302249772513,47.607,51.121
2018,9,3,118.822016715296,114.167865098351,56.359,44.381
2018,10,1,98.810736252897,108.086441586476,9.25,19.197
2018,10,2,113.589431956292,111.704172237044,24.394,14.461
2018,10,3,101.871144491865,113.675257331305,11.017,9.999
2018,11,1,130.409455943898,112.536708726681,0.707,0.904
2018,11,2,104.257354699833,110.176255293002,0.071,0.002
2018,11,3,98.8446726572529,115.182401093389,0.002,0
2018,12,1,100.709858028394,106.225302368973,0,0
2018,12,2,100.02,112.993208279431,0,0
2018,12,3,100,101.609149057053,0,0
2019,1,1,100,130.608494033818,0,0
2019,1,2,100,104.266921789046,0,0
2019,1,3,100,98.8446726572529,0,0
2019,2,1,100,100.709858028394,0,0
2019,2,2,100,100.02,0,0
2019,2,3,100,100,0,0
2019,3,1,100.14,100.14,0.014,0
2019,3,2,100.3899610039,100.3899610039,0.026,0.001
2019,3,3,102.448939123538,102.448939123538,0.293,0.085
2019,4,1,100.298191612159,100.432858791843,0.108,0.31
2019,4,2,96.2453294450014,96.601057043922,0.16,0.578
2019,4,3,101.466873115476,103.455531277818,2.183,1.383
2019,5,1,85.938566552901,86.5483616982618,1.506,4.154
2019,5,2,67.7689613901325,67.5179535120894,1.599,7.022
2019,5,3,51.0434379347658,55.5991009163737,3.405,11.169
2019,6,1,58.4601399872739,59.2236166200663,17.152,26.814
2019,6,2,60.8021047227926,58.2010234877313,16.82,29.937
2019,6,3,77.1472512832569,69.2312549329124,34.783,35.333
2019,7,1,102.242650772805,87.6372999938823,69.97,53.417
2019,7,2,118.427376465799,95.8124449599416,65.619,53.556
2019,7,3,139.306060150053,111.305270934485,113.615,69.095
2019,8,1,113.524719346313,102.142971071107,44.871,73.564
2019,8,2,96.731992167871,97.7280250300406,54.814,78.185
2019,8,3,98.0429238435281,108.569238005285,140.197,93.121
2019,9,1,107.393548061219,108.749914023103,50.126,56.266
2019,9,2,124.96959735497,112.74016922975,62.748,51.121
2019,9,3,94.4612036991247,110.157437884628,29.934,44.381
2019,10,1,112.90467445609,111.221252684663,38.109,19.197
2019,10,2,100.110178443644,108.85685063144,10.093,14.461
2019,10,3,122.996067614664,99.6426786884154,7.794,9.999
2019,11,1,80.6271914941749,107.098388655713,0.626,0.904
2019,11,2,88.1702941879933,116.759614228658,0.012,0.002
2019,11,3,97.5426370805061,101.507771493377,0,0
2019,12,1,100.099980003999,106.164661979809,0,0
2019,12,2,100,97.5986416558862,0,0
2019,12,3,100,122.123050418782,0,0
2020,1,1,100,80.6565628004298,0,0
2020,1,2,100,88.1702941879933,0,0
2020,1,3,100,97.5426370805061,0,0
2020,2,1,100,100.099980003999,0,0
2020,2,2,100,100,0,0
2020,2,3,100,100,0,0
2020,3,1,101.49,101.49,0.149,0
2020,3,2,101.669833016698,101.669833016698,0.019,0.001
2020,3,3,102.300218124132,102.300218124132,0.15,0.085
2020,4,1,99.5190457868411,100.952289342055,0.177,0.31
