"Year","Month","Dekad","NDVI Anomaly"
2016,1,1,96.5513713498703
2016,1,2,96.5208702770491
2016,1,3,96.2871826405473
2016,2,1,96.180064644159
2016,2,2,96.9323151300288
2016,2,3,98.3772501366169
2016,3,1,99.6244990173269
2016,3,2,99.5289493352236
2016,3,3,99.9407799136083
2016,4,1,99.6807181733263
2016,4,2,99.369333002976
2016,4,3,99.5989214751272
2016,5,1,99.1934747660971
2016,5,2,98.5172566548981
2016,5,3,99.6137236605108
2016,6,1,99.6503675281412
2016,6,2,99.4801497115695
2016,6,3,99.3318066506685
2016,7,1,102.00700731003
2016,7,2,103.635699020063
2016,7,3,105.134187809125
2016,8,1,106.655043543698
2016,8,2,105.40730195213
2016,8,3,103.55147057229
2016,9,1,102.066628863557
2016,9,2,99.2646296108307
2016,9,3,98.0957922071457
2016,10,1,97.8672423462934
2016,10,2,98.4456691119774
2016,10,3,99.5960565416623
2016,11,1,99.63675631792
2016,11,2,99.5368695847511
2016,11,3,99.4109874506143
2016,12,1,99.4932223767052
2016,12,2,99.8038347667435
2016,12,3,99.7883005207705
2017,1,1,99.6556305010314
2017,1,2,100.917320749266
2017,1,3,101.989965358488
2017,2,1,101.307308878139
2017,2,2,100.745165347293
2017,2,3,100.428066227121
2017,3,1,99.7021605673069
2017,3,2,99.7460101860097
2017,3,3,99.75471493629
2017,4,1,99.5809287351425
2017,4,2,98.6539237821089
2017,4,3,98.4250819945027
2017,5,1,98.6661634581558
2017,5,2,98.8377024072945
2017,5,3,98.9955813592453
2017,6,1,98.808159536002
2017,6,2,98.8343220747074
2017,6,3,99.2335687350017
2017,7,1,100.915320001369
2017,7,2,102.803744451911
2017,7,3,105.334704075418
2017,8,1,109.082217072472
2017,8,2,108.839718777456
2017,8,3,107.105832485809
2017,9,1,103.492936647995
2017,9,2,97.6124918096328
2017,9,3,96.7802857206195
2017,10,1,97.0161862435295
2017,10,2,97.1846271399378
2017,10,3,98.0976712259331
2017,11,1,99.1903856229112
2017,11,2,99.9433456917243
2017,11,3,100.500063968138
2017,12,1,100.100908173562
2017,12,2,99.5607904952238
2017,12,3,99.096320693881
2018,1,1,N/A,
2018,1,2,97.4338990999516
2018,1,3,97.2476033215565
2018,2,1,97.5263388750724
2018,2,2,98.556717714369
2018,2,3,99.4269635914665
2018,3,1,100.514240960967
2018,3,2,100.519206913366
2018,3,3,100.387833506957
2018,4,1,100.155924463999
2018,4,2,99.5240627270627
2018,4,3,99.674527338089
2018,5,1,99.7538508810602
2018,5,2,99.8150675173301
2018,5,3,99.637038236461
2018,6,1,99.3608689514583
2018,6,2,99.0939151169497
2018,6,3,99.6280562221461
2018,7,1,106.289942588493
2018,7,2,110.020059203176
2018,7,3,113.097173963456
2018,8,1,114.067324263419
2018,8,2,112.357783075953
2018,8,3,109.83077702627
2018,9,1,108.179850942693
2018,9,2,109.382478612759
2018,9,3,111.171829454356
2018,10,1,111.606998782967
2018,10,2,110.769738309136
2018,10,3,108.477554301664
2018,11,1,107.830787973192
2018,11,2,107.114544125789
2018,11,3,106.378002646713
2018,12,1,106.479118108315
2018,12,2,107.027454432398
2018,12,3,107.390367159861