"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2018,1,1,100.01,100.832424933109,0,0
2018,1,2,100,100.776351149597,0,0
2018,1,3,100.01,100.699230846069,0.001,0
2018,2,1,100.356329803029,100.840751730959,0.138,0.103
2018,2,2,100.439110070258,100.663349917081,0.154,0.145
2018,2,3,100.542425416505,100.610228593568,0.088,0.076
2018,3,1,100.263311878291,100.617939557787,0.039,0.033
2018,3,2,100.236779794791,100.664483821263,0.033,0.027
2018,3,3,100.337100931985,100.874159462056,0.048,0.026
2018,4,1,100.298092209857,100.89242874964,0.013,0.011
2018,4,2,100.248607796341,100.900383141762,0.02,0.019
2018,4,3,100.12763868434,100.972156677678,0.165,0.155
2018,5,1,103.313546557987,103.713916415338,1.476,1.113
2018,5,2,111.166253101737,111.376833740831,2.695,1.628
2018,5,3,113.189533239038,113.267642772882,1.834,1.399
2018,6,1,110.541928948701,112.2660163459,0.749,0.794
2018,6,2,112.783360598271,119.671923491038,1.895,0.644
2018,6,3,126.364965875853,130.800216437203,2.909,0.87
2018,7,1,131.136787178532,132.435350645144,2.788,1.901
2018,7,2,111.90720328121,123.147584008998,1.765,2.833
2018,7,3,107.496380502976,125.931386221461,5.494,3.915
2018,8,1,127.721943048576,140.350877192982,10.191,4.744
2018,8,2,134.441237113402,136.251567709767,6.917,5.591
2018,8,3,131.365785598016,134.647297260535,6.787,5.467
2018,9,1,121.098760153912,139.350340757762,4.621,2.332
2018,9,2,120.257385505132,136.105206545957,1.673,1.394
2018,9,3,118.332189430336,131.167832705466,0.947,0.844
2018,10,1,105.051156046081,130.888859096394,0.42,0.175
2018,10,2,103.254090210612,136.515388628065,0.056,0.044
2018,10,3,102.691370063384,136.046625526496,0.055,0.036
2018,11,1,100.337167790559,121.617027851817,0.007,0.004
2018,11,2,100.438072481083,121.142857142857,0.026,0.004
2018,11,3,100.509439616422,120.207603127528,0.029,0.003
2018,12,1,100.479664235035,105.670185540627,0,0
2018,12,2,100.259922023393,103.870387038704,0,0
2018,12,3,100,103.185271770894,0,0
2019,1,1,100,100.812605291844,0,0
2019,1,2,100,100.696725390664,0,0
2019,1,3,100,100.509439616422,0,0
2019,2,1,100.079184400673,100.55390702275,0.111,0.103
2019,2,2,100.165886026542,100.419471271096,0.154,0.145
2019,2,3,100.242154203797,100.242154203797,0.084,0.076
2019,3,1,100.458357714063,100.531041807473,0.063,0.033
2019,3,2,100.43409629045,100.587442218798,0.033,0.027
2019,3,3,100.59488399762,100.816522574448,0.05,0.026
2019,4,1,100.317965023847,100.834852701276,0.013,0.011
2019,4,2,100.278440731901,100.852490421456,0.021,0.019
2019,4,3,100.157093765341,100.953279848985,0.167,0.155
2019,5,1,100.903694515815,101.559672554933,1.201,1.113
2019,5,2,102.489143920596,103.002750611247,1.849,1.628
2019,5,3,105.834512022631,106.252168482409,1.915,1.399
2019,6,1,110.310397221619,110.275507513841,1.482,0.794
2019,6,2,109.192178857989,109.683957185382,0.62,0.644
2019,6,3,108.28729281768,111.188600973967,1.226,0.87
2019,7,1,103.242638837123,110.592236678724,2.004,1.901
2019,7,2,107.626249679569,112.611894830576,3.564,2.833
2019,7,3,111.775430317979,116.101526078814,5.277,3.915
2019,8,1,123.348222594454,123.941798941799,7.669,4.744
2019,8,2,118.136082474227,120.702945764889,5.702,5.591
2019,8,3,145.95380203085,141.004923964199,14.288,5.467
2019,9,1,136.626763574177,136.608611640598,1.967,2.332
2019,9,2,140.290730995676,134.11529694983,0.671,1.394
2019,9,3,91.3658201784489,132.790036134389,0.674,0.844
2019,10,1,96.9628615161524,135.414934977879,0.691,0.175
2019,10,2,103.236011931664,136.193705442532,0.056,0.044
2019,10,3,105.138956606533,136.327423515199,0.035,0.036
2019,11,1,100.119000396668,131.683856762081,0.005,0.004
2019,11,2,100.149342891278,139.931034482759,0.019,0.004
2019,11,3,100.149835181301,95.1739013211108,0.002,0.003
2019,12,1,100.139902068552,97.1928982725528,0,0
2019,12,2,99.9900029991003,103.348334833483,0,0
2019,12,3,100,105.279563608026,0,0
2020,1,1,100,100.257655336438,0,0
2020,1,2,100,100.139345078133,0,0
2020,1,3,100,100.149835181301,0,0
2020,2,1,100.069286350589,100.207715133531,0.11,0.103
2020,2,2,100.292740046838,100.282899229343,0.168,0.145
2020,2,3,100.35838822162,100.35838822162,0.083,0.076
2020,3,1,100.351082504389,100.415178140388,0.039,0.033
2020,3,2,100.187450670876,100.4718798151,0.033,0.027
2020,3,3,100.267697798929,100.614793467819,0.041,0.026
2020,4,1,100.248410174881,100.652528548124,0.015,0.011
2020,4,2,100.268496420048,100.727969348659,0.027,0.019
2020,4,3,99.9312714776632,100.537989617744,0.136,0.155
2020,5,1,100.89483476566,101.395950021542,1.225,1.113
2020,5,2,104.055521091811,104.347493887531,2.058,1.628
2020,5,3,107.206506364922,107.209770314343,1.876,1.399
2020,6,1,113.891903624919,113.485367782758,1.807,0.794
2020,6,2,111.80961283789,113.085059218443,0.67,0.644
2020,6,3,106.719207019825,111.056333794264,0.658,0.87
2020,7,1,92.5903838986209,105.544458241106,1.093,1.901
2020,7,2,100.890797231479,110.207620565215,3.992,2.833
2020,7,3,97.0132446779988,105.136072040483,3.007,3.915
2020,8,1,129.466778336125,125.268031189084,10.826,4.744
