"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2019,1,1,100,164.717509471257,0,0
2019,1,2,100,104.058272632674,0,0
2019,1,3,100,100,0,0
2019,2,1,100,100,0,0
2019,2,2,100,100,0,0
2019,2,3,100,100,0,0
2019,3,1,100,100,0.143,0.143
2019,3,2,100,100,0.143,0.143
2019,3,3,100,100,0.286,0.286
2019,4,1,100,100,0,0
2019,4,2,100,100,0,0
2019,4,3,92.7722020747238,93.1048354654437,1,1.857
2019,5,1,78.9073608224871,79.547141796585,3.429,6.429
2019,5,2,132.598522643772,131.892996329789,19.857,7.571
2019,5,3,142.980548687856,137.7,14.714,9.571
2019,6,1,156.757268083496,141.11679636144,30,20.429
2019,6,2,112.141666666667,120.637484732674,12.571,20
2019,6,3,107.16721353664,118.558700057202,30.714,27.286
2019,7,1,91.8453388345334,110.294137831643,38.429,42.571
2019,7,2,89.6825396825397,101.414595245417,33.857,46.143
2019,7,3,96.9792114221502,106.360611944544,64.429,52.571
2019,8,1,106.818529997525,110.240558386226,73,61
2019,8,2,113.333745649595,105.234734206371,54.143,54.286
2019,8,3,112.430881413434,106.034994828098,67,56.286
2019,9,1,111.677468324867,105.307965539961,41,33.571
2019,9,2,105.991169944259,104.475180722892,21,31.286
2019,9,3,84.2105263157895,100.735797105358,8,20.143
2019,10,1,79.2176179982428,104.056675042729,16,8
2019,10,2,93.5262124187944,108.822563079151,3.143,1.571
2019,10,3,147.522589613742,106.195205157672,0.571,0.571
2019,11,1,112.946796244441,102.384175343279,0,0
2019,11,2,100,103.274524865575,0,0
2019,11,3,100,94.8374579140591,0,0
2019,12,1,100,82.0360201757695,0,0
2019,12,2,100,93.6179719498573,0,0
2019,12,3,100,147.522589613742,0,0
2020,1,1,100,112.946796244441,0,0
2020,1,2,100,100,0,0
2020,1,3,100,100,0,0
2020,2,1,100,100,0,0
2020,2,2,100,100,0,0
2020,2,3,100,100,0,0
2020,3,1,100,100,0.143,0.143
2020,3,2,101.390239160023,101.390239160023,0.286,0.143
2020,3,3,104.048429814605,104.048429814605,0.571,0.286
2020,4,1,109.57905839486,109.449489216799,0.571,0
2020,4,2,115.263464903753,116.203178206583,0.714,0
2020,4,3,103.609682044362,106.887118834983,1,1.857
2020,5,1,78.901892157935,84.8393254852052,2.714,6.429
2020,5,2,65.7462195923734,72.9690869877786,3.286,7.571
2020,5,3,62.1280271663043,67.0611111111111,4.857,9.571
2020,6,1,50.4509049631078,53.0433855665707,5.857,20.429
2020,6,2,100.951666666667,91.179753884139,39.857,20
2020,6,3,94.2996847455446,83.7933742474041,17.571,27.286
2020,7,1,94.4200206295002,77.3522104945304,26.857,42.571
2020,7,2,99.9992063492063,95.6806371412041,71.571,46.143
2020,7,3,121.24665366692,106.18334425797,75,52.571
2020,8,1,167.171830255606,128.557726608827,127.143,61
2020,8,2,138.956015225715,120.315421817791,35,54.286
2020,8,3,142.092393100258,126.663713732679,85.857,56.286
2020,9,1,140.036848900047,142.144191184849,85,33.571
2020,9,2,166.448838291026,137.693493975904,37.429,31.286
2020,9,3,159.398947368421,140.455355676132,19,20.143
2020,10,1,111.728528424722,149.253655374163,11.143,8
2020,10,2,103.238152792466,147.979398504475,0.857,1.571
2020,10,3,111.354383874491,148.838873349379,0.429,0.571
2020,11,1,92.9500905946302,131.987260910279,0,0
2020,11,2,98.6567022987418,154.691255544267,0,0
2020,11,3,100,155.844476993019,0,0
2020,12,1,100,110.181498092803,0,0
2020,12,2,100,102.839766662529,0,0