"Year","Month","Dekad","NDVI Anomaly"
2020,1,1,104.283599774299
2020,1,2,103.673701815333
2020,1,3,102.941880328749
2020,2,1,102.748274658386
2020,2,2,102.258767026306
2020,2,3,101.54598406176
2020,3,1,100.889712127217
2020,3,2,101.092542901392
2020,3,3,100.879730489646
2020,4,1,100.681278754276
2020,4,2,98.670486900734
2020,4,3,96.6264281857687
2020,5,1,95.0817298492331
2020,5,2,91.947057704107
2020,5,3,91.7330481814351
2020,6,1,91.3696899032536
2020,6,2,91.2821377833163
2020,6,3,91.9545175602565
2020,7,1,94.1679355545344
2020,7,2,95.3482178819972
2020,7,3,95.2157769957768
2020,8,1,94.4260326716674
2020,8,2,94.889846861113
2020,8,3,95.9350802271624
2020,9,1,96.9931386568858
2020,9,2,97.9894337095067
2020,9,3,98.0480440349877
2020,10,1,97.7466056737342
2020,10,2,97.1900593429519
2020,10,3,95.0315122591188
2020,11,1,93.7601103808321
2020,11,2,92.8492416061199
2020,11,3,92.7269011246739
2020,12,1,93.4337664861481
2020,12,2,94.2639396398884
2020,12,3,95.1615462755167
2021,1,1,97.4739871762591
2021,1,2,98.5853108677413
2021,1,3,99.3641692956493
2021,2,1,99.5377272275512
2021,2,2,99.6370364084691
2021,2,3,99.3761569730589
2021,3,1,100.100007279728
2021,3,2,101.130741659559
2021,3,3,101.544788209694
2021,4,1,100.806260076285
2021,4,2,96.4772900604582
2021,4,3,94.3880300180265
2021,5,1,92.5954049289323
2021,5,2,91.2663317702358
2021,5,3,89.8631922334452
2021,6,1,89.8497460611076
2021,6,2,90.1386935930191
2021,6,3,90.5454923321673
2021,7,1,90.4214017943182
2021,7,2,91.6165800905427
2021,7,3,93.2467866459444
2021,8,1,96.3457004417331
2021,8,2,96.6887029147607
2021,8,3,96.2398524243599
2021,9,1,95.5547782380284
2021,9,2,95.1777885550152
2021,9,3,95.3773261302501
2021,10,1,95.1966187188005
2021,10,2,94.8597430742101
2021,10,3,95.2636375854338
2021,11,1,96.290475609867
2021,11,2,96.469243097176
2021,11,3,95.8101806978126
2021,12,1,95.7987516187338
2021,12,2,95.8201319229995
2021,12,3,96.2595741012663
2022,1,1,97.2955038523299
2022,1,2,97.3349464435538
2022,1,3,97.2158290853031
2022,2,1,96.9208076077445
2022,2,2,96.8860696927259
2022,2,3,96.9925165326917
2022,3,1,95.9488154265516
2022,3,2,94.6097560342354
2022,3,3,93.100617284745
2022,4,1,91.144823247218
2022,4,2,N/A,
2022,4,3,N/A,
2022,5,1,N/A,
2022,5,2,N/A,
2022,5,3,N/A,
2022,6,1,N/A,
2022,6,2,N/A,
2022,6,3,N/A,
2022,7,1,N/A,
2022,7,2,N/A,
2022,7,3,N/A,
2022,8,1,N/A,
2022,8,2,N/A,
2022,8,3,N/A,
2022,9,1,N/A,
2022,9,2,N/A,
2022,9,3,N/A,
2022,10,1,N/A,
2022,10,2,N/A,
2022,10,3,N/A,
2022,11,1,N/A,
2022,11,2,N/A,
2022,11,3,N/A,
2022,12,1,N/A,
2022,12,2,N/A,
2022,12,3,N/A,