"Year","Month","Dekad","NDVI","Average"
2020,1,1,0.2829815,0.2490757
2019,1,1,0.2571152,0.2490757
2021,1,1,0.2928672,0.2490757
2021,1,2,0.2858521,0.242306
2020,1,2,0.2713555,0.242306
2019,1,2,0.2507739,0.242306
2019,1,3,0.2403461,0.2300685
2020,1,3,0.2526016,0.2300685
2021,1,3,0.2680873,0.2300685
2021,2,1,0.2591243,0.2245444
2019,2,1,0.2351723,0.2245444
2020,2,1,0.2476833,0.2245444
2019,2,2,0.2269952,0.2189
2021,2,2,0.2514504,0.2189
2020,2,2,0.2418966,0.2189
2020,2,3,0.235081,0.2135835
2021,2,3,0.2448467,0.2135835
2019,2,3,0.2213751,0.2135835
2019,3,1,0.2161066,0.2034309
2021,3,1,0.2349288,0.2034309
2020,3,1,0.2228466,0.2034309
2020,3,2,0.2179725,0.1995366
2021,3,2,0.2313568,0.1995366
2019,3,2,0.2132616,0.1995366
2019,3,3,0.2089366,0.197195
2020,3,3,0.2143413,0.197195
2021,3,3,0.225293,0.197195
2021,4,1,0.2208852,0.1967214
2020,4,1,0.2107865,0.1967214
2019,4,1,0.2057031,0.1967214
2019,4,2,0.2063425,0.1999176
2020,4,2,0.2107978,0.1999176
2021,4,2,0.2190095,0.1999176
2021,4,3,0.2205944,0.2037104
2019,4,3,0.209592,0.2037104
2020,4,3,0.2128653,0.2037104
2019,5,1,0.2134368,0.2080674
2021,5,1,0.2238931,0.2080674
2020,5,1,0.2182578,0.2080674
2020,5,2,0.2282984,0.2130609
2021,5,2,0.2303293,0.2130609
2019,5,2,0.2199397,0.2130609
2019,5,3,0.2459295,0.2259283
2021,5,3,0.2474452,0.2259283
2020,5,3,0.2407413,0.2259283
2021,6,1,0.2542628,0.2372984
2020,6,1,0.2515088,0.2372984
2019,6,1,0.2714695,0.2372984
2020,6,2,0.270337,0.2538256
2019,6,2,0.3042038,0.2538256
2021,6,2,0.2677052,0.2538256
2021,6,3,0.2907276,0.2762948
2020,6,3,0.3008169,0.2762948
2019,6,3,0.3389859,0.2762948
2019,7,1,0.4089982,0.3410695
2020,7,1,0.404643,0.3410695
2021,7,1,0.3603854,0.3410695
2021,7,2,0.4130268,0.3860195
2020,7,2,0.4717277,0.3860195
2019,7,2,0.4523042,0.3860195
2019,7,3,0.4991,0.4384149
2020,7,3,0.5363135,0.4384149
2021,7,3,0.4831426,0.4384149
2019,8,1,0.5797734,0.5415113
2020,8,1,0.6425024,0.5415113
2021,8,1,0.6150734,0.5415113
2021,8,2,0.6465632,0.5767402
2019,8,2,0.6055902,0.5767402
2020,8,2,0.6693693,0.5767402
2019,8,3,0.6167786,0.5961819
2020,8,3,0.675227,0.5961819
2021,8,3,0.6484446,0.5961819
2021,9,1,0.6323239,0.6009433
2019,9,1,0.612202,0.6009433
2020,9,1,0.6652834,0.6009433
2020,9,2,0.6316645,0.5724391
2019,9,2,0.5726612,0.5724391
2021,9,2,0.5988389,0.5724391
2021,9,3,0.5843049,0.5444804
2020,9,3,0.6121344,0.5444804
2019,9,3,0.5456311,0.5444804
2019,10,1,0.5222057,0.512458
2020,10,1,0.58785,0.512458
2021,10,1,0.5572663,0.512458
2021,10,2,0.5221538,0.4792108
2020,10,2,0.560946,0.4792108
2019,10,2,0.5054261,0.4792108
2019,10,3,0.4791689,0.4113285
2020,10,3,0.4930215,0.4113285
2021,10,3,0.4334119,0.4113285
2021,11,1,0.3931224,0.377988
2020,11,1,0.4525113,0.377988
2019,11,1,0.4604947,0.377988
2019,11,2,0.4319026,0.3471595
2020,11,2,0.4144378,0.3471595
2021,11,2,0.3570316,0.3471595
2021,11,3,0.3071128,0.300762
2020,11,3,0.3586979,0.300762
2019,11,3,0.3707843,0.300762
2020,12,1,0.3394612,0.2856683
2019,12,1,0.3480561,0.2856683
2021,12,1,0.2912738,0.2856683
2021,12,2,0.2768088,0.2732914
2019,12,2,0.3263604,0.2732914
2020,12,2,0.3231337,0.2732914
2020,12,3,0.3096313,0.2640293
2019,12,3,0.3102652,0.2640293
2021,12,3,0.2674982,0.2640293