"Year","Month","Dekad","NDVI Anomaly"
2019,1,1,148.748083801737
2019,1,2,150.151515151515
2019,1,3,146.994134897361
2019,2,1,144.950542437779
2019,2,2,143.356207111666
2019,2,3,142.586798931705
2019,3,1,141.941919751718
2019,3,2,140.611706029045
2019,3,3,138.574884539257
2019,4,1,135.79809608147
2019,4,2,128.062157221207
2019,4,3,123.73938118619
2019,5,1,119.604863221885
2019,5,2,115.799424578709
2019,5,3,109.414714273364
2019,6,1,107.489414255469
2019,6,2,106.4409208994
2019,6,3,105.856263577118
2019,7,1,104.073504118765
2019,7,2,103.669890626412
2019,7,3,103.31830477908
2019,8,1,102.631815323812
2019,8,2,102.145421903052
2019,8,3,101.779455378808
2019,9,1,101.613193943764
2019,9,2,101.809419894526
2019,9,3,101.860465116279
2019,10,1,101.897810218978
2019,10,2,101.911001911002
2019,10,3,102.239007283518
2019,11,1,102.229753835177
2019,11,2,101.886291179596
2019,11,3,102.236057523676
2019,12,1,102.630199231038
2019,12,2,103.176398920895
2019,12,3,104.595413241021
2020,1,1,N/A,
2020,1,2,110.951178451178
2020,1,3,112.056044314109
2020,2,1,112.747287811104
2020,2,2,113.950405489707
2020,2,3,115.665776421213
2020,3,1,119.603931131309
2020,3,2,121.908464133783
2020,3,3,124.213767319112
2020,4,1,125.562689100435
2020,4,2,125.281840341255
2020,4,3,122.414464967656
2020,5,1,118.764997600384
2020,5,2,115.026715988492
2020,5,3,108.221665081698
2020,6,1,105.945659844742
2020,6,2,104.595538833647
2020,6,3,103.566256335988
2020,7,1,102.833348420386
2020,7,2,102.81117237639
2020,7,3,102.669071235347
2020,8,1,102.443186921764
2020,8,2,102.558348294434
2020,8,3,102.669183068212
2020,9,1,102.838860850757
2020,9,2,102.073104200764
2020,9,3,102.042863657091
2020,10,1,102.335766423358
2020,10,2,102.766402766403
2020,10,3,106.573149896592
2020,11,1,109.320371031038
2020,11,2,111.246900460503
2020,11,3,N/A,
2020,12,1,N/A,
2020,12,2,N/A,
2020,12,3,N/A,