"Year","Month","Dekad","NDVI","Average"
2021,1,1,0.1554865,0.152004
2021,1,2,0.1593091,0.1558922
2021,1,3,0.1742085,0.1632903
2021,2,1,0.1800342,0.1684186
2021,2,2,0.1829079,0.1752252
2021,2,3,0.1810109,0.1832581
2021,3,1,0.1758521,0.1998254
2021,3,2,0.175934,0.2063449
2021,3,3,0.1777915,0.2101191
2021,4,1,0.1795817,0.2108296
2021,4,2,0.1770856,0.2012095
2021,4,3,0.1709186,0.1904689
2021,5,1,0.1604994,0.1764815
2021,5,2,0.1493013,0.1613652
2021,5,3,0.1312548,0.1343034
2021,6,1,0.1253676,0.1250465
2021,6,2,0.1219371,0.1191711
2021,6,3,0.1201331,0.1160814
2021,7,1,0.1200673,0.1160063
2021,7,2,0.1207139,0.1172707
2021,7,3,0.1223666,0.1192705
2021,8,1,0.1281372,0.1245958
2021,8,2,0.1316368,0.1272812
2021,8,3,0.1342471,0.1295576
2021,9,1,0.1360477,0.1311658
2021,9,2,0.1371415,0.1319292
2021,9,3,0.1368894,0.131096
2021,10,1,0.1361635,0.1296584
2021,10,2,0.1342666,0.1279598
2021,10,3,0.1314232,0.12496
2021,11,1,0.1309767,0.1242562
2021,11,2,0.1309418,0.1243068
2021,11,3,0.1306906,0.1280875
2021,12,1,0.1302139,0.1319238
2021,12,2,0.129606,0.1367073
2021,12,3,0.1294934,0.1420928
2022,1,1,0.1319434,0.152004
2022,1,2,0.1335419,0.1558922
2022,1,3,0.1326523,0.1632903
2022,2,1,0.1306452,0.1684186
2022,2,2,0.1307,0.1752252
2022,2,3,0.1355843,0.1832581
2022,3,1,0.1558015,0.1998254
2022,3,2,0.1640163,0.2063449
2022,3,3,N/A,0.2101191
2022,4,1,N/A,0.2108296
2022,4,2,N/A,0.2012095
2022,4,3,N/A,0.1904689
2022,5,1,N/A,0.1764815
2022,5,2,N/A,0.1613652
2022,5,3,N/A,0.1343034
2022,6,1,N/A,0.1250465
2022,6,2,N/A,0.1191711
2022,6,3,N/A,0.1160814
2022,7,1,N/A,0.1160063
2022,7,2,N/A,0.1172707
2022,7,3,N/A,0.1192705
2022,8,1,N/A,0.1245958
2022,8,2,N/A,0.1272812
2022,8,3,N/A,0.1295576
2022,9,1,N/A,0.1311658
2022,9,2,N/A,0.1319292
2022,9,3,N/A,0.131096
2022,10,1,N/A,0.1296584
2022,10,2,N/A,0.1279598
2022,10,3,N/A,0.12496
2022,11,1,N/A,0.1242562
2022,11,2,N/A,0.1243068
2022,11,3,N/A,0.1280875
2022,12,1,N/A,0.1319238
2022,12,2,N/A,0.1367073
2022,12,3,N/A,0.1420928