"Year","Month","Dekad","NDVI","Average"
2020,1,1,0.1701415,0.1510722
2020,1,2,0.1723649,0.1539258
2020,1,3,0.1812629,0.1594871
2020,2,1,0.1861456,0.162706
2020,2,2,0.1920129,0.1665065
2020,2,3,0.2009863,0.1711435
2020,3,1,0.2251456,0.1832802
2020,3,2,0.2408585,0.1901988
2020,3,3,0.2598085,0.196506
2020,4,1,0.2793988,0.2008117
2020,4,2,0.2967073,0.2003302
2020,4,3,0.2830867,0.194506
2020,5,1,0.2631073,0.1856903
2020,5,2,0.2219637,0.1752581
2020,5,3,0.1919351,0.1545173
2020,6,1,0.1762234,0.1459411
2020,6,2,0.1657964,0.13945
2020,6,3,0.1595117,0.1348746
2020,7,1,0.1533726,0.1298887
2020,7,2,0.1507512,0.1282427
2020,7,3,0.1483798,0.1268879
2020,8,1,0.1443403,0.1248657
2020,8,2,0.1433629,0.1243266
2020,8,3,0.1430371,0.1238859
2020,9,1,0.1423274,0.1234069
2020,9,2,0.1418012,0.1226073
2020,9,3,0.1419056,0.1223786
2020,10,1,0.1422532,0.1225665
2020,10,2,0.1424532,0.1232815
2020,10,3,0.1448827,0.1265298
2020,11,1,0.1487609,0.1289331
2020,11,2,0.1544052,0.1314379
2020,11,3,0.1684258,0.1367488
2020,12,1,0.1768476,0.1395601
2020,12,2,0.1832605,0.1423968
2020,12,3,0.1885206,0.1453294
2021,1,1,0.1944625,0.1510722
2021,1,2,0.1961694,0.1539258
2021,1,3,0.2015798,0.1594871
2021,2,1,0.2050488,0.162706
2021,2,2,0.2088339,0.1665065
2021,2,3,0.2137161,0.1711435
2021,3,1,0.226975,0.1832802
2021,3,2,0.23295,0.1901988
2021,3,3,0.2354137,0.196506
2021,4,1,0.2324686,0.2008117
2021,4,2,0.2129436,0.2003302
2021,4,3,0.1979875,0.194506
2021,5,1,0.1819206,0.1856903
2021,5,2,0.167446,0.1752581
2021,5,3,0.148506,0.1545173
2021,6,1,0.143573,0.1459411
2021,6,2,0.1408806,0.13945
2021,6,3,0.1389754,0.1348746
2021,7,1,0.1362117,0.1298887
2021,7,2,0.1351927,0.1282427
2021,7,3,0.1344831,0.1268879
2021,8,1,0.1340016,0.1248657
2021,8,2,0.1341823,0.1243266
2021,8,3,0.1345859,0.1238859
2021,9,1,0.1350496,0.1234069
2021,9,2,0.1350133,0.1226073
2021,9,3,0.1354657,0.1223786
2021,10,1,0.1364129,0.1225665
2021,10,2,0.136956,0.1232815
2021,10,3,0.1382173,0.1265298
2021,11,1,0.1391875,0.1289331
2021,11,2,0.1401258,0.1314379
2021,11,3,0.1426819,0.1367488
2021,12,1,0.143746,0.1395601
2021,12,2,0.145181,0.1423968
2021,12,3,0.1478194,0.1453294
2022,1,1,0.1556,0.1510722
2022,1,2,0.1584702,0.1539258
2022,1,3,0.1610831,0.1594871
2022,2,1,0.1610181,0.162706
2022,2,2,0.162423,0.1665065
2022,2,3,0.1656964,0.1711435
2022,3,1,0.172952,0.1832802
2022,3,2,0.174546,0.1901988
2022,3,3,N/A,0.196506
2022,4,1,N/A,0.2008117
2022,4,2,N/A,0.2003302
2022,4,3,N/A,0.194506
2022,5,1,N/A,0.1856903
2022,5,2,N/A,0.1752581
2022,5,3,N/A,0.1545173
2022,6,1,N/A,0.1459411
2022,6,2,N/A,0.13945
2022,6,3,N/A,0.1348746
2022,7,1,N/A,0.1298887
2022,7,2,N/A,0.1282427
2022,7,3,N/A,0.1268879
2022,8,1,N/A,0.1248657
2022,8,2,N/A,0.1243266
2022,8,3,N/A,0.1238859
2022,9,1,N/A,0.1234069
2022,9,2,N/A,0.1226073
2022,9,3,N/A,0.1223786
2022,10,1,N/A,0.1225665
2022,10,2,N/A,0.1232815
2022,10,3,N/A,0.1265298
2022,11,1,N/A,0.1289331
2022,11,2,N/A,0.1314379
2022,11,3,N/A,0.1367488
2022,12,1,N/A,0.1395601
2022,12,2,N/A,0.1423968
2022,12,3,N/A,0.1453294