"Year","Month","Dekad","NDVI","Average"
2020,1,1,0.2853147,0.2438719
2020,1,2,0.2991179,0.2532132
2020,1,3,0.3231562,0.2725524
2020,2,1,0.3315909,0.2839828
2020,2,2,0.3400397,0.2967732
2020,2,3,0.350241,0.3105934
2020,3,1,0.3805179,0.3383533
2020,3,2,0.4009413,0.3489576
2020,3,3,0.4188258,0.355003
2020,4,1,0.4246957,0.3553612
2020,4,2,0.3892093,0.3362685
2020,4,3,0.3608383,0.3172419
2020,5,1,0.3324132,0.293768
2020,5,2,0.2946739,0.2679893
2020,5,3,0.2417877,0.2205556
2020,6,1,0.2218723,0.2028961
2020,6,2,0.207446,0.1902671
2020,6,3,0.1987859,0.1819415
2020,7,1,0.1908531,0.1747649
2020,7,2,0.1894444,0.1735472
2020,7,3,0.1882215,0.1732188
2020,8,1,0.1875485,0.174139
2020,8,2,0.1881077,0.1747569
2020,8,3,0.1885571,0.1751823
2020,9,1,0.1886531,0.1752998
2020,9,2,0.1867569,0.1752166
2020,9,3,0.1851397,0.1755444
2020,10,1,0.1839259,0.1764676
2020,10,2,0.1832381,0.1777453
2020,10,3,0.1882798,0.1813222
2020,11,1,0.1982658,0.1841753
2020,11,2,0.2132363,0.187783
2020,11,3,0.2427193,0.1987728
2020,12,1,0.2570862,0.2066587
2020,12,2,0.2721374,0.2155469
2020,12,3,0.2869787,0.2249116
2021,1,1,0.305293,0.2438719
2021,1,2,0.3148463,0.2532132
2021,1,3,0.3418268,0.2725524
2021,2,1,0.3540109,0.2839828
2021,2,2,0.364439,0.2967732
2021,2,3,0.3717227,0.3105934
2021,3,1,0.3898787,0.3383533
2021,3,2,0.3969844,0.3489576
2021,3,3,0.3954728,0.355003
2021,4,1,0.3841871,0.3553612
2021,4,2,0.3420215,0.3362685
2021,4,3,0.3165073,0.3172419
2021,5,1,0.2890807,0.293768
2021,5,2,0.2625243,0.2679893
2021,5,3,0.220488,0.2205556
2021,6,1,0.2059628,0.2028961
2021,6,2,0.195946,0.1902671
2021,6,3,0.1886415,0.1819415
2021,7,1,0.1802016,0.1747649
2021,7,2,0.1788213,0.1735472
2021,7,3,0.178968,0.1732188
2021,8,1,0.1818626,0.174139
2021,8,2,0.1837676,0.1747569
2021,8,3,0.1846435,0.1751823
2021,9,1,0.1852,0.1752998
2021,9,2,0.1859397,0.1752166
2021,9,3,0.1859621,0.1755444
2021,10,1,0.1860708,0.1764676
2021,10,2,0.1853256,0.1777453
2021,10,3,0.1837041,0.1813222
2021,11,1,0.1834556,0.1841753
2021,11,2,0.1834748,0.187783
2021,11,3,0.187234,0.1987728
2021,12,1,0.1891181,0.2066587
2021,12,2,0.1927687,0.2155469
2021,12,3,0.1987912,0.2249116
2022,1,1,0.2125326,0.2438719
2022,1,2,0.2171712,0.2532132
2022,1,3,0.2310732,0.2725524
2022,2,1,0.2419778,0.2839828
2022,2,2,0.2561123,0.2967732
2022,2,3,0.2739361,0.3105934
2022,3,1,0.3139308,0.3383533
2022,3,2,0.32651,0.3489576
2022,3,3,N/A,0.355003
2022,4,1,N/A,0.3553612
2022,4,2,N/A,0.3362685
2022,4,3,N/A,0.3172419
2022,5,1,N/A,0.293768
2022,5,2,N/A,0.2679893
2022,5,3,N/A,0.2205556
2022,6,1,N/A,0.2028961
2022,6,2,N/A,0.1902671
2022,6,3,N/A,0.1819415
2022,7,1,N/A,0.1747649
2022,7,2,N/A,0.1735472
2022,7,3,N/A,0.1732188
2022,8,1,N/A,0.174139
2022,8,2,N/A,0.1747569
2022,8,3,N/A,0.1751823
2022,9,1,N/A,0.1752998
2022,9,2,N/A,0.1752166
2022,9,3,N/A,0.1755444
2022,10,1,N/A,0.1764676
2022,10,2,N/A,0.1777453
2022,10,3,N/A,0.1813222
2022,11,1,N/A,0.1841753
2022,11,2,N/A,0.187783
2022,11,3,N/A,0.1987728
2022,12,1,N/A,0.2066587
2022,12,2,N/A,0.2155469
2022,12,3,N/A,0.2249116