"Year","Month","Dekad","NDVI","Average"
2020,1,1,0.1470377,0.1285635
2020,1,2,0.14964,0.1295354
2020,1,3,0.1536394,0.1310113
2020,2,1,0.1557079,0.1318354
2020,2,2,0.1581115,0.1326708
2020,2,3,0.1618548,0.1337188
2020,3,1,0.1721341,0.1363676
2020,3,2,0.1785505,0.1376041
2020,3,3,0.1842205,0.1384118
2020,4,1,0.1875668,0.1385301
2020,4,2,0.183036,0.1366614
2020,4,3,0.1765403,0.1348281
2020,5,1,0.1699256,0.132568
2020,5,2,0.155459,0.1299721
2020,5,3,0.1450831,0.1244986
2020,6,1,0.1393026,0.1219907
2020,6,2,0.1350413,0.1199116
2020,6,3,0.1323453,0.1183087
2020,7,1,0.1297045,0.1165078
2020,7,2,0.1290184,0.1160161
2020,7,3,0.1284046,0.1156269
2020,8,1,0.1272437,0.1151157
2020,8,2,0.1268151,0.1149446
2020,8,3,0.1267161,0.1147825
2020,9,1,0.1265837,0.114587
2020,9,2,0.1267013,0.1141344
2020,9,3,0.1266302,0.1140742
2020,10,1,0.1266943,0.1142837
2020,10,2,0.1269719,0.1147715
2020,10,3,0.1300121,0.1167245
2020,11,1,0.1335201,0.1180494
2020,11,2,0.1384568,0.119373
2020,11,3,0.1488839,0.1222564
2020,12,1,0.1531001,0.1238015
2020,12,2,0.1563927,0.1251972
2020,12,3,0.1587458,0.1264534
2021,1,1,0.1610552,0.1285635
2021,1,2,0.161775,0.1295354
2021,1,3,0.1639508,0.1310113
2021,2,1,0.1654336,0.1318354
2021,2,2,0.166561,0.1326708
2021,2,3,0.1666495,0.1337188
2021,3,1,0.1655825,0.1363676
2021,3,2,0.1637203,0.1376041
2021,3,3,0.1605073,0.1384118
2021,4,1,0.1568068,0.1385301
2021,4,2,0.1491087,0.1366614
2021,4,3,0.1452272,0.1348281
2021,5,1,0.1411932,0.132568
2021,5,2,0.1368703,0.1299721
2021,5,3,0.1291237,0.1244986
2021,6,1,0.1264126,0.1219907
2021,6,2,0.1246075,0.1199116
2021,6,3,0.1233724,0.1183087
2021,7,1,0.1220234,0.1165078
2021,7,2,0.1217381,0.1160161
2021,7,3,0.1216461,0.1156269
2021,8,1,0.1217227,0.1151157
2021,8,2,0.1216376,0.1149446
2021,8,3,0.1214664,0.1147825
2021,9,1,0.1212297,0.114587
2021,9,2,0.1206588,0.1141344
2021,9,3,0.1205584,0.1140742
2021,10,1,0.1207763,0.1142837
2021,10,2,0.1212202,0.1147715
2021,10,3,0.1229346,0.1167245
2021,11,1,0.124012,0.1180494
2021,11,2,0.1247532,0.119373
2021,11,3,0.1259832,0.1222564
2021,12,1,0.1264927,0.1238015
2021,12,2,0.1268928,0.1251972
2021,12,3,0.1271945,0.1264534
2022,1,1,0.1276156,0.1285635
2022,1,2,0.1276555,0.1295354
2022,1,3,0.1264932,0.1310113
2022,2,1,0.1259401,0.1318354
2022,2,2,0.1252478,0.1326708
2022,2,3,0.1252699,0.1337188
2022,3,1,0.1264137,0.1363676
2022,3,2,0.1268764,0.1376041
2022,3,3,N/A,0.1384118
2022,4,1,N/A,0.1385301
2022,4,2,N/A,0.1366614
2022,4,3,N/A,0.1348281
2022,5,1,N/A,0.132568
2022,5,2,N/A,0.1299721
2022,5,3,N/A,0.1244986
2022,6,1,N/A,0.1219907
2022,6,2,N/A,0.1199116
2022,6,3,N/A,0.1183087
2022,7,1,N/A,0.1165078
2022,7,2,N/A,0.1160161
2022,7,3,N/A,0.1156269
2022,8,1,N/A,0.1151157
2022,8,2,N/A,0.1149446
2022,8,3,N/A,0.1147825
2022,9,1,N/A,0.114587
2022,9,2,N/A,0.1141344
2022,9,3,N/A,0.1140742
2022,10,1,N/A,0.1142837
2022,10,2,N/A,0.1147715
2022,10,3,N/A,0.1167245
2022,11,1,N/A,0.1180494
2022,11,2,N/A,0.119373
2022,11,3,N/A,0.1222564
2022,12,1,N/A,0.1238015
2022,12,2,N/A,0.1251972
2022,12,3,N/A,0.1264534