"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2020,1,1,130.334572490706,103.340143276445,10.936,16.486
2020,1,2,106.653334074033,97.8195068186679,7.246,13.967
2020,1,3,66.4119749040789,93.1705744782922,12.148,20.274
2020,2,1,61.6787693154834,91.8547401842084,6.45,13.873
2020,2,2,57.9414595294196,89.8018043122366,6.321,16.119
2020,2,3,55.0187311670331,86.6020008207044,4.252,9.124
2020,3,1,64.5783183411462,84.1292304628886,10.01,12.115
2020,3,2,103.419140688471,85.2340735347652,20.292,11.842
2020,3,3,115.17316252307,73.8759952317179,12.741,12.098
2020,4,1,117.749830047587,75.9170383173099,8.93,10.19
2020,4,2,94.1160962515579,78.9487571059638,7.598,9.436
2020,4,3,83.1710229534298,80.9961366697384,4.815,8.059
2020,5,1,87.5078769692423,87.4967799795827,6.749,5.83
2020,5,2,82.189796495195,93.531237581759,1.699,4.415
2020,5,3,95.8952372866967,99.6322939815345,4.143,3.313
2020,6,1,90.5454147994316,102.560954681663,0.726,0.57
2020,6,2,107.409798436267,89.896668698901,0.105,0.058
2020,6,3,102.359244289877,86.3960525808566,0.059,0.011
2020,7,1,100.943489919555,86.0932553007771,0,0
2020,7,2,100.479472580162,87.7232142857143,0,0
2020,7,3,100,97.04095549035,0,0
2020,8,1,100.0299970003,91.1149825783972,0.004,0.001
2020,8,2,100.029985007496,107.766712044136,0.004,0.004
2020,8,3,100.339321357285,102.673796791444,0.046,0.015
2020,9,1,99.9410956214412,100.897035881435,0.13,0.167
2020,9,2,98.5829184220605,99.0726577437858,0.12,0.262
2020,9,3,96.3287479190397,96.6325548849821,0.744,0.984
2020,10,1,86.1304407149679,86.2849444257326,1.761,3.412
2020,10,2,75.92180546726,75.7309184993532,1.826,4.48
2020,10,3,59.6142162818955,60.3118585473009,2.113,8.444
2020,11,1,98.8541417999523,93.6828657837105,19.189,10.588
2020,11,2,93.1277579049061,84.6174846174846,4.365,9.267
2020,11,3,99.4220776067214,80.8369109636694,7.39,11.327
2020,12,1,62.9138462955289,74.1285403050109,5.571,12.84
2020,12,2,67.2091890575534,73.0078310256677,10.157,15.109
2020,12,3,56.919551835958,66.6117939343749,3.585,13.55
2021,1,1,48.7460331852389,60.0717274357442,3.139,16.486
2021,1,2,115.752828546562,91.5420553060587,45.786,13.967
2021,1,3,159.838292686943,110.429659390741,38.14,20.274
2021,2,1,168.140207178993,96.5082337793449,3.787,13.873
2021,2,2,93.8522550028208,92.0888919850918,4.634,16.119
2021,2,3,40.495968727095,89.3350879427205,1.469,9.124
2021,3,1,55.1057899404536,92.941109538676,9.994,12.115
2021,3,2,75.2884102040343,95.7451765562432,10.972,11.842
2021,3,3,95.6855933123439,103.771210761012,13.102,12.098
2021,4,1,101.332426920462,114.603169704171,10.644,10.19
2021,4,2,97.0424695618829,87.5390778038074,6.744,9.436
2021,4,3,80.3449648401221,65.7794002977245,2.89,8.059
2021,5,1,66.4726181545386,69.6163643822808,2.518,5.83
2021,5,2,60.7546636517807,75.3106574015402,1.788,4.415
2021,5,3,71.4067408099159,81.5230589475131,2.516,3.313
2021,6,1,80.2328123292163,81.2522276345491,0.377,0.57
2021,6,2,92.8340865074241,79.1445856586784,0.049,0.058
2021,6,3,98.2705141460664,72.3854130526965,0.029,0.011
2021,7,1,100.089383255537,64.5471553295596,0,0
2021,7,2,100.179802217561,62.5217013888889,0,0
2021,7,3,100,71.4014133983552,0,0
2021,8,1,100.0399960004,80.3789198606272,0.005,0.001
2021,8,2,100.039980009995,92.9999283513649,0.004,0.004
2021,8,3,100.099800399202,98.3675766957501,0.021,0.015
2021,9,1,100.314156685647,100.438767550702,0.193,0.167
2021,9,2,100.220222137112,100.430210325048,0.253,0.262
2021,9,3,100.36800140191,100.454823755795,1.009,0.984
2021,10,1,89.3573475235366,89.7339171438195,1.836,3.412
2021,10,2,80.3030303030303,80.9003880983182,2.313,4.48
2021,10,3,68.9854191980559,70.7731643199251,4.019,8.444
2021,11,1,63.7294103604679,64.3263113984774,5.025,10.588
2021,11,2,66.2132170552756,65.0664650664651,6.315,9.267
2021,11,3,72.6870963042106,67.1242639697273,8.594,11.327
2021,12,1,79.1108348298568,68.1749622926094,9.452,12.84
2021,12,2,91.9920448088319,76.1668459589825,17.284,15.109
2021,12,3,81.933629779219,70.9948796671279,5.459,13.55
2022,1,1,74.1953032913229,68.3667734251635,8.172,16.486
2022,1,2,66.9907227376257,71.4487818519798,12.546,13.967
2022,1,3,78.9335880250959,75.0052470616455,17.216,20.274
2022,2,1,76.8059331658465,73.0915262668901,4.873,13.873
2022,2,2,57.9049547008264,67.1594273572747,2.808,16.119
2022,2,3,51.0872220864891,67.3692179253159,7.411,9.124
2022,3,1,96.8030744541577,79.2180177361201,25.625,12.115
2022,3,2,134.314430955642,79.314160902803,14.828,11.842
2022,3,3,133.800890239931,84.3632724543407,11.169,12.098