"Year","Month","Dekad","NDVI Anomaly"
2020,1,1,119.088805847237
2020,1,2,119.134933239036
2020,1,3,117.912414949112
2020,2,1,116.708341162847
2020,2,2,115.471342124425
2020,2,3,114.273387899161
2020,3,1,113.030509449528
2020,3,2,113.664642551131
2020,3,3,115.503003271314
2020,4,1,118.3284402792
2020,4,2,124.012307275774
2020,4,3,125.416600152912
2020,5,1,125.762196527625
2020,5,2,122.659639920701
2020,5,3,114.4963555564
2020,6,1,110.902452355905
2020,6,2,109.314022772706
2020,6,3,109.50742925089
2020,7,1,114.469343271821
2020,7,2,115.916054639177
2020,7,3,116.154941248964
2020,8,1,115.071267922598
2020,8,2,114.146463190318
2020,8,3,113.073394390962
2020,9,1,111.365732622018
2020,9,2,107.678130191723
2020,9,3,105.306487706856
2020,10,1,102.606071524379
2020,10,2,99.7693999114508
2020,10,3,95.0775702074274
2020,11,1,93.7246917128043
2020,11,2,93.1117608653845
2020,11,3,94.777552343334
2020,12,1,97.2476298177897
2020,12,2,100.568543795694
2020,12,3,104.065032687886
2021,1,1,108.548830129349
2021,1,2,109.030111105147
2021,1,3,108.906744669395
2021,2,1,108.697679908664
2021,2,2,108.282192031742
2021,2,3,107.712957635642
2021,3,1,106.297957206542
2021,3,2,105.538493896609
2021,3,3,105.022050992473
2021,4,1,104.871406321323
2021,4,2,105.665082157834
2021,4,3,105.898229753913
2021,5,1,105.246956788535
2021,5,2,103.481553756057
2021,5,3,96.8856896880819
2021,6,1,93.8665833171999
2021,6,2,91.9255336699437
2021,6,3,91.403500292549
2021,7,1,94.9133031548723
2021,7,2,96.0897038845311
2021,7,3,97.0003860074085
2021,8,1,98.530850059123
2021,8,2,100.041285893637
2021,8,3,101.486577628972
2021,9,1,102.467994867999
2021,9,2,103.376315451773
2021,9,3,102.706945035723
2021,10,1,101.250248791053
2021,10,2,99.3397500530179
2021,10,3,92.3935925856012
2021,11,1,88.4684053811751
2021,11,2,85.1871745529333
2021,11,3,84.7893445237705
2021,12,1,88.1484925300748
2021,12,2,92.5917526032651
2021,12,3,96.9108553221244
2022,1,1,101.637512990065
2022,1,2,101.964783551765
2022,1,3,99.9984455019441
2022,2,1,98.8650879200718
2022,2,2,98.1825235172215
2022,2,3,97.8759999269623
2022,3,1,98.0910212453547
2022,3,2,98.3230420097108
2022,3,3,98.7106939967136
2022,4,1,99.530558683813
2022,4,2,N/A,
2022,4,3,N/A,
2022,5,1,N/A,
2022,5,2,N/A,
2022,5,3,N/A,
2022,6,1,N/A,
2022,6,2,N/A,
2022,6,3,N/A,
2022,7,1,N/A,
2022,7,2,N/A,
2022,7,3,N/A,
2022,8,1,N/A,
2022,8,2,N/A,
2022,8,3,N/A,
2022,9,1,N/A,
2022,9,2,N/A,
2022,9,3,N/A,
2022,10,1,N/A,
2022,10,2,N/A,
2022,10,3,N/A,
2022,11,1,N/A,
2022,11,2,N/A,
2022,11,3,N/A,
2022,12,1,N/A,
2022,12,2,N/A,
2022,12,3,N/A,