"Year","Month","Dekad","NDVI","Average"
2021,1,1,0.1594908,0.1243523
2021,1,2,0.1572954,0.1229111
2021,1,3,0.1509732,0.1201765
2021,2,1,0.1486261,0.1190082
2021,2,2,0.1474663,0.1180647
2021,2,3,0.1467663,0.1173873
2021,3,1,0.1416278,0.1165951
2021,3,2,0.138985,0.1170078
2021,3,3,0.1364618,0.118165
2021,4,1,0.1346703,0.1201092
2021,4,2,0.1363461,0.125433
2021,4,3,0.1452121,0.1288493
2021,5,1,0.1602033,0.1322114
2021,5,2,0.176801,0.1348392
2021,5,3,0.1888542,0.1351451
2021,6,1,0.1832507,0.1326549
2021,6,2,0.174981,0.1292301
2021,6,3,0.1661866,0.1257918
2021,7,1,0.1547085,0.1191817
2021,7,2,0.1567415,0.1195239
2021,7,3,0.1679464,0.1219052
2021,8,1,0.212767,0.1342546
2021,8,2,0.2344216,0.1429637
2021,8,3,0.2410114,0.150899
2021,9,1,0.2375216,0.1562807
2021,9,2,0.2211314,0.1556098
2021,9,3,0.2127297,0.1513033
2021,10,1,0.2065958,0.1463288
2021,10,2,0.202284,0.1418631
2021,10,3,0.1938971,0.1357931
2021,11,1,0.1884235,0.1340765
2021,11,2,0.1819614,0.1325614
2021,11,3,0.171015,0.1302908
2021,12,1,0.1672049,0.1292905
2021,12,2,0.1634317,0.1280418
2021,12,3,0.1606637,0.1269363
2022,1,1,0.155582,0.1243523
2022,1,2,0.1538177,0.1229111
2022,1,3,0.1495817,0.1201765
2022,2,1,0.1459448,0.1190082
2022,2,2,0.1419108,0.1180647
2022,2,3,0.1384386,0.1173873
2022,3,1,0.1357114,0.1165951
2022,3,2,0.1359147,0.1170078
2022,3,3,0.1363203,0.118165
2022,4,1,0.1351444,0.1201092
2022,4,2,N/A,0.125433
2022,4,3,N/A,0.1288493
2022,5,1,N/A,0.1322114
2022,5,2,N/A,0.1348392
2022,5,3,N/A,0.1351451
2022,6,1,N/A,0.1326549
2022,6,2,N/A,0.1292301
2022,6,3,N/A,0.1257918
2022,7,1,N/A,0.1191817
2022,7,2,N/A,0.1195239
2022,7,3,N/A,0.1219052
2022,8,1,N/A,0.1342546
2022,8,2,N/A,0.1429637
2022,8,3,N/A,0.150899
2022,9,1,N/A,0.1562807
2022,9,2,N/A,0.1556098
2022,9,3,N/A,0.1513033
2022,10,1,N/A,0.1463288
2022,10,2,N/A,0.1418631
2022,10,3,N/A,0.1357931
2022,11,1,N/A,0.1340765
2022,11,2,N/A,0.1325614
2022,11,3,N/A,0.1302908
2022,12,1,N/A,0.1292905
2022,12,2,N/A,0.1280418
2022,12,3,N/A,0.1269363