"Year","Month","Dekad","NDVI","Average"
2019,1,1,0.1512,0.1419071
2019,1,2,0.1473571,0.1401214
2019,1,3,0.1424571,0.1374643
2019,2,1,0.1409357,0.1366429
2019,2,2,0.1395429,0.1361143
2019,2,3,0.1387214,0.1358143
2019,3,1,0.13875,0.1361286
2019,3,2,0.1386571,0.1370643
2019,3,3,0.1388214,0.1385214
2019,4,1,0.1395929,0.1405929
2019,4,2,0.1445143,0.1467643
2019,4,3,0.1495571,0.1507357
2019,5,1,0.1561071,0.1546429
2019,5,2,0.1642857,0.1575214
2019,5,3,0.1798929,0.1582643
2019,6,1,0.1829357,0.1565786
2019,6,2,0.18195,0.15415
2019,6,3,0.1772429,0.1518214
2019,7,1,0.1652714,0.1480857
2019,7,2,0.1615714,0.1493429
2019,7,3,0.1659286,0.1524286
2019,8,1,0.1940357,0.1638929
2019,8,2,0.2105286,0.1707429
2019,8,3,0.2192786,0.1758857
2019,9,1,0.2189072,0.1782643
2019,9,2,0.1975643,0.1740214
2019,9,3,0.1875571,0.1696857
2019,10,1,0.1800357,0.16535
2019,10,2,0.1729429,0.1615714
2019,10,3,0.1624214,0.1563786
2019,11,1,0.1591,0.1547071
2019,11,2,0.1563214,0.1532429
2019,11,3,0.1531357,0.1505786
2019,12,1,0.1523071,0.1491143
2019,12,2,0.1509071,0.1473643
2019,12,3,0.1496857,0.1456143
2020,1,1,N/A,0.1419071
2020,1,2,0.1440929,0.1401214
2020,1,3,0.1407357,0.1374643
2020,2,1,0.1400429,0.1366429
2020,2,2,0.13975,0.1361143
2020,2,3,0.1379429,0.1358143
2020,3,1,0.1317286,0.1361286
2020,3,2,0.1306143,0.1370643
2020,3,3,0.1317,0.1385214
2020,4,1,0.1359,0.1405929
2020,4,2,0.1518071,0.1467643
2020,4,3,0.1652214,0.1507357
2020,5,1,0.1815929,0.1546429
2020,5,2,0.1981357,0.1575214
2020,5,3,0.2195643,0.1582643
2020,6,1,0.2224643,0.1565786
2020,6,2,0.2178143,0.15415
2020,6,3,0.2081214,0.1518214
2020,7,1,0.19465,0.1480857
2020,7,2,0.2039857,0.1493429
2020,7,3,0.2224286,0.1524286
2020,8,1,0.26945,0.1638929
2020,8,2,0.2845357,0.1707429
2020,8,3,0.29215,0.1758857
2020,9,1,0.2913,0.1782643
2020,9,2,0.2689572,0.1740214
2020,9,3,0.2479357,0.1696857
2020,10,1,0.2277643,0.16535
2020,10,2,0.2114143,0.1615714
2020,10,3,0.1909214,0.1563786
2020,11,1,0.1832429,0.1547071
2020,11,2,0.1778143,0.1532429
2020,11,3,0.1720929,0.1505786
2020,12,1,0.1708714,0.1491143
2020,12,2,0.1685643,0.1473643
2020,12,3,0.1657786,0.1456143
2021,1,1,0.1600357,0.1419071
2021,1,2,0.1580857,0.1401214
2021,1,3,0.1539357,0.1374643
2021,2,1,0.1523214,0.1366429
2021,2,2,N/A,0.1361143
2021,2,3,N/A,0.1358143
2021,3,1,N/A,0.1361286
2021,3,2,N/A,0.1370643
2021,3,3,N/A,0.1385214
2021,4,1,N/A,0.1405929
2021,4,2,N/A,0.1467643
2021,4,3,N/A,0.1507357
2021,5,1,N/A,0.1546429
2021,5,2,N/A,0.1575214
2021,5,3,N/A,0.1582643
2021,6,1,N/A,0.1565786
2021,6,2,N/A,0.15415
2021,6,3,N/A,0.1518214
2021,7,1,N/A,0.1480857
2021,7,2,N/A,0.1493429
2021,7,3,N/A,0.1524286
2021,8,1,N/A,0.1638929
2021,8,2,N/A,0.1707429
2021,8,3,N/A,0.1758857
2021,9,1,N/A,0.1782643
2021,9,2,N/A,0.1740214
2021,9,3,N/A,0.1696857
2021,10,1,N/A,0.16535
2021,10,2,N/A,0.1615714
2021,10,3,N/A,0.1563786
2021,11,1,N/A,0.1547071
2021,11,2,N/A,0.1532429
2021,11,3,N/A,0.1505786
2021,12,1,N/A,0.1491143
2021,12,2,N/A,0.1473643
2021,12,3,N/A,0.1456143