"Year","Month","Dekad","NDVI","Average"
2017,1,1,0.1510519,0.145732
2017,1,1,0.1512947,0.145732
2018,1,1,0.1444203,0.145732
2018,1,1,0.1589523,0.145732
2018,1,2,0.1481331,0.144247
2017,1,2,0.1568838,0.144247
2019,1,2,0.1619639,0.144247
2019,1,3,0.153185,0.1409218
2017,1,3,0.1520143,0.1409218
2018,1,3,0.1442436,0.1409218
2018,2,1,0.1420233,0.1390432
2017,2,1,0.1496613,0.1390432
2019,2,1,0.1486519,0.1390432
2019,2,2,0.1447218,0.1370481
2017,2,2,0.1482034,0.1370481
2018,2,2,0.1407714,0.1370481
2018,2,3,0.1400714,0.1350624
2017,2,3,0.1477038,0.1350624
2019,2,3,0.1412023,0.1350624
2019,3,1,0.1372218,0.1318485
2017,3,1,0.1470135,0.1318485
2018,3,1,0.1390301,0.1318485
2018,3,2,0.1390617,0.1313861
2017,3,2,0.1468237,0.1313861
2019,3,2,0.1358086,0.1313861
2019,3,3,0.1348553,0.1319872
2017,3,3,0.1466816,0.1319872
2018,3,3,0.1401056,0.1319872
2018,4,1,0.1425406,0.1340346
2017,4,1,0.1466955,0.1340346
2019,4,1,0.134997,0.1340346
2019,4,2,0.1401985,0.1421086
2017,4,2,0.1479703,0.1421086
2018,4,2,0.1533124,0.1421086
2018,4,3,0.1617534,0.147256
2017,4,3,0.1504511,0.147256
2019,4,3,0.1458571,0.147256
2019,5,1,0.1533917,0.1518316
2017,5,1,0.1557098,0.1518316
2018,5,1,0.1693293,0.1518316
2018,5,2,0.1726346,0.155535
2017,5,2,0.1633571,0.155535
2019,5,2,0.1621602,0.155535
2019,5,3,0.1788444,0.1587128
2017,5,3,0.1768526,0.1587128
2018,5,3,0.1702838,0.1587128
2018,6,1,0.1667647,0.1580466
2017,6,1,0.1770617,0.1580466
2019,6,1,0.1839992,0.1580466
2019,6,2,0.1863342,0.1563079
2017,6,2,0.1743398,0.1563079
2018,6,2,0.1629756,0.1563079
2018,6,3,0.1593801,0.1541436
2017,6,3,0.1702831,0.1541436
2019,6,3,0.1860282,0.1541436
2019,7,1,0.180532,0.1495609
2019,7,1,0.1799481,0.1495609
2017,7,1,0.161203,0.1495609
2018,7,1,0.1548564,0.1495609
2018,7,2,0.1551774,0.1503906
2017,7,2,0.1581805,0.1503906
2019,7,2,0.1781038,0.1503906
2019,7,3,0.1781361,0.1533707
2017,7,3,0.1585421,0.1533707
2018,7,3,0.159115,0.1533707
2018,8,1,0.1743297,0.1648951
2017,8,1,0.1720135,0.1648951
2019,8,1,0.1891049,0.1648951
2019,8,2,0.1982485,0.1718365
2017,8,2,0.1825688,0.1718365
2018,8,2,0.1827586,0.1718365
2018,8,3,0.189159,0.1777966
2017,8,3,0.1923387,0.1777966
2019,8,3,0.2061094,0.1777966
2019,9,1,0.2103241,0.1811692
2017,9,1,0.1987015,0.1811692
2018,9,1,0.1920876,0.1811692
2018,9,2,0.1863425,0.1781714
2017,9,2,0.1956429,0.1781714
2019,9,2,0.2059274,0.1781714
2019,9,3,0.200982,0.1733586
2017,9,3,0.1882402,0.1733586
2018,9,3,0.1789447,0.1733586
2018,10,1,0.1721729,0.1679383
2017,10,1,0.1799447,0.1679383
2019,10,1,0.1958466,0.1679383
2019,10,2,0.1908778,0.1629714
2017,10,2,0.1726906,0.1629714
2018,10,2,0.1680417,0.1629714
2018,10,3,0.170635,0.1560376
2017,10,3,0.163641,0.1560376
2019,10,3,0.1821571,0.1560376
2019,11,1,0.1784274,0.1540617
2017,11,1,0.1615203,0.1540617
2018,11,1,0.1753955,0.1540617
2018,11,2,0.1802124,0.1526523
2017,11,2,0.1594241,0.1526523
2019,11,2,0.1752489,0.1526523
2019,11,3,0.1721124,0.1509199
2017,11,3,0.1556256,0.1509199
2018,11,3,0.1819372,0.1509199
2018,12,1,0.1791665,0.1501898
2017,12,1,0.1538658,0.1501898
2019,12,1,0.1714617,0.1501898
2019,12,2,0.1703278,0.1491688
2017,12,2,0.1519489,0.1491688
2018,12,2,0.1759079,0.1491688
2018,12,3,0.1724447,0.148182
2017,12,3,0.1505654,0.148182
2019,12,3,0.1689632,0.148182