"Year","Month","Dekad","NDVI","Average"
2020,1,1,0.1340072,0.1320364
2020,1,2,0.1336375,0.1318453
2020,1,3,0.1328739,0.1313489
2020,2,1,0.1324381,0.1310673
2020,2,2,0.1318816,0.1307754
2020,2,3,0.131254,0.1304925
2020,3,1,0.1301775,0.1299934
2020,3,2,0.129914,0.1298074
2020,3,3,0.1300783,0.1296627
2020,4,1,0.1304665,0.1295483
2020,4,2,0.1318564,0.1293459
2020,4,3,0.1325943,0.1292367
2020,5,1,0.1332473,0.1291067
2020,5,2,0.1314021,0.1289351
2020,5,3,0.1344489,0.1284385
2020,6,1,0.1347817,0.1281074
2020,6,2,0.1350505,0.1277351
2020,6,3,0.1352654,0.1273347
2020,7,1,0.1355931,0.1264903
2020,7,2,0.1358532,0.1263453
2020,7,3,0.1361619,0.1263517
2020,8,1,0.1367334,0.1268336
2020,8,2,0.1368555,0.1272902
2020,8,3,0.1369195,0.1278422
2020,9,1,0.1369399,0.1284492
2020,9,2,0.1371619,0.129639
2020,9,3,0.1373433,0.1301522
2020,10,1,0.13765,0.1306025
2020,10,2,0.1378845,0.1309868
2020,10,3,0.1382821,0.1315992
2020,11,1,0.1383616,0.1318278
2020,11,2,0.1382751,0.131997
2020,11,3,0.1379985,0.1322184
2020,12,1,0.1378135,0.1322764
2020,12,2,0.1376145,0.1322886
2020,12,3,0.1374192,0.132261
2021,1,1,0.136953,0.1320364
2021,1,2,0.1366954,0.1318453
2021,1,3,0.1359233,0.1313489
2021,2,1,0.1354475,0.1310673
2021,2,2,0.1349989,0.1307754
2021,2,3,0.1345563,0.1304925
2021,3,1,0.1334894,0.1299934
2021,3,2,0.1329747,0.1298074
2021,3,3,0.1325338,0.1296627
2021,4,1,0.1322058,0.1295483
2021,4,2,0.1321279,0.1293459
2021,4,3,0.1324558,0.1292367
2021,5,1,0.1330044,0.1291067
2021,5,2,0.1336304,0.1289351
2021,5,3,0.1342923,0.1284385
2021,6,1,0.1341236,0.1281074
2021,6,2,0.1337022,0.1277351
2021,6,3,0.1331272,0.1273347
2021,7,1,0.1323385,0.1264903
2021,7,2,0.1323829,0.1263453
2021,7,3,0.1327788,0.1263517
2021,8,1,0.1339255,0.1268336
2021,8,2,0.1344607,0.1272902
2021,8,3,0.134934,0.1278422
2021,9,1,0.1353075,0.1284492
2021,9,2,0.1360272,0.129639
2021,9,3,0.1363883,0.1301522
2021,10,1,0.1367215,0.1306025
2021,10,2,0.1370969,0.1309868
2021,10,3,0.1374954,0.1315992
2021,11,1,0.1375627,0.1318278
2021,11,2,0.137538,0.131997
2021,11,3,0.1372794,0.1322184
2021,12,1,0.1370975,0.1322764
2021,12,2,0.1368994,0.1322886
2021,12,3,0.136622,0.132261
2022,1,1,0.1359189,0.1320364
2022,1,2,0.1354777,0.1318453
2022,1,3,0.1344816,0.1313489
2022,2,1,0.1339642,0.1310673
2022,2,2,0.1334761,0.1307754
2022,2,3,0.1330488,0.1304925
2022,3,1,0.1325071,0.1299934
2022,3,2,0.1324186,0.1298074
2022,3,3,0.132399,0.1296627
2022,4,1,0.132359,0.1295483
2022,4,2,N/A,0.1293459
2022,4,3,N/A,0.1292367
2022,5,1,N/A,0.1291067
2022,5,2,N/A,0.1289351
2022,5,3,N/A,0.1284385
2022,6,1,N/A,0.1281074
2022,6,2,N/A,0.1277351
2022,6,3,N/A,0.1273347
2022,7,1,N/A,0.1264903
2022,7,2,N/A,0.1263453
2022,7,3,N/A,0.1263517
2022,8,1,N/A,0.1268336
2022,8,2,N/A,0.1272902
2022,8,3,N/A,0.1278422
2022,9,1,N/A,0.1284492
2022,9,2,N/A,0.129639
2022,9,3,N/A,0.1301522
2022,10,1,N/A,0.1306025
2022,10,2,N/A,0.1309868
2022,10,3,N/A,0.1315992
2022,11,1,N/A,0.1318278
2022,11,2,N/A,0.131997
2022,11,3,N/A,0.1322184
2022,12,1,N/A,0.1322764
2022,12,2,N/A,0.1322886
2022,12,3,N/A,0.132261