"Year","Month","Dekad","NDVI","Average"
2016,1,1,0.1078843,0.1209048
2017,1,1,0.1231145,0.1209048
2017,1,1,0.1362286,0.1209048
2018,1,1,0.1229893,0.1209048
2018,1,1,0.1173979,0.1209048
2018,1,2,0.112999,0.1196086
2017,1,2,0.1159962,0.1196086
2016,1,2,0.1213952,0.1196086
2016,1,3,0.1188374,0.1168717
2017,1,3,0.1124517,0.1168717
2018,1,3,0.1089902,0.1168717
2018,2,1,0.1071112,0.115165
2017,2,1,0.110885,0.115165
2016,2,1,0.117055,0.115165
2016,2,2,0.115499,0.1132886
2017,2,2,0.1097693,0.1132886
2018,2,2,0.1055026,0.1132886
2018,2,3,0.103909,0.11134
2017,2,3,0.1087295,0.11134
2016,2,3,0.1141595,0.11134
2016,3,1,0.1100607,0.1075598
2017,3,1,0.1050176,0.1075598
2018,3,1,0.1003498,0.1075598
2018,3,2,0.0996314,0.1061248
2017,3,2,0.103475,0.1061248
2016,3,2,0.1070555,0.1061248
2016,3,3,0.1044845,0.1051143
2017,3,3,0.1025148,0.1051143
2018,3,3,0.0998912,0.1051143
2018,4,1,0.1002938,0.1046224
2017,4,1,0.102091,0.1046224
2016,4,1,0.1034343,0.1046224
2016,4,2,0.1087157,0.1047993
2017,4,2,0.1006317,0.1047993
2018,4,2,0.1014788,0.1047993
2018,4,3,0.1023321,0.1055317
2017,4,3,0.1002255,0.1055317
2016,4,3,0.1143041,0.1055317
2016,5,1,0.1197874,0.1063962
2017,5,1,0.1010095,0.1063962
2018,5,1,0.1034405,0.1063962
2018,5,2,0.1046957,0.107291
2017,5,2,0.1033376,0.107291
2016,5,2,0.1243133,0.107291
2016,5,3,0.1259719,0.108124
2017,5,3,0.1103705,0.108124
2018,5,3,0.1075843,0.108124
2018,6,1,0.1088205,0.1078143
2017,6,1,0.1129233,0.1078143
2016,6,1,0.1234786,0.1078143
2016,6,2,0.1193631,0.1070702
2017,6,2,0.1135281,0.1070702
2018,6,2,0.1099979,0.1070702
2018,6,3,0.1107279,0.1060438
2017,6,3,0.1127721,0.1060438
2016,6,3,0.1146629,0.1060438
2016,7,1,0.1083402,0.1042698
2017,7,1,0.1091229,0.1042698
2018,7,1,0.1110829,0.1042698
2018,7,2,0.1107855,0.104335
2017,7,2,0.1077162,0.104335
2016,7,2,0.1089514,0.104335
2016,7,3,0.1122257,0.1052864
2017,7,3,0.1068588,0.1052864
2018,7,3,0.1107836,0.1052864
2018,8,1,0.1130755,0.1100555
2017,8,1,0.1097959,0.1100555
2016,8,1,0.1236771,0.1100555
2016,8,2,0.12863,0.1137024
2017,8,2,0.1131621,0.1137024
2018,8,2,0.1152141,0.1137024
2018,8,3,0.1176952,0.1179874
2017,8,3,0.1176083,0.1179874
2016,8,3,0.1322683,0.1179874
2016,9,1,0.134949,0.1224429
2017,9,1,0.1232324,0.1224429
2018,9,1,0.1200198,0.1224429
2018,9,2,0.1243891,0.1302121
2017,9,2,0.1348843,0.1302121
2016,9,2,0.1375876,0.1302121
2016,9,3,0.1377805,0.1325952
2017,9,3,0.1375886,0.1325952
2018,9,3,0.1261521,0.1325952
2018,10,1,0.1272645,0.1339345
2017,10,1,0.1375714,0.1339345
2016,10,1,0.1374391,0.1339345
2016,10,2,0.1363895,0.1340757
2017,10,2,0.1357567,0.1340757
2018,10,2,0.1275321,0.1340757
2018,10,3,0.1280524,0.1319719
2017,10,3,0.1307857,0.1319719
2016,10,3,0.1330712,0.1319719
2016,11,1,0.1310562,0.1304709
2017,11,1,0.1284333,0.1304709
2018,11,1,0.1281129,0.1304709
2018,11,2,0.1276719,0.1290014
2017,11,2,0.1257714,0.1290014
2016,11,2,0.1290076,0.1290014
2016,11,3,0.1252464,0.1266783
2017,11,3,0.12105,0.1266783
2018,11,3,0.1256776,0.1266783
2018,12,1,0.1243993,0.1257502
2017,12,1,0.1193926,0.1257502
2016,12,1,0.1236002,0.1257502
2016,12,2,0.1219893,0.1247664
2017,12,2,0.1179479,0.1247664
2018,12,2,0.1229419,0.1247664
2018,12,3,0.1213776,0.123695
2017,12,3,0.1169071,0.123695
2016,12,3,0.120431,0.123695