"Year","Month","Dekad","NDVI","Average"
2020,1,1,0.3558413,0.2453651
2020,1,2,0.3420238,0.2398079
2020,1,3,0.3186079,0.2272603
2020,2,1,0.3106048,0.2207063
2020,2,2,0.3027683,0.213719
2020,2,3,0.2899921,0.2066238
2020,3,1,0.2634063,0.1964397
2020,3,2,0.2595095,0.1962222
2020,3,3,0.267946,0.2007873
2020,4,1,0.283827,0.2106825
2020,4,2,0.3402619,0.2431079
2020,4,3,0.374454,0.2630905
2020,5,1,0.4074095,0.2821095
2020,5,2,0.4323683,0.2986762
2020,5,3,0.4372841,0.3138714
2020,6,1,0.4370952,0.3102921
2020,6,2,0.4350889,0.3018
2020,6,3,0.4272397,0.2926492
2020,7,1,0.4010937,0.2766
2020,7,2,0.4011079,0.2797873
2020,7,3,0.4140793,0.2911222
2020,8,1,0.4669365,0.3328302
2020,8,2,0.4897476,0.3573143
2020,8,3,0.5031778,0.3773572
2020,9,1,0.5092587,0.3883254
2020,9,2,0.4965635,0.3803794
2020,9,3,0.4762762,0.3650794
2020,10,1,0.4488762,0.3473746
2020,10,2,0.4212889,0.330519
2020,10,3,0.3664175,0.3032032
2020,11,1,0.340946,0.2921143
2020,11,2,0.322854,0.2829889
2020,11,3,0.3132968,0.2698238
2020,12,1,0.3207905,0.2651746
2020,12,2,0.3266381,0.260773
2020,12,3,0.3293444,0.2559841
2021,1,1,0.324681,0.2453651
2021,1,2,0.3144428,0.2398079
2021,1,3,0.2953508,0.2272603
2021,2,1,0.2866333,0.2207063
2021,2,2,0.2859079,0.213719
2021,2,3,0.2916413,0.2066238
2021,3,1,0.2858428,0.1964397
2021,3,2,0.2724778,0.1962222
2021,3,3,0.2544079,0.2007873
2021,4,1,0.2377016,0.2106825
2021,4,2,0.2405063,0.2431079
2021,4,3,0.2727016,0.2630905
2021,5,1,0.3224444,0.2821095
2021,5,2,0.371719,0.2986762
2021,5,3,0.3913857,0.3138714
2021,6,1,0.3718587,0.3102921
2021,6,2,0.348646,0.3018
2021,6,3,0.3315175,0.2926492
2021,7,1,0.3180746,0.2766
2021,7,2,0.3271524,0.2797873
2021,7,3,0.3562683,0.2911222
2021,8,1,0.4406778,0.3328302
2021,8,2,0.4593302,0.3573143
2021,8,3,0.4579444,0.3773572
2021,9,1,0.4449317,0.3883254
2021,9,2,0.4258032,0.3803794
2021,9,3,0.4264683,0.3650794
2021,10,1,0.4287317,0.3473746
2021,10,2,0.4294635,0.330519
2021,10,3,0.4065984,0.3032032
2021,11,1,0.3844635,0.2921143
2021,11,2,0.3563794,0.2829889
2021,11,3,0.3151937,0.2698238
2021,12,1,0.3059349,0.2651746
2021,12,2,0.2951032,0.260773
2021,12,3,0.2838619,0.2559841
2022,1,1,0.262154,0.2453651
2022,1,2,0.2534413,0.2398079
2022,1,3,0.2421937,0.2272603
2022,2,1,0.236554,0.2207063
2022,2,2,0.2293095,0.213719
2022,2,3,0.2226159,0.2066238
2022,3,1,0.2138905,0.1964397
2022,3,2,0.2131921,0.1962222
2022,3,3,0.217773,0.2007873
2022,4,1,0.2239937,0.2106825
2022,4,2,N/A,0.2431079
2022,4,3,N/A,0.2630905
2022,5,1,N/A,0.2821095
2022,5,2,N/A,0.2986762
2022,5,3,N/A,0.3138714
2022,6,1,N/A,0.3102921
2022,6,2,N/A,0.3018
2022,6,3,N/A,0.2926492
2022,7,1,N/A,0.2766
2022,7,2,N/A,0.2797873
2022,7,3,N/A,0.2911222
2022,8,1,N/A,0.3328302
2022,8,2,N/A,0.3573143
2022,8,3,N/A,0.3773572
2022,9,1,N/A,0.3883254
2022,9,2,N/A,0.3803794
2022,9,3,N/A,0.3650794
2022,10,1,N/A,0.3473746
2022,10,2,N/A,0.330519
2022,10,3,N/A,0.3032032
2022,11,1,N/A,0.2921143
2022,11,2,N/A,0.2829889
2022,11,3,N/A,0.2698238
2022,12,1,N/A,0.2651746
2022,12,2,N/A,0.260773
2022,12,3,N/A,0.2559841