"Year","Month","Dekad","NDVI","Average"
2021,1,1,0.1621059,0.1332957
2021,1,2,0.159845,0.1323073
2021,1,3,0.1544474,0.1301813
2021,2,1,0.1525194,0.1288694
2021,2,2,0.1518339,0.1273841
2021,2,3,0.1515173,0.1257708
2021,3,1,0.1480682,0.1226208
2021,3,2,0.1450578,0.1217505
2021,3,3,0.1414099,0.1215633
2021,4,1,0.1380121,0.1222872
2021,4,2,0.1372884,0.1265789
2021,4,3,0.1427225,0.1298919
2021,5,1,0.1514052,0.1332379
2021,5,2,0.160445,0.136214
2021,5,3,0.1659583,0.1392163
2021,6,1,0.1616884,0.1389652
2021,6,2,0.1560917,0.1375848
2021,6,3,0.1513097,0.135586
2021,7,1,0.1473092,0.1301159
2021,7,2,0.1499204,0.1293294
2021,7,3,0.1572595,0.1301
2021,8,1,0.179422,0.1361107
2021,8,2,0.1882685,0.1401827
2021,8,3,0.1912666,0.1436457
2021,9,1,0.1888901,0.1457419
2021,9,2,0.1782419,0.1447306
2021,9,3,0.1742012,0.1424583
2021,10,1,0.1713197,0.1398725
2021,10,2,0.1684377,0.1375019
2021,10,3,0.1624379,0.1346128
2021,11,1,0.1602242,0.134081
2021,11,2,0.1586374,0.1339474
2021,11,3,0.1561216,0.1345751
2021,12,1,0.1545685,0.1348687
2021,12,2,0.1524472,0.134868
2021,12,3,0.1505472,0.1346576
2022,1,1,0.1485533,0.1332957
2022,1,2,0.1484673,0.1323073
2022,1,3,0.1451898,0.1301813
2022,2,1,0.1423649,0.1288694
2022,2,2,0.1393616,0.1273841
2022,2,3,0.136868,0.1257708
2022,3,1,0.133255,0.1226208
2022,3,2,0.1316476,0.1217505
2022,3,3,0.1300431,0.1215633
2022,4,1,0.1291272,0.1222872
2022,4,2,N/A,0.1265789
2022,4,3,N/A,0.1298919
2022,5,1,N/A,0.1332379
2022,5,2,N/A,0.136214
2022,5,3,N/A,0.1392163
2022,6,1,N/A,0.1389652
2022,6,2,N/A,0.1375848
2022,6,3,N/A,0.135586
2022,7,1,N/A,0.1301159
2022,7,2,N/A,0.1293294
2022,7,3,N/A,0.1301
2022,8,1,N/A,0.1361107
2022,8,2,N/A,0.1401827
2022,8,3,N/A,0.1436457
2022,9,1,N/A,0.1457419
2022,9,2,N/A,0.1447306
2022,9,3,N/A,0.1424583
2022,10,1,N/A,0.1398725
2022,10,2,N/A,0.1375019
2022,10,3,N/A,0.1346128
2022,11,1,N/A,0.134081
2022,11,2,N/A,0.1339474
2022,11,3,N/A,0.1345751
2022,12,1,N/A,0.1348687
2022,12,2,N/A,0.134868
2022,12,3,N/A,0.1346576