"Year","Month","Dekad","NDVI","Average"
2017,1,1,0.1561637,0.1427585
2017,1,1,0.1476127,0.1427585
2018,1,1,0.140844,0.1427585
2018,1,1,0.156792,0.1427585
2018,1,2,0.1411206,0.1407505
2017,1,2,0.1539784,0.1407505
2019,1,2,0.1604144,0.1407505
2019,1,3,0.1500264,0.1365702
2017,1,3,0.1473433,0.1365702
2018,1,3,0.1374445,0.1365702
2018,2,1,0.1357838,0.1344764
2017,2,1,0.1447251,0.1344764
2019,2,1,0.1452502,0.1344764
2019,2,2,0.141408,0.1324604
2017,2,2,0.143157,0.1324604
2018,2,2,0.1352363,0.1324604
2018,2,3,0.1347901,0.1306082
2017,2,3,0.143096,0.1306082
2019,2,3,0.1383587,0.1306082
2019,3,1,0.135744,0.1279067
2017,3,1,0.1434784,0.1279067
2018,3,1,0.1312507,0.1279067
2018,3,2,0.129842,0.1279599
2017,3,2,0.1431975,0.1279599
2019,3,2,0.1350249,0.1279599
2019,3,3,0.1348082,0.129406
2017,3,3,0.1436246,0.129406
2018,3,3,0.1302254,0.129406
2018,4,1,0.1327677,0.1326408
2017,4,1,0.1454858,0.1326408
2019,4,1,0.1359381,0.1326408
2019,4,2,0.1466331,0.1440167
2017,4,2,0.1520863,0.1440167
2018,4,2,0.1454234,0.1440167
2018,4,3,0.1567694,0.1509789
2017,4,3,0.1571784,0.1509789
2019,4,3,0.155844,0.1509789
2019,5,1,0.1646644,0.1571938
2017,5,1,0.1650925,0.1571938
2018,5,1,0.1682532,0.1571938
2018,5,2,0.1756756,0.1618132
2017,5,2,0.1748244,0.1618132
2019,5,2,0.1738759,0.1618132
2019,5,3,0.1950502,0.1632197
2017,5,3,0.1870963,0.1632197
2018,5,3,0.1795373,0.1632197
2018,6,1,0.1778612,0.1603627
2017,6,1,0.1853129,0.1603627
2019,6,1,0.2028361,0.1603627
2019,6,2,0.2053353,0.1560505
2017,6,2,0.1796015,0.1560505
2018,6,2,0.173659,0.1560505
2018,6,3,0.1663184,0.151702
2017,6,3,0.1722388,0.151702
2019,6,3,0.2032112,0.151702
2019,7,1,0.1895716,0.1443485
2019,7,1,0.188841,0.1443485
2017,7,1,0.1573413,0.1443485
2018,7,1,0.1510604,0.1443485
2018,7,2,0.1474607,0.1458828
2017,7,2,0.1543928,0.1458828
2019,7,2,0.1856968,0.1458828
2019,7,3,0.1894433,0.1505565
2017,7,3,0.1573597,0.1505565
2018,7,3,0.1490913,0.1505565
2018,8,1,0.1661423,0.1681326
2017,8,1,0.1802664,0.1681326
2019,8,1,0.215754,0.1681326
2019,8,2,0.2306142,0.1785764
2017,8,2,0.1952915,0.1785764
2018,8,2,0.1780174,0.1785764
2018,8,3,0.1884274,0.1868871
2017,8,3,0.2070391,0.1868871
2019,8,3,0.2398154,0.1868871
2019,9,1,0.2421087,0.1910363
2017,9,1,0.2127821,0.1910363
2018,9,1,0.1949236,0.1910363
2018,9,2,0.1899652,0.1853373
2017,9,2,0.2019734,0.1853373
2019,9,2,0.2278269,0.1853373
2019,9,3,0.2199868,0.1784585
2017,9,3,0.1910027,0.1784585
2018,9,3,0.180552,0.1784585
2018,10,1,0.1722007,0.1712428
2017,10,1,0.179653,0.1712428
2019,10,1,0.2145948,0.1712428
2019,10,2,0.20991,0.1650042
2017,10,2,0.1702393,0.1650042
2018,10,2,0.1682122,0.1650042
2018,10,3,0.1758221,0.1567488
2017,10,3,0.1590769,0.1567488
2019,10,3,0.2009594,0.1567488
2019,11,1,0.1948746,0.1543801
2017,11,1,0.1565092,0.1543801
2018,11,1,0.1833535,0.1543801
2018,11,2,0.1902047,0.1526281
2017,11,2,0.1541965,0.1526281
2019,11,2,0.1888669,0.1526281
2019,11,3,0.1823328,0.1504114
2017,11,3,0.150307,0.1504114
2018,11,3,0.1914682,0.1504114
2018,12,1,0.1867279,0.1494371
2017,12,1,0.1486097,0.1494371
2019,12,1,0.1820045,0.1494371
2019,12,2,0.1812109,0.1480933
2017,12,2,0.1465328,0.1480933
2018,12,2,0.1814704,0.1480933
2018,12,3,0.1758694,0.146598
2017,12,3,0.1448072,0.146598
2019,12,3,0.1797711,0.146598